目标,字段名,候选数,v_全部,v_空,加和性偏差,判零门槛,超过判零门槛的字段数,替身型,协同型,独立可加,无贡献,通道A精确零点,通道AB秩相关,通道A噪声字段门控均值,噪声字段份额范围,前3份额占比,耗时秒,曲线_本方法贡献值,曲线_通道A门控值,曲线_分解式门控,曲线_随机门控,曲线_两两相关性,曲线_置换重要性,曲线_Lasso系数,曲线_本方法·最低的k个,曲线_k
115号母线电压相角,bus_115_va_deg,46,0.9693861132444028,-0.010523658043594342,4.440892098500626e-16,0.006413405867515815,28,16,3,9,18,26,0.582636254469376,0.0,"[-0.00783382245739641, 0.0021884456608052393]",0.3437819622219095,283.1,"[0.6003, 0.7236, 0.8642, 0.8977, 0.9575, 0.9563, 0.9627, 0.9872, 0.9862, 0.9748]","[0.4988, 0.7539, 0.8278, 0.9109, 0.9469, 0.9499, 0.983, 0.9816, 0.9801, 0.9793]","[0.4988, 0.7539, 0.8887, 0.9303, 0.9819, 0.9819, 0.9821, 0.9802, 0.9854, 0.9789]","[-0.08, -0.0016, -0.0286, -0.4233, -0.1799, 0.124, 0.8169, 0.841, 0.963, 0.969]","[0.5667, 0.824, 0.8643, 0.8778, 0.865, 0.9182, 0.9356, 0.9367, 0.9853, 0.98]","[0.6003, 0.832, 0.8661, 0.9301, 0.9756, 0.9796, 0.9843, 0.9851, 0.9879, 0.9769]","[0.6003, 0.8172, 0.8907, 0.9429, 0.9716, 0.9811, 0.9846, 0.9607, 0.97, 0.9805]","[-0.08, -0.2212, -0.0536, -0.0854, -0.4087, -0.3764, -0.2929, -0.4537, 0.5091, 0.9797]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
215号母线电压相角,bus_215_va_deg,46,0.9611219299028653,-0.018088148645434066,-5.551115123125783e-16,0.0069952174807236716,34,18,2,14,12,16,0.5404704282678637,0.0,"[-0.007837628352981588, 0.0037371912823324976]",0.27882868618866086,318.6,"[0.6548, 0.7279, 0.7275, 0.8195, 0.9023, 0.9094, 0.9798, 0.9852, 0.9843, 0.9588]","[0.2345, 0.4718, 0.5649, 0.7476, 0.9076, 0.9349, 0.9721, 0.9881, 0.9873, 0.9732]","[0.2345, 0.4317, 0.7041, 0.9339, 0.9414, 0.9757, 0.9809, 0.9808, 0.9838, 0.9741]","[-0.0302, 0.0725, 0.0932, -0.1298, -0.362, 0.7576, 0.8746, 0.9351, 0.9588, 0.9796]","[0.6548, 0.671, 0.691, 0.7599, 0.8179, 0.9232, 0.9611, 0.9644, 0.9805, 0.9669]","[0.6548, 0.7279, 0.8236, 0.8897, 0.9131, 0.9677, 0.9871, 0.986, 0.983, 0.9737]","[0.2719, 0.4364, 0.9112, 0.9494, 0.9783, 0.9876, 0.9871, 0.9646, 0.9678, 0.9642]","[-0.03, -0.1896, -0.2018, 0.0093, -0.0727, -0.0308, -0.0207, 0.4099, 0.8451, 0.9788]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
315号母线电压相角,bus_315_va_deg,46,0.9835584488864026,-0.13298500616962694,0.0,0.01211462895896824,23,19,0,4,23,28,0.7149898319396804,0.0,"[-0.016518571337991172, 0.0027919676216688386]",0.2859103655190274,304.8,"[0.6591, 0.7215, 0.7352, 0.8314, 0.9342, 0.9672, 0.9764, 0.99, 0.9935, 0.9849]","[0.6591, 0.8065, 0.8353, 0.9119, 0.9102, 0.9647, 0.9833, 0.9834, 0.9895, 0.9851]","[-0.0364, 0.7263, 0.8133, 0.8777, 0.979, 0.9883, 0.9903, 0.9905, 0.9912, 0.9834]","[0.107, 0.01, -0.089, 0.0153, -0.0503, 0.2849, 0.5748, 0.7652, 0.9607, 0.9859]","[0.6927, 0.7276, 0.7357, 0.8351, 0.893, 0.9453, 0.9854, 0.9886, 0.9916, 0.9861]","[0.6591, 0.8318, 0.8916, 0.9344, 0.9429, 0.9713, 0.9862, 0.991, 0.9929, 0.9824]","[0.6927, 0.714, 0.7314, 0.8381, 0.8851, 0.9632, 0.9914, 0.979, 0.976, 0.9872]","[-0.2874, -0.0562, -0.1373, -0.0142, -0.0104, -0.2199, 0.0641, 0.4956, 0.8893, 0.9852]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
AB1联络线负载率,branch_ab1_loading_pct,46,0.8664319021362197,-0.3588450188726342,0.0,0.011001295940668258,34,28,3,3,12,22,0.7573231272551915,0.0,"[-0.011879574923284359, 0.0050208605797389125]",0.2712883629198909,300.0,"[0.4673, 0.491, 0.6883, 0.8189, 0.8595, 0.8712, 0.9122, 0.9481, 0.9706, 0.9075]","[0.4673, 0.5843, 0.6129, 0.7562, 0.8094, 0.9037, 0.9044, 0.9462, 0.9588, 0.8634]","[-0.0109, 0.4828, 0.5543, 0.7543, 0.8531, 0.9622, 0.9589, 0.9676, 0.9677, 0.8927]","[-0.3192, -2.0949, -0.1942, -0.3224, -0.4266, -0.1561, 0.3927, 0.7646, 0.8646, 0.8606]","[0.1068, 0.4253, 0.4345, 0.4265, 0.5738, 0.5486, 0.7852, 0.9252, 0.9503, 0.8921]","[-0.1263, 0.6454, 0.7683, 0.8288, 0.9021, 0.9295, 0.9578, 0.9641, 0.9601, 0.8735]","[-0.1662, 0.1011, 0.3528, 0.6645, 0.7955, 0.9471, 0.8804, 0.8091, 0.8619, 0.924]","[-1.0528, -1.6542, -0.7132, -0.3553, -0.9432, -0.4017, -0.8417, -0.3077, 0.7438, 0.8834]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
AB2联络线负载率,branch_ab2_loading_pct,46,0.9570681882974277,-0.017194162198332474,2.220446049250313e-16,0.006938032326158089,34,17,6,11,12,14,0.5874558831629325,0.0,"[-0.00709165147047109, 0.004322266193652909]",0.2634281906602419,281.4,"[0.7159, 0.7644, 0.7888, 0.8164, 0.92, 0.9505, 0.9778, 0.9839, 0.9838, 0.9571]","[0.2645, 0.4869, 0.5586, 0.7325, 0.8667, 0.9185, 0.9673, 0.9854, 0.9866, 0.9683]","[0.2645, 0.6342, 0.8061, 0.92, 0.9347, 0.9765, 0.9794, 0.9804, 0.9822, 0.9699]","[-0.029, 0.0928, 0.1009, -0.1387, -0.1642, 0.6572, 0.7318, 0.8602, 0.9207, 0.9719]","[0.7159, 0.7093, 0.7191, 0.7793, 0.7951, 0.8041, 0.9342, 0.9656, 0.9791, 0.9628]","[0.7159, 0.7798, 0.7928, 0.8885, 0.9195, 0.9617, 0.9862, 0.9849, 0.9868, 0.9632]","[0.2711, 0.4726, 0.9338, 0.9619, 0.9819, 0.9864, 0.9877, 0.9476, 0.9568, 0.961]","[-0.0275, -0.0936, -0.1207, -0.1688, 0.1579, 0.1896, 0.2879, 0.3407, 0.7692, 0.9648]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
AB3联络线负载率,branch_ab3_loading_pct,46,0.8128358789222696,-0.2551010007365868,0.0,0.009116541648272285,38,25,4,9,8,19,0.6397983738118486,0.0,"[-0.010311261379220723, 0.006589136361779397]",0.25576404924211243,158.2,"[0.1863, 0.6146, 0.6903, 0.6842, 0.7497, 0.813, 0.8606, 0.8906, 0.9186, 0.7327]","[0.0753, 0.3607, 0.6215, 0.697, 0.7519, 0.8729, 0.8776, 0.8946, 0.894, 0.8128]","[0.0753, 0.3459, 0.6641, 0.7466, 0.8938, 0.9096, 0.8895, 0.8966, 0.898, 0.7806]","[-0.2116, -0.1571, -0.0193, -0.2383, -0.1849, -0.3738, -0.5654, 0.7223, 0.6799, 0.8234]","[-0.0246, -0.0035, 0.0417, 0.3021, 0.1684, 0.5697, 0.781, 0.8423, 0.777, 0.8444]","[0.0753, 0.3459, 0.6641, 0.7489, 0.8759, 0.8309, 0.8918, 0.9094, 0.9237, 0.8705]","[-0.1819, 0.1826, 0.5087, 0.5283, 0.6985, 0.8517, 0.9039, 0.6192, 0.7626, 0.8446]","[-0.1466, -1.2114, -0.4784, -0.1845, -0.2666, -0.1886, -0.3352, 0.4117, 0.7047, 0.8543]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
CA1联络线负载率,branch_ca_1_loading_pct,46,0.9260386719268098,-0.01637231918307891,-2.220446049250313e-16,0.007761571070073238,30,17,0,13,16,26,0.6812750123872593,0.0,"[-0.009402842981807444, 0.0006037840662712676]",0.2879351512168743,173.3,"[0.5411, 0.7248, 0.7457, 0.8777, 0.8779, 0.8833, 0.9743, 0.9764, 0.9809, 0.9445]","[-0.0558, 0.4792, 0.8212, 0.8423, 0.9465, 0.9368, 0.9613, 0.965, 0.9621, 0.9415]","[-0.0558, 0.6016, 0.8701, 0.9327, 0.9634, 0.9678, 0.9739, 0.9695, 0.9736, 0.9483]","[-0.0209, -0.0236, -0.0062, -0.0147, -0.1096, 0.0701, -0.0244, 0.785, 0.8527, 0.9533]","[0.5712, 0.6123, 0.6122, 0.8709, 0.8795, 0.9341, 0.9428, 0.9591, 0.9594, 0.9452]","[0.4317, 0.7539, 0.7401, 0.8966, 0.9287, 0.9513, 0.9705, 0.9689, 0.9791, 0.9372]","[0.1766, 0.4856, 0.9698, 0.9849, 0.9918, 0.99, 0.9808, 0.9479, 0.9333, 0.9561]","[-0.0522, -0.0384, -0.0442, -0.0067, -0.0277, -0.0175, -0.163, 0.2361, 0.7992, 0.9533]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
CB1联络线负载率,branch_cb_1_loading_pct,46,0.9398959234853046,-0.028742603188367077,-2.220446049250313e-16,0.009163477217335113,29,17,1,11,17,24,0.7201896823792572,0.0,"[-0.010882777032117208, 0.0015011484113129359]",0.2858135633917071,168.7,"[0.554, 0.6179, 0.7498, 0.8551, 0.8674, 0.8969, 0.9825, 0.9826, 0.9808, 0.9336]","[0.554, 0.6867, 0.7248, 0.8145, 0.9433, 0.9845, 0.9844, 0.985, 0.9756, 0.9366]","[-0.0429, 0.0984, 0.6461, 0.9136, 0.9613, 0.9712, 0.9757, 0.9674, 0.9737, 0.9613]","[-0.0319, -0.0078, 0.2162, 0.215, 0.2857, 0.2468, 0.4859, 0.8689, 0.8498, 0.9527]","[0.554, 0.6179, 0.6263, 0.7545, 0.8657, 0.882, 0.9854, 0.9781, 0.9769, 0.9421]","[0.554, 0.7437, 0.8385, 0.881, 0.9073, 0.942, 0.9721, 0.9694, 0.9668, 0.9506]","[0.301, 0.4118, 0.9761, 0.9764, 0.9894, 0.9899, 0.9867, 0.9361, 0.9464, 0.9579]","[-0.0759, -0.0931, -0.0096, -0.0176, 0.0321, -0.1975, 0.0305, 0.1197, 0.8329, 0.9454]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
121号核电机组出力,gen_121_nuclear_1_pg_mw,46,0.9986833392474807,-0.24334439303719546,-2.220446049250313e-16,0.011499951170965741,27,24,2,1,19,26,0.710635029419447,0.0,"[-0.010978173708584765, 0.01178090826609396]",0.5116067628948194,177.1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9988]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9989]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.999]","[-0.2609, -0.1407, -0.0433, 0.2915, 0.4213, 0.7247, -0.0839, 0.2619, 0.7876, 0.998]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 1.0, 1.0, 0.9999, 0.9997]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9986]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.999]","[-0.4562, -0.378, -0.3713, -0.3421, -0.1092, -0.295, -0.2668, -0.1009, 0.5984, 0.999]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
218号联合循环机组出力,gen_218_cc_1_pg_mw,46,0.99296945010178,-0.10459415866986,-6.661338147750939e-16,0.008029596045545241,37,30,2,5,9,23,0.7780856943742258,0.0,"[-0.00845091073391747, 0.0064806696671081965]",0.4713969126372927,199.2,"[1.0, 1.0, 0.9999, 0.9999, 0.9998, 0.9998, 0.9998, 0.9997, 0.9997, 0.9986]","[1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9999, 0.9998, 0.9998, 0.9997, 0.9972]","[1.0, 1.0, 0.9999, 0.9999, 0.9996, 0.9995, 0.9995, 0.9995, 0.9995, 0.9971]","[-0.0308, 0.4455, 0.4844, 0.3748, 0.5294, -0.3134, -0.1459, 0.5483, 0.6117, 0.9982]","[1.0, 1.0, 1.0, 0.9999, 0.9999, 0.9998, 0.9998, 0.9997, 0.9987, 0.9984]","[1.0, 1.0, 1.0, 0.9999, 0.9998, 0.9996, 0.9995, 0.9995, 0.9996, 0.9981]","[1.0, 1.0, 0.9999, 0.9999, 0.9998, 0.9996, 0.9962, 0.9893, 0.9973, 0.9983]","[-1.0015, -1.0273, -0.5285, -0.577, -0.5837, -0.3847, 0.1608, 0.547, 0.87, 0.9988]","[1, 2, 3, 5, 8, 12, 18, 25, 35, 46]"
