目标,候选数,门控判零字段数,独立能力≥0.3且被门控判零,独立能力≥0.5且被门控判零,独立能力≥0.7且被门控判零,被判零字段的最高独立能力,最严重的那个字段,它的本方法贡献值排名
115号母线电压相角,46,39,7,2,0,0.5922308180016267,gen_fuel_wind_mw,4
215号母线电压相角,46,37,4,0,0,0.484940739856479,gen_fuel_wind_mw,3
315号母线电压相角,46,39,7,3,2,0.8266306179238367,gen_fuel_wind_mw,2
AB1联络线负载率,46,36,12,0,0,0.4901674012333868,system_losses_mw,10
AB2联络线负载率,46,35,3,1,0,0.5067924746198906,area_2_net_export_mw,6
AB3联络线负载率,46,36,7,1,0,0.5501250061693961,system_losses_mw,3
CA1联络线负载率,46,34,6,1,0,0.592451314339852,gen_fuel_wind_mw,2
CB1联络线负载率,46,34,3,1,0,0.5829881978503844,gen_fuel_wind_mw,2
121号核电机组出力,46,45,12,5,3,1.241685281026279,area_1_fuel_nuclear_mw,1
218号联合循环机组出力,46,45,9,2,1,0.7772524376376533,area_2_fuel_coal_mw,2
317号风电机组出力,46,37,6,2,1,0.9902562910312652,gen_fuel_wind_mw,2
321号联合循环机组启停状态,46,45,7,3,2,0.9192446937760402,area_3_fuel_coal_mw,3
