方法,k=1,k=2,k=3,k=5,k=8,k=12,k=18,k=25,k=35,k=46,达到全量九成所需的k
本方法贡献值,0.6829916666666667,0.77005,0.82035,0.8716916666666666,0.9124416666666667,0.9285166666666668,0.9623083333333334,0.9727416666666667,0.9750916666666668,0.9360583333333333,5.0
通道A门控值,0.5429,0.707075,0.7849416666666666,0.8573666666666667,0.898,0.9316083333333333,0.9524750000000001,0.9670083333333336,0.9631666666666666,0.943775,5.0
分解式门控,0.3612916666666666,0.6336583333333333,0.8201999999999999,0.9107833333333334,0.9521083333333333,0.9692833333333333,0.9703500000000002,0.9679583333333334,0.9706666666666665,0.94405,4.0
随机门控,-0.0853,-0.15218333333333334,0.05906666666666666,-0.04271666666666668,-0.04682500000000001,0.18644166666666664,0.30102499999999993,0.6829,0.8284250000000001,0.94495,35.0
两两相关性,0.6303666666666666,0.7028833333333333,0.7149333333333333,0.7898833333333334,0.8116916666666668,0.8679083333333334,0.9340750000000001,0.9535833333333334,0.9585749999999998,0.9454500000000001,6.5
置换重要性,0.61805,0.792875,0.85475,0.906875,0.9384583333333335,0.9515416666666666,0.9697583333333334,0.9718749999999999,0.9729833333333331,0.9458249999999998,5.0
Lasso系数,0.4374166666666666,0.585425,0.823925,0.8957833333333333,0.934625,0.96875,0.9663999999999998,0.9139333333333332,0.9306999999999999,0.949875,3.0
本方法·最低的k个,-0.31715,-0.46965000000000007,-0.25337499999999996,-0.18347499999999997,-0.2011166666666667,-0.18179166666666666,-0.14101666666666665,0.15866666666666665,0.7438333333333333,0.9475000000000001,46.0
