字段,跨目标贡献合计
month_of_year,1.65672570293287
area_1_fuel_wind_mw,1.0335395521083202
gen_fuel_wind_mw,0.9501792275649789
system_losses_mw,0.7925992814713316
area_1_fuel_coal_mw,0.777770484171812
area_3_fuel_wind_mw,0.7546478299605041
area_1_fuel_nuclear_mw,0.7003494972380963
gen_fuel_nuclear_mw,0.6263244171374112
area_2_fuel_natural_gas_mw,0.6109600999574465
gen_fuel_coal_mw,0.5771533087473526
area_2_net_export_mw,0.5012391994383704
area_3_fuel_natural_gas_mw,0.49796145046311663
area_1_net_export_mw,0.48671054656246393
area_2_fuel_coal_mw,0.4309610021811828
area_1_fuel_solar_mw,0.42637040524482717
gen_fuel_natural_gas_mw,0.4151474094421351
area_3_fuel_solar_mw,0.3847376997492167
area_2_fuel_solar_mw,0.36448232278653053
gen_fuel_solar_mw,0.36063543362245326
area_3_fuel_coal_mw,0.3341302403305716
area_3_net_export_mw,0.3150982762928706
reserve_reg_down_mw,0.31187713057068445
area_1_load_actual_mw,0.3073560872099136
reserve_spin_r2_mw,0.2944382093438194
area_2_load_day_ahead_mw,0.2773380829346563
hour_of_day,0.24252686482493413
area_1_generation_mw,0.23181758676326678
system_load_actual_mw,0.21011352027801844
area_2_generation_mw,0.20500006060307482
reserve_spin_r1_mw,0.18984519158613555
system_load_day_ahead_mw,0.1714513435147992
gen_fuel_hydro_mw,0.1624951995507042
area_2_load_actual_mw,0.1615430557643104
reserve_reg_up_mw,0.15880545497496731
area_1_load_day_ahead_mw,0.1448200127938153
system_generation_mw,0.11751887200756841
area_1_fuel_hydro_mw,0.10595517724354615
area_2_fuel_hydro_mw,0.0956955673343721
area_3_fuel_hydro_mw,0.06920662212104849
reserve_spin_r3_mw,0.06744721422299092
area_1_fuel_natural_gas_mw,0.05769543660577695
area_3_generation_mw,0.05723779299654739
area_3_load_actual_mw,0.05388110427337069
day_of_week,0.050454857168008224
area_3_load_day_ahead_mw,0.04273873913306017
is_weekend,0.030586885484921642
