目标,字段,独立能力,不可替代性,分解式门控,本方法贡献值,本方法排名
121号核电机组出力,area_1_fuel_nuclear_mw,1.241685281026279,0.0050547543561716,0.0,0.2575762476861493,1
317号风电机组出力,gen_fuel_wind_mw,0.9902562910312652,-0.0028012760647387,0.0,0.1486537267830158,2
321号联合循环机组启停状态,area_3_fuel_coal_mw,0.9192446937760402,0.0001192470663791,0.0,0.1517722948588525,3
315号母线电压相角,gen_fuel_wind_mw,0.8266306179238367,0.0042830857944701,0.0,0.1161821052392115,2
218号联合循环机组出力,area_2_fuel_coal_mw,0.7772524376376533,0.0008322786049795,0.0,0.1211593466313666,2
CA1联络线负载率,gen_fuel_wind_mw,0.592451314339852,0.0017044958317488,0.0,0.095774205489793,2
115号母线电压相角,gen_fuel_wind_mw,0.5922308180016267,0.0039088237075959,0.0,0.0882281569395686,4
CB1联络线负载率,gen_fuel_wind_mw,0.5829881978503844,0.0035320552489612,0.0,0.0959255217846914,2
AB3联络线负载率,system_losses_mw,0.5501250061693961,-0.0003030119674534,0.0,0.0755958110741518,3
AB2联络线负载率,area_2_net_export_mw,0.5067924746198906,0.0004806223237693,0.0,0.0560836375964368,6
AB1联络线负载率,system_losses_mw,0.4901674012333868,0.0055181593394465,0.0090021388605237,0.0611155176556893,10
215号母线电压相角,gen_fuel_wind_mw,0.484940739856479,0.0043684457330541,0.0,0.088101675966982,3
