目标,字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型,通道A门控值,分解式门控,随机门控,两两相关性,置换重要性,Lasso系数
115号母线电压相角,area_1_fuel_wind_mw,0.1501667660509536,0.15324550326054392,0.6101592965527777,0.022490458464893948,-0.5876688380878837,替身型,0.23119564354419708,0.046803928911685944,2.5758137702941895,0.6917902902020318,1.2263096681143693,0.933535845411393
115号母线电压相角,area_1_fuel_coal_mw,0.09937607957150456,0.1014134999805995,0.5204818961899822,0.005264399862604741,-0.5152174963273775,替身型,0.2337324023246765,0.0700983926653862,-2.5504040718078613,0.19576924547705402,0.019820538817542865,0.1196249684999906
115号母线电压相角,system_losses_mw,0.09273802327191157,0.09463934944746633,0.5759856858512049,0.008657580087254368,-0.5673281057639505,替身型,0.1413625031709671,0.0,2.5179173946380615,0.7666975655897921,0.1697503112656691,0.1802451469198032
115号母线电压相角,gen_fuel_wind_mw,0.08822815693956863,0.09003702128982877,0.5922308180016267,0.003908823707595932,-0.5883219942940308,替身型,0.09754364937543869,0.0,-2.8277103900909424,0.6329207029975863,0.00021968114687593855,0.0
115号母线电压相角,gen_fuel_coal_mw,0.07017040057656744,0.07160904262066414,0.3332236094058135,-0.0004443372110064514,-0.33366794661682,替身型,0.1670898199081421,0.0,-2.456190586090088,0.11809617692926772,0.0008311729532512801,0.0
115号母线电压相角,area_1_fuel_nuclear_mw,0.0590514137257368,0.06026209295588449,0.3100480364525814,0.012814723851847565,-0.2972333126007338,替身型,0.06833285838365555,0.022246770560741425,-2.6992602348327637,0.18929060574341486,0.03559508764473709,0.010165405580028437
115号母线电压相角,gen_fuel_nuclear_mw,0.05861995402429287,0.059821787415429664,0.31729149661561895,0.013895528915318311,-0.30339596770030064,替身型,0.06760404258966446,0.0,-2.754369020462036,0.18929060574341486,0.03751584784892734,0.3912124461898189
115号母线电压相角,area_1_net_export_mw,0.05360757498312444,0.05470664397260009,0.3534983273050164,0.00246742242794884,-0.35103090487706756,替身型,0.07298720628023148,0.0066780271008610725,-2.643113136291504,0.41244709327726614,0.002024255979190781,0.0
115号母线电压相角,area_3_fuel_wind_mw,0.052563586372950714,0.0536412513816052,0.4553467024095117,0.0036814810279673926,-0.4516652213815443,替身型,0.0843532532453537,0.0,-2.844095230102539,0.553600974986986,0.0004796235860184073,0.14751222296457367
115号母线电压相角,area_2_net_export_mw,0.04615378239225207,0.047100032824029664,0.470923370689605,0.0007411056985512365,-0.47018226499105376,替身型,0.080740787088871,0.0,-2.827162742614746,0.475453714357038,0.0009230743304881939,0.0674469328170569
115号母线电压相角,area_3_net_export_mw,0.04020593256461074,0.04103023945945952,0.17981791701888927,0.0019342646404919561,-0.17788365237839732,替身型,0.04840175807476044,0.0,-2.5777790546417236,0.2523334885584712,0.0018703298299648675,0.07944152113099985
115号母线电压相角,reserve_reg_down_mw,0.03478998563187689,0.035503254127315004,0.18446409189959723,-0.0012999525032442172,-0.18576404440284144,替身型,0.0,0.0,-2.8320181369781494,0.41807673664985384,0.0003070551340447647,0.05085303968590962
115号母线电压相角,area_3_fuel_natural_gas_mw,0.025193268553114923,0.02570978399368423,0.11563662164090394,0.003250732686708835,-0.1123858889541951,替身型,0.0,0.0,-2.8642475605010986,0.2691378138849667,0.0007584612852962636,0.0
115号母线电压相角,reserve_reg_up_mw,0.02401553648163942,0.024507905916759363,0.20980712958826464,-0.001466067893626355,-0.211273197481891,替身型,0.04821654409170151,0.0,-2.825098752975464,0.47707959426655977,0.0005465849760575292,0.02321143012724232
115号母线电压相角,area_3_fuel_coal_mw,0.023553196143361023,0.02403608662091675,0.14255100444654378,0.0014532668002139593,-0.14109773764632982,替身型,0.0,0.0,-2.837312936782837,0.3209344948587096,6.349303820694097e-05,0.12138010311156947
115号母线电压相角,area_1_fuel_solar_mw,0.01917553542819793,0.019568674576020944,0.018161619640743698,0.004250513394228439,-0.013911106246515259,独立可加,0.07775761932134628,0.0,-2.30983304977417,0.05659798751568523,0.001621123691858073,0.15254281452806978
115号母线电压相角,gen_fuel_natural_gas_mw,0.018521815675095005,0.018901552181431826,0.10640183382207136,-0.0011139420381862664,-0.10751577586025762,替身型,0.0,0.0,-2.8446309566497803,0.04949967724356228,0.0005971619451377253,0.0
115号母线电压相角,area_2_fuel_coal_mw,0.016125443635037765,0.016456049431819032,-0.020811384702887903,0.005186420131889191,0.025997804834777094,独立可加,0.0,0.006934761069715023,-2.450828790664673,0.23477184030530723,0.0003908399260843298,0.053525719293026575
115号母线电压相角,area_1_load_actual_mw,0.013331205785233134,0.013604523779480784,-0.06881340199604269,0.000431838033896792,0.06924524002993948,协同型,0.0789472684264183,0.013316706754267216,-2.845188856124878,0.26752764060219114,0.0008608522651990524,0.0
115号母线电压相角,area_1_fuel_hydro_mw,0.012867593496618365,0.013131406455622083,-0.019096525310718038,0.023798709249509664,0.0428952345602277,独立可加,0.09424314647912979,0.019393905997276306,-2.3472046852111816,0.16481112915457413,0.045946135030776644,0.268524361045609
115号母线电压相角,area_1_generation_mw,0.010841345775956662,0.011063616358990641,-0.04785521476085286,0.004525991725606082,0.05238120648645894,协同型,0.08018603920936584,0.0,-2.807671308517456,0.2823058133748181,0.0005712310972587398,0.0
115号母线电压相角,system_load_actual_mw,0.008725965472194164,0.008904866272253538,-0.044900011216152835,-0.0001579207860059606,0.044742090430146875,独立可加,0.045141611248254776,0.0,-2.874498128890991,0.29409205459555743,2.3637060550196765e-05,0.0
115号母线电压相角,area_3_fuel_solar_mw,0.008680151214696528,0.0088581127253046,-0.011806695393083988,0.002913573176968165,0.014720268570052153,独立可加,0.0,0.02044355310499668,-2.4222404956817627,0.01770509518917283,0.004403738995257656,0.17385799707226487
115号母线电压相角,reserve_spin_r3_mw,0.008523987810374636,0.00869874763996962,-0.03016081755694988,-0.0008079106916422107,0.02935290686530767,独立可加,0.0,0.0,-2.7717814445495605,0.281903091442494,0.00024918611825655026,0.0
115号母线电压相角,gen_fuel_solar_mw,0.008315835583916308,0.00848632785137548,0.03330257259513425,-0.0016737701448203968,-0.03497634273995465,独立可加,0.0,0.0,-2.715083360671997,0.025733151203525633,0.0019760025677307614,0.0
115号母线电压相角,reserve_spin_r2_mw,0.00812191184653231,0.008288428266060495,-0.05502917662592566,-0.0003270523819469684,0.05470212424397869,协同型,0.0,0.0,-2.8750393390655518,0.27205265772399384,-5.15876793442116e-05,0.0
115号母线电压相角,area_2_fuel_natural_gas_mw,0.00595127050374048,0.0060732841717846195,-0.035946544069186404,-0.001563985373695287,0.03438255869549112,无贡献,0.0,0.0,-2.775418519973755,0.2850717018548581,-3.6503255169928474e-05,0.010350347074249972
115号母线电压相角,area_2_fuel_solar_mw,0.005705882815822686,0.005822865515794227,-0.0025885028827161705,-0.0009067158812685605,0.00168178700144761,无贡献,0.0,0.0,-2.7917540073394775,0.020901342159656007,0.00017215180403140629,0.024204252914972302
115号母线电压相角,gen_fuel_hydro_mw,0.005388648339741525,0.005499127060095202,-0.031182352849818518,-0.0012603907644596068,0.02992196208535891,无贡献,0.0,0.0,-2.6743171215057373,0.1544539376769686,-8.367729831009197e-05,0.0
115号母线电压相角,reserve_spin_r1_mw,0.004146133898223565,0.004231138437137809,-0.03448942185316328,0.0022652994370087054,0.03675472129017199,无贡献,0.0941646620631218,0.0,-2.8523762226104736,0.26752767286793006,0.001166987069041925,0.0
115号母线电压相角,hour_of_day,0.002353802385785333,0.0024020603271375546,-0.017514737791916257,0.0009427486530902973,0.018457486445006555,无贡献,0.0,0.0,-2.802312135696411,0.20003006113753988,0.0008604399179201749,0.027117626026690548
115号母线电压相角,system_load_day_ahead_mw,0.0023274452773774665,0.002375162842103578,-0.0528236151195427,-0.0002792213364796181,0.05254439378306308,无贡献,0.0,0.0,-2.8185219764709473,0.29364324956948207,2.2851354394171075e-05,0.0
115号母线电压相角,area_2_load_day_ahead_mw,0.0021583488763647837,0.0022025996062146024,-0.06656474793830625,-0.001224357011906152,0.0653403909264001,无贡献,0.0,0.0,-2.8205554485321045,0.2720506654003951,-5.025652466139618e-06,0.0
115号母线电压相角,area_2_load_actual_mw,0.0019424687815432036,0.0019822935115648608,-0.028692181481351664,-0.0016994348104089063,0.026992746670942758,无贡献,0.0,0.0,-2.8764491081237793,0.2720525384097527,-2.6966558061713996e-05,0.0
115号母线电压相角,is_weekend,0.0019132331225955022,0.0019524584595995418,0.002420870119022256,0.00035864417603059806,-0.002062225942991658,无贡献,0.0,0.0,-2.8876805305480957,0.11631865914095776,-2.7254006560450963e-07,0.0016751119757391706
115号母线电压相角,area_2_generation_mw,0.0018155848842956925,0.0018528082253014794,-0.04454969209972304,0.0002164901416302767,0.044766182241353314,无贡献,0.0,0.0,-2.8724184036254883,0.28559053702329157,-2.086382519215224e-05,0.0
115号母线电压相角,area_3_load_actual_mw,0.0009472999241290627,0.0009667215818084231,-0.014134046156922153,-0.0015853593413036604,0.012548686815618493,无贡献,0.0,0.0,-2.5225489139556885,0.28190272719171316,0.0002216210427420373,0.0017477779446211153
115号母线电压相角,area_3_generation_mw,0.0009436361256286883,0.0009629826676678296,-0.009445122240235415,-0.0007959876789697118,0.008649134561265703,无贡献,0.0,0.0,-2.7967283725738525,0.3023485846762189,0.00014164379599352906,0.0
115号母线电压相角,day_of_week,-0.0008366263312651009,-0.0008537789455507072,-0.011212870771756034,-0.00015757529294690986,0.011055295478809124,无贡献,0.0,0.0,-2.89005708694458,0.08743767884730959,-2.6079163206937926e-05,0.0
115号母线电压相角,area_3_load_day_ahead_mw,-0.0009599327320836443,-0.0009796133891204137,-0.006890502813781341,-0.0009330920575890689,0.005957410756192272,无贡献,0.0,0.0,-2.8312697410583496,0.28190249594190503,0.0001875589568762548,0.0
115号母线电压相角,area_3_fuel_hydro_mw,-0.0022661806565008455,-0.0023126421665559766,-0.05570541156515607,-0.0003645979653281728,0.0553408135998279,无贡献,0.0,0.0,-2.8878977298736572,0.061294504600708614,0.00010011193505774508,0.02184894236803941
