字段,115号母线电压相角,121号核电机组出力,215号母线电压相角,218号联合循环机组出力,315号母线电压相角,317号风电机组出力,321号联合循环机组启停状态,AB1联络线负载率,AB2联络线负载率,AB3联络线负载率,CA1联络线负载率,CB1联络线负载率
area_1_fuel_coal_mw,0.09937607957150456,0.06459934755897241,0.05459888839903088,0.03483853396502742,0.070683376164191,0.04671662177564474,0.044981749644437526,0.14739803917534577,0.0678507911461692,0.08597223696706557,0.02167128632274201,0.03908353348168099
area_1_fuel_hydro_mw,0.012867593496618365,0.0007298547387669429,0.010725392813988802,0.003564612587026565,0.00877895573608751,0.008023798804099288,-0.0026303632597917802,0.018628273448667507,0.008340833474750182,0.0017381815125383478,0.016072149741082252,0.0138551676301286
area_1_fuel_natural_gas_mw,-0.007997841574501943,-0.0037895506590773344,0.001926404937628183,-0.006721213379345574,-0.0025647473709746902,0.0023861907410728835,-0.008183633862668948,0.010786028097360595,0.005833417808371418,0.0038017388326302397,6.271376163410631e-05,-0.0036419555805110313
area_1_fuel_nuclear_mw,0.0590514137257368,0.2575762476861493,0.033854744103624726,0.01883649720278336,0.040831369208843754,0.04466345499841205,0.02533669468560521,0.06652871548362782,0.0369655392041713,0.0367637045270899,0.04046352597931709,0.039477590432734876
area_1_fuel_solar_mw,0.01917553542819793,0.005384927404926657,0.05366006908524595,0.05760915051600377,0.04960795631648648,0.02121184011948253,0.029709759093996355,0.023891326213796634,0.04519546996987245,0.010899649496713603,0.05746149490627696,0.05256322669382787
area_1_fuel_wind_mw,0.1501667660509536,0.1312751498332478,0.09296784880938662,0.012058597170363058,0.12296028960190461,0.10454643921431438,0.03142193405394551,0.09177946061374134,0.07844105740739511,0.034425640529839624,0.08366982508729906,0.09982654373592943
area_1_generation_mw,0.010841345775956662,0.01816941431618754,0.011335222896138746,0.025744921306637233,0.0038308902864247875,0.00543020411961934,-0.0009050509591484253,0.08070862654530081,0.013646653800360238,0.04087984549954281,0.012152900063567815,0.008172511194382396
area_1_load_actual_mw,0.013331205785233134,0.039963822316212774,0.018222432988070362,0.03504928245199379,-0.0034793004548807085,0.00907051381869119,0.01353057722197426,0.08131197848149548,0.02112482119987711,0.041428173111050834,0.016115873782956466,0.014728105597477496
area_1_load_day_ahead_mw,-0.005301137205612689,-0.006933797604867176,-0.00045649952207138,0.008918442294513803,-0.007387189907395245,-0.009009728020416753,-0.010382349733358975,0.06120965062587862,0.005536627818237847,0.02553001581934015,0.002332168311488108,-0.0018224059306345504
area_1_net_export_mw,0.05360757498312444,0.08939013765523224,0.04986459592516627,0.007955680605196842,0.04696725700745961,0.05107961966423769,0.014749068802139432,0.03600242218544603,0.04662673615706357,0.018814173898263703,0.02976367729504365,0.041889602384090535
area_2_fuel_coal_mw,0.016125443635037765,0.014272361833624236,0.01936807797190053,0.12115934663136665,0.04465696480984703,0.016133815600263397,0.015136827519398847,0.08463266569737533,0.016988610344029022,0.05637091932057548,0.015362820277513931,0.010753148540250519
area_2_fuel_hydro_mw,-0.0022882875370952875,-0.0028447118692191613,0.008326390922558258,0.028993523936290944,0.0023667422833772425,-0.011042545144702189,-0.003704829515462896,0.012966918577036912,0.009829990341366866,0.005649571938063508,0.005238131658046784,0.002443923611152055
area_2_fuel_natural_gas_mw,0.00595127050374048,0.007675268026361915,0.021859195162310545,0.3157216420227768,0.01594613048003438,0.012684713789694482,0.01645433379187057,0.021017699675684863,0.022864215652365877,0.11342237248863178,0.030757682639309007,0.026605575724665785
area_2_fuel_solar_mw,0.005705882815822686,0.009043377604993769,0.034268957570983694,0.0650910398401413,0.03280673942724998,0.009231690879817234,0.02136663905996454,0.011900014652733264,0.036452054572081546,0.04814329997442795,0.04714717200162464,0.04332545438668988
area_2_generation_mw,0.0018155848842956925,0.009922315308149354,0.01094164176880042,0.06807994439445861,0.009341618906224914,0.00020940437534621228,0.004680463105636073,0.024135065029703265,0.010819568648514664,0.04879410926627704,0.007901191187948001,0.00835915372772059
area_2_load_actual_mw,0.0019424687815432036,0.010774722330110249,0.008188404206311548,0.05700798924620714,0.0041332201966947195,0.004095471523850801,0.0012924247373045025,0.02834050889557121,0.003789274037171892,0.03853739228095453,0.0025334847046526296,-0.0009076948239379887
area_2_load_day_ahead_mw,0.0021583488763647837,0.016999715331545803,0.013535965726285877,0.0708504064555253,0.007838676613390426,0.011418521394336013,0.008198450614456112,0.047173949822639914,0.013608358325555132,0.058572426875330354,0.015036522579872268,0.01194674031935429
area_2_net_export_mw,0.04615378239225207,0.048749219059273034,0.04899013368390064,0.010856480025121608,0.05689601624740858,0.06469520590364958,0.016665328656194415,0.01913339892702868,0.05608363759643682,0.05262146879454228,0.036244587401442645,0.04414994075111997
area_3_fuel_coal_mw,0.023553196143361023,0.029913017066129408,0.005405272892121393,0.023340513084764248,0.01976609440361211,0.043274091267587675,0.15177229485885252,0.002177847535468523,0.004884225993845881,0.015447594992077152,0.006045291347408645,0.008550800745343043
area_3_fuel_hydro_mw,-0.0022661806565008455,0.011561484867298981,-0.0017963314130127704,0.009205684308542659,-0.0010878736911353348,0.003302777059083728,0.004393803531556736,-0.01642524383888616,-0.0034978304359610892,0.013793944818892876,0.0011389786007630909,0.0007364888994142232
area_3_fuel_natural_gas_mw,0.025193268553114923,0.0212703564085167,0.012639465643096866,0.011688077702566938,0.032718323931345564,0.06191701548032219,0.24015406585439095,0.010528051363593532,0.008914259762218803,0.017123996016138458,0.027421242718784287,0.028393327029027457
area_3_fuel_solar_mw,0.008680151214696528,0.007403191211885836,0.04610300867105575,0.04685561952274076,0.04672581540876163,0.021491033539047223,0.024400277204319025,0.010980130226461545,0.03952736136598745,0.023985579304836184,0.058176826767918306,0.0504087053115064
area_3_fuel_wind_mw,0.052563586372950714,0.028526410253589388,0.06162661392016517,-0.023009457373825638,0.08550590608321662,0.1537470207886404,0.07637103769830264,0.015446070103363987,0.06141127868348412,0.03854436929053792,0.08495208989282292,0.07294398949960455
area_3_generation_mw,0.0009436361256286883,0.002277209632158098,-0.002951438206294325,0.017162156632254396,-0.0035668835774347934,-0.014584953186725617,-0.0028391989487184777,0.0028618672870291987,0.002828403367546372,0.002839859024736209,0.0008179413550191928,0.003564245653002027
area_3_load_actual_mw,0.0009472999241290627,-0.009711289320219722,-0.002242746312269726,0.004973404356491982,0.006890270083628202,-0.0026644890531008414,-0.005766897464805753,-0.0013811223387194364,0.005120072743572264,0.009408374188228572,0.0019987561327619373,0.002776382355443197
area_3_load_day_ahead_mw,-0.0009599327320836443,-0.013947404919246953,-0.00047509751318626807,0.004090003251203191,0.003908749679772901,0.003912852696321924,-0.00426391404334658,-0.004373463110065983,0.00022762795241648877,0.00575619868937286,0.0007476957111211078,-7.579883492226779e-05
area_3_net_export_mw,0.04020593256461074,0.046570126495534186,0.030263421915901464,0.009421415884498949,0.02694324579346143,0.021833522986450013,0.017735927814251665,0.019143393985274034,0.03226664453377442,0.017213922242893455,0.020734684410974723,0.03276603766524554
day_of_week,-0.0008366263312651009,-0.002443394349650767,-0.0025000007373424393,0.0024921641967359095,-0.0027245639675285258,-0.00926968049674341,-0.0031279777424625416,-0.00871916430470782,-0.004424157812546745,-0.009192788548063378,-0.0037555863328289727,-0.0009687523481326249
gen_fuel_coal_mw,0.07017040057656744,0.04630057459606677,0.032017505950666436,0.05389007185230214,0.03275204383623637,0.02316630482721946,0.06658535239020186,0.09680150538050396,0.04170575636445231,0.07004512008853586,0.016486915538521923,0.027231757346078116
gen_fuel_hydro_mw,0.005388648339741525,0.020414711116580074,0.01627823670488265,0.014767676572557927,0.014481202709627727,0.0030425503226236615,0.0011655509548169514,0.020943532960532665,0.018435800581709343,0.01994214284719469,0.013562501745668863,0.01407264469476814
gen_fuel_natural_gas_mw,0.018521815675095005,0.01878451661559136,-0.006183666901161284,0.08414907019572578,0.01440416523037779,0.038269186702153506,0.17201331421273267,0.001828727978696652,0.0026868734899663333,0.028645319639512078,0.015141993649901864,0.01451875915122073
gen_fuel_nuclear_mw,0.05861995402429287,0.25542282006043754,0.03474338985075314,0.014666058160640268,0.037316709151610984,0.03393847494129339,0.020280547304235348,0.04298595364308426,0.03608144123978028,0.018207739791656574,0.03885178136801108,0.035209547601615404
gen_fuel_solar_mw,0.008315835583916308,0.0030857893094515176,0.042821497942254455,0.04700276964323293,0.04536343084617815,0.01601852600030717,0.01455731026284909,-0.017313038695023777,0.03705963477546914,0.03298908622251014,0.05052161861727908,0.045586895723981495
gen_fuel_wind_mw,0.08822815693956863,0.07311404902327108,0.08810167596698204,0.0112243206869616,0.11618210523921152,0.14865372678301586,0.06015665576266423,0.05652953374379424,0.07985722300323139,0.036432053141793805,0.095774205489793,0.09592552178469148
hour_of_day,0.002353802385785333,-0.0010253517731198094,0.031527772942956965,0.05888289724364394,0.02304298786243045,-0.010715854723828565,0.013199315404272816,-0.004002770199298755,0.024557921732333992,0.01548174801873374,0.03289864737341708,0.024837795165112687
is_weekend,0.0019132331225955022,0.0042848279134187735,-0.00045384831658147823,-0.0018376870236268903,-0.0035618709669616457,-0.008705620763258306,-0.0048185260569581605,0.0029756233624309383,-0.0008931460434483738,0.00026693929975741323,0.0007830451890296613,9.251742685449345e-05
month_of_year,-0.06961225502326286,-0.12678932116308353,-0.060144266327707474,-0.41917783660466146,-0.010794968458444654,-0.06583719693578954,-0.06742967183187738,-0.24384755373269348,-0.101055356080045,-0.2955732754757164,-0.11255564125154738,-0.083908360048041
reserve_reg_down_mw,0.03478998563187689,0.020149878669688655,0.0243765120451674,0.000477332049134025,0.025879714878601304,0.032501787297951376,0.022193376345480246,0.05429318845854275,0.022921520685404463,0.024041775483610004,0.024766193793846213,0.025485865231381147
reserve_reg_up_mw,0.02401553648163942,-0.003289503104214623,0.011970800095385953,-0.0015926317835726579,0.005839181442899593,0.02460379530241247,0.004590551310858713,0.04064456214461956,0.011513009560625304,-0.002317514894121907,0.014200789960075306,0.014227578894541792
reserve_spin_r1_mw,0.004146133898223565,0.03432110956039781,0.001440738190756229,0.012618726324651004,-0.0018624158673874935,-0.003120020215590163,-0.005471735347034836,0.07571763629643255,0.00942469566118413,0.032208409310094756,0.006165100204557415,0.0033484707098256463
reserve_spin_r2_mw,0.00812191184653231,0.01740948528206806,0.011647520535928635,0.07611905162710288,0.00776597679041432,0.009058747606457224,0.014619762234096024,0.04224753858912767,0.020232010835776904,0.05702446665702258,0.016751532820930993,0.013440204518361835
reserve_spin_r3_mw,0.008523987810374636,0.007851062650889053,0.007069491309401691,0.008262812971510406,0.009219279577418086,-0.005819619202594028,0.003815422474379745,0.006480251588743255,0.004209215998386177,4.9747500518203865e-05,0.0035105550105850765,0.00263576812819057
system_generation_mw,-0.002362353841789596,0.003700783348101388,0.005491777463671087,0.023885581096381822,-0.004039984303644023,-0.004021747559448581,0.001961095566306157,0.0335415783934398,0.00766570132502317,0.029113783273931194,0.0013657788545844733,0.000368706981247129
system_load_actual_mw,0.008725965472194164,0.023262181398131267,0.012639679764174403,0.03219321110216913,0.011899496527511376,0.009766225095010359,0.008047222927731548,0.03186228365779152,0.014969861296665908,0.03931749131617283,0.006478517480588277,0.010951384239877656
system_load_day_ahead_mw,0.0023274452773774665,0.012045511849840974,0.011026883454486498,0.026434188319171638,0.007276952420787124,0.0039499403217968946,0.007224776079979647,0.037869941700607326,0.012251798969094332,0.03641548339737052,0.006201429459707823,0.00842699226457896
system_losses_mw,0.09273802327191157,0.017894633691434993,0.0979064293314152,0.021489430806379117,0.08503173346108715,0.04746509885615266,0.0056909990299656744,0.06111551765568938,0.10298743297751783,0.07559581107415181,0.09765729494081424,0.08702687637481207
