epoch,b_meta
1,0.09208295494318008
2,0.11861129105091095
3,0.13710176944732666
4,0.15089640021324158
5,0.1472788155078888
6,0.14714011549949646
7,0.14240096509456635
8,0.13906212151050568
9,0.13146987557411194
10,0.12921227514743805
11,0.1260497272014618
12,0.1229148581624031
13,0.12199362367391586
14,0.11890680342912674
15,0.11573638021945953
16,0.11178456246852875
17,0.10802044719457626
18,0.11187700182199478
19,0.1100786030292511
20,0.11031147092580795
21,0.10983168333768845
22,0.11048862338066101
23,0.1116405799984932
24,0.11027698963880539
25,0.10993677377700806
26,0.10943274945020676
27,0.10821178555488586
28,0.10835227370262146
29,0.11082061380147934
30,0.10919736325740814
31,0.10594122856855392
32,0.10855263471603394
33,0.10859984904527664
34,0.10927606374025345
35,0.10793363302946091
36,0.10907620191574097
37,0.10725229233503342
38,0.11000791937112808
39,0.11002705246210098
40,0.10941603034734726
41,0.10776709765195847
42,0.1077064499258995
43,0.10855750739574432
44,0.10873079299926758
45,0.10932056605815887
46,0.1084686890244484
47,0.1102680042386055
48,0.1095263659954071
49,0.1089128777384758
50,0.10803486406803131
51,0.07538074254989624
52,0.04291268438100815
53,0.01116378977894783
54,-0.018364379182457924
55,-0.05204863101243973
56,-0.08061373978853226
57,-0.10846512019634247
58,-0.13690117001533508
59,-0.16547593474388123
60,-0.1953587681055069
61,-0.22601722180843353
62,-0.2524831295013428
63,-0.28102174401283264
64,-0.3105011582374573
65,-0.3402026295661926
66,-0.37106457352638245
67,-0.3998453617095947
68,-0.42779380083084106
69,-0.459696888923645
70,-0.4903483986854553
71,-0.5205471515655518
72,-0.551259458065033
73,-0.5847156643867493
74,-0.6144720911979675
75,-0.64839768409729
76,-0.6782539486885071
77,-0.7102355360984802
78,-0.7421191930770874
79,-0.7742360234260559
80,-0.8053977489471436
81,-0.8369907736778259
82,-0.8679051399230957
83,-0.894149661064148
84,-0.9249234795570374
85,-0.9578871726989746
86,-0.9850696325302124
87,-1.0139418840408325
88,-1.0451794862747192
89,-1.0726913213729858
90,-1.101677417755127
91,-1.127549171447754
92,-1.1573134660720825
93,-1.182242751121521
94,-1.208498239517212
95,-1.2361005544662476
96,-1.257637619972229
97,-1.2807832956314087
98,-1.3062149286270142
99,-1.3301401138305664
100,-1.3515129089355469
101,-1.3766976594924927
102,-1.3985161781311035
103,-1.4190415143966675
104,-1.44346284866333
105,-1.4601017236709595
106,-1.4836533069610596
107,-1.5028743743896484
108,-1.5237274169921875
109,-1.5445976257324219
110,-1.5677390098571777
111,-1.5877314805984497
112,-1.6075950860977173
113,-1.6260545253753662
114,-1.6454218626022339
115,-1.6628782749176025
116,-1.6809650659561157
117,-1.700139045715332
118,-1.718045949935913
119,-1.7372212409973145
120,-1.751719355583191
121,-1.7707215547561646
122,-1.7866071462631226
123,-1.8004465103149414
124,-1.8181685209274292
125,-1.8345928192138672
126,-1.8504966497421265
127,-1.8658568859100342
128,-1.8786760568618774
129,-1.8917524814605713
130,-1.9049197435379028
131,-1.920311450958252
132,-1.9343255758285522
133,-1.9478455781936646
134,-1.9609395265579224
135,-1.974360466003418
136,-1.987658977508545
137,-2.000128984451294
138,-2.012967348098755
139,-2.025477170944214
140,-2.036576509475708
141,-2.0502512454986572
142,-2.0633273124694824
143,-2.0762624740600586
144,-2.0854363441467285
145,-2.096938371658325
146,-2.1093685626983643
147,-2.1197597980499268
148,-2.1307971477508545
149,-2.1440939903259277
150,-2.156097888946533
151,-2.170741081237793
152,-2.179478406906128
153,-2.1908841133117676
154,-2.2006020545959473
155,-2.2116293907165527
156,-2.222299337387085
157,-2.2337229251861572
158,-2.2410006523132324
159,-2.25173282623291
160,-2.261272668838501
161,-2.273509979248047
162,-2.2823736667633057
163,-2.2913999557495117
164,-2.300551414489746
165,-2.309540271759033
166,-2.318786144256592
167,-2.3283965587615967
168,-2.337676763534546
169,-2.3451626300811768
170,-2.352295398712158
171,-2.361717939376831
172,-2.371220827102661
173,-2.378180980682373
174,-2.3886075019836426
175,-2.3976516723632812
176,-2.404784917831421
177,-2.4136343002319336
178,-2.418485403060913
179,-2.428751230239868
180,-2.435234546661377
181,-2.443413019180298
182,-2.4508659839630127
183,-2.4594147205352783
184,-2.4680423736572266
185,-2.4756197929382324
186,-2.479951858520508
187,-2.489217519760132
188,-2.4962539672851562
189,-2.5025713443756104
190,-2.5114104747772217
191,-2.518153429031372
192,-2.525785207748413
193,-2.5319275856018066
194,-2.5390210151672363
195,-2.546443462371826
196,-2.5525622367858887
197,-2.560286521911621
198,-2.5669167041778564
199,-2.572556495666504
200,-2.5829381942749023
