方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9909522363055173,gen_fuel_wind_pct|gen_fuel_wind_mw|gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9403920028087323,total_losses|system_energy_price_da|solar_generation_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9561577623163551,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_other_renewables_mw
XGBoost,树模型特征重要性（2016）,0.9604683163552654,gen_fuel_oil_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_pct|gen_fuel_coal_pct|system_energy_price_da|gen_fuel_other_renewables_mw
Lasso,线性稀疏（1996）,0.9859533975468131,gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_solar_pct
Pearson,相关系数排序（只看两两关系）,0.9561731071050312,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_oil_pct|system_energy_price_da|gen_fuel_nuclear_mw
