tau,平均选中数,最少,最多,与目标字段数之差
0.3,23.416666666666668,13,32,2.25
0.2,29.5,19,38,8.333333333333332
0.12,35.416666666666664,25,43,14.249999999999996
0.08,38.75,29,44,17.583333333333332
0.05,41.5,30,47,20.333333333333332
0.02,44.083333333333336,32,48,22.916666666666668
