目标,中文名,方法,定数规则,选中数,占候选比,测试R2,全量R2,候选数,选中字段
net_actual_interchange_mw,净实际交换功率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,11,0.22916666666666666,0.9605091764281197,0.9673094875658859,48,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_hydro_pct|gen_fuel_nuclear_pct|prelim_load_avg_hourly|da_as_nsr_mw_primary_reserve|gross_sched_interchange_mw
net_actual_interchange_mw,净实际交换功率,STG,门控值 ≥ 0.0,18,0.375,0.9323080650703212,0.9673094875658859,48,gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|forecast_load_mw_latest_available|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw
net_actual_interchange_mw,净实际交换功率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,29,0.6041666666666666,0.9694639125231642,0.9673094875658859,48,wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_wind_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw
net_actual_interchange_mw,净实际交换功率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,31,0.6458333333333334,0.9676282337289892,0.9673094875658859,48,wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|prelim_load_avg_hourly|rmpcp|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_nsr_mw_primary_reserve|marginal_loss_price_rt|gross_sched_interchange_mw|gross_inadv_interchange_mw
net_actual_interchange_mw,净实际交换功率,XGBoost,固定阈值 τ=0.02（12 个目标共用）,15,0.3125,0.8956383726925823,0.9673094875658859,48,gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|system_energy_price_da|marginal_loss_price_rt|gross_sched_interchange_mw
net_actual_interchange_mw,净实际交换功率,Pearson,固定阈值 τ=0.3（12 个目标共用）,21,0.4375,0.8929248300671244,0.9673094875658859,48,wind_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|gen_fuel_wind_pct|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gross_inadv_interchange_mw
gross_actual_interchange_mw,总实际交换功率,DGatingDNN,门控值 ≥ 0.01（断崖，阈值不敏感）,21,0.44680851063829785,0.6556821472378733,0.6506452242087606,47,solar_generation_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|forecast_load_mw_latest_available|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|system_energy_price_da|net_inadv_interchange_mw
gross_actual_interchange_mw,总实际交换功率,STG,门控值 ≥ 0.0,21,0.44680851063829785,0.6411982864269972,0.6506452242087606,47,solar_generation_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_solar_pct|prelim_load_avg_hourly|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_assigned_reg|total_pjm_rmpcp_cr|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|system_energy_price_da
gross_actual_interchange_mw,总实际交换功率,LassoNet,λ 路径上，验证损失在最优 5% 以内里最稀疏的点,47,1.0,0.6506452242087606,0.6506452242087606,47,wind_generation_mw|solar_generation_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_gas_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_oil_pct|gen_fuel_other_renewables_pct|gen_fuel_solar_pct|gen_fuel_wind_pct|forecast_load_mw_latest_available|prelim_load_avg_hourly|rmccp|rmpcp|total_pjm_rt_load_mwh|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_assigned_reg|total_pjm_rmccp_cr|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve|system_energy_price_da|system_energy_price_rt|total_lmp_rt|marginal_loss_price_rt|net_inadv_interchange_mw
gross_actual_interchange_mw,总实际交换功率,Lasso,交叉验证按 1 倍标准误规则选 alpha 后的非零系数,19,0.40425531914893614,0.6033963377776431,0.6506452242087606,47,solar_generation_mw|gen_fuel_hydro_mw|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_solar_mw|gen_fuel_storage_mw|gen_fuel_wind_mw|gen_fuel_coal_pct|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_pct|gen_fuel_other_renewables_pct|total_pjm_loc_credit|total_pjm_reg_purchases|total_pjm_self_sched_reg|total_pjm_rmpcp_cr|da_as_mcp_primary_reserve|da_as_ss_mw_primary_reserve|system_energy_price_da
