solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,marginal_loss_price_rt,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4091144,0.4555838,0.4389711,0.44304132,0.5449652,0.45711,0.49602106,0.43193313,0.45358372,0.41032717,0.4077757,0.42680576,0.47722584,0.46225256,0.4511665,0.45438102,0.42846495,0.48958817,0.47003043,0.54728615,0.45899263,0.48872033,0.43958902,0.3967733,0.52031803,0.4726578,0.43140772,0.42304778,0.45403785,0.43789145,0.50497955,0.39318803,0.53988636,0.5803178,0.5706305,0.44301403
0.36491123,0.40524504,0.39349595,0.3977209,0.55978,0.4185621,0.46607903,0.40508002,0.44623518,0.39398214,0.39921016,0.38711765,0.48013902,0.41916272,0.40317348,0.4164459,0.39354908,0.4557025,0.43071187,0.5479977,0.3899452,0.44356206,0.38917804,0.32836437,0.5130089,0.4133189,0.4263879,0.38183492,0.4340297,0.39941737,0.48951426,0.34563667,0.56227946,0.64549327,0.6231635,0.42042324
0.3130747,0.38045493,0.35601968,0.35768202,0.5748723,0.42419323,0.45144558,0.38521296,0.39673272,0.3903694,0.42650324,0.3467491,0.47220525,0.38475195,0.38937896,0.37243295,0.3949083,0.44226614,0.39859936,0.54457587,0.34924406,0.41372335,0.3456791,0.29001287,0.50159574,0.36312816,0.4380398,0.35117376,0.40956265,0.37787062,0.49414104,0.32335305,0.5652939,0.68528175,0.6543455,0.41499275
0.29188928,0.37053275,0.32263976,0.31912026,0.57213515,0.4110902,0.43981698,0.37900543,0.37052503,0.38067874,0.45472887,0.32877314,0.48314714,0.34560555,0.39861628,0.33242726,0.36972693,0.42438227,0.38078973,0.5426967,0.3042745,0.39638224,0.31519473,0.24618043,0.49319082,0.3244219,0.44738284,0.3225545,0.37222278,0.36453217,0.48827663,0.28093383,0.55820644,0.72726446,0.6838419,0.40120852
0.27567995,0.3402202,0.2792685,0.28743577,0.57878935,0.3923284,0.4316647,0.36971214,0.32806778,0.3779599,0.48400274,0.29676846,0.48502564,0.31203306,0.3816639,0.31495616,0.3519642,0.4036046,0.35229442,0.5346709,0.2794704,0.36156154,0.28156978,0.2205494,0.48904434,0.28139228,0.4449708,0.29606453,0.33834627,0.32702988,0.47396672,0.26745185,0.5590662,0.76696503,0.7140887,0.39240628
0.25703353,0.3324792,0.22095644,0.25448114,0.57995796,0.39205796,0.44422516,0.36119226,0.3009421,0.3927741,0.5170011,0.28559357,0.49593678,0.276572,0.35768357,0.29594323,0.33497313,0.38654053,0.32293308,0.52291137,0.23337582,0.37390998,0.25620767,0.19504362,0.47959682,0.2564686,0.4608024,0.29708365,0.2969354,0.29361627,0.47445264,0.23691991,0.5583678,0.80510896,0.7348344,0.38126728
0.24390994,0.30444008,0.1912961,0.23489417,0.57529986,0.41423094,0.44339156,0.34486067,0.28076187,0.38913423,0.5540925,0.26538825,0.49823126,0.24465428,0.3455708,0.2592551,0.32992142,0.35849077,0.3045665,0.5195106,0.19914207,0.3945266,0.22478762,0.17166394,0.48289418,0.22566196,0.47218433,0.29536077,0.27497277,0.26657483,0.45392424,0.21000883,0.5482398,0.84888643,0.77076083,0.38925225
0.21569239,0.2857179,0.16683124,0.21601601,0.57672876,0.42734113,0.44444844,0.32888636,0.28374875,0.41091657,0.57553065,0.24954052,0.50764453,0.22335762,0.3396154,0.23462826,0.3400097,0.3360539,0.28337693,0.5165884,0.16161546,0.41572967,0.19857207,0.15659244,0.46430203,0.22159433,0.48595476,0.30703947,0.25390232,0.26430485,0.45293173,0.17795536,0.5604004,0.88526577,0.7814717,0.38892993
0.19180931,0.27849552,0.1222698,0.19819133,0.5731578,0.42929158,0.45151296,0.33353177,0.28141367,0.4313433,0.62072146,0.26504835,0.507581,0.2247491,0.31303734,0.2034944,0.3319157,0.32344782,0.23823185,0.51635665,0.105164185,0.3993604,0.17266881,0.12823409,0.43948233,0.18050651,0.49658844,0.31105775,0.22993912,0.2557111,0.4383291,0.1556783,0.5442277,0.93229777,0.8031848,0.38909888
