field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
gen_fuel_coal_mw,0.30384063720703125,0.34682270884513855,0.3374587595462799,0.3293740451335907,0.018455110490322113,3,1
gen_fuel_natural_gas_mw,0.2079291194677353,0.1943705677986145,0.1699656844139099,0.19075512886047363,0.015707941725850105,3,1
area_1_load_day_ahead_mw,0.17355702817440033,0.15341795980930328,0.15794745087623596,0.16164080798625946,0.00862655695527792,3,1
system_losses_mw,0.12398484349250793,0.11008809506893158,0.1173987165093422,0.1171572208404541,0.005675892811268568,3,1
gen_fuel_wind_mw,0.08428313583135605,0.12437819689512253,0.09868838638067245,0.10244990140199661,0.016583429649472237,3,1
gen_fuel_solar_mw,0.09533412009477615,0.07599025219678879,0.11826404184103012,0.09652947634458542,0.017278889194130898,3,1
gen_fuel_hydro_mw,0.09142956137657166,0.0820973739027977,0.06926506012678146,0.0809306725859642,0.00908615067601204,3,1
area_1_net_export_mw,0.0591488853096962,0.046028003096580505,0.040478989481925964,0.04855195805430412,0.007828112691640854,3,1
area_2_net_export_mw,0.061270203441381454,0.041706934571266174,0.04174765571951866,0.04824160039424896,0.009212629869580269,3,1
reserve_spin_r2_mw,8.903869828935651e-12,0.17347197234630585,9.237204751100236e-11,0.057823989540338516,0.0817754715681076,1,0
area_2_load_day_ahead_mw,0.005135830491781235,0.0,0.14237093925476074,0.04916892573237419,0.06593712419271469,1,0
area_2_load_actual_mw,0.146420419216156,0.0,1.3647219510341205e-14,0.0488068051636219,0.0690232515335083,1,0
area_3_load_day_ahead_mw,0.0,0.0,0.07047443836927414,0.023491479456424713,0.03322196751832962,1,0
reserve_spin_r3_mw,0.0,0.056148774921894073,0.0,0.01871625892817974,0.026468783617019653,1,0
area_1_load_actual_mw,0.0,7.625865955066446e-19,0.0,2.541955232190835e-19,3.5948677470428724e-19,0,0
reserve_spin_r1_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_generation_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_day_ahead_mw,0.0,0.0,0.0,0.0,0.0,0,0
system_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
area_3_load_actual_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_down_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
gen_fuel_nuclear_mw,0.0,0.0,0.0,0.0,0.0,0,0
