k,DGatingDNN,STG,LassoNet,XGBoost,Lasso,Pearson
1,0.18663144359971162,0.131850648769254,0.229629720278124,0.229629720278124,0.229629720278124,0.229629720278124
2,0.18608356013658578,0.1391552677515162,0.2698840437808385,0.2698840437808385,0.2698840437808385,0.23776478110269705
3,0.24301966516409423,0.25820823646807434,0.284908663409835,0.28099315479136777,0.284908663409835,0.24400611009812623
4,0.24874565805222715,0.29067972171535084,0.28795731960596316,0.3268129922513041,0.29870085857668394,0.2896773458410139
5,0.28920865892296077,0.2938071902300151,0.29936020563501764,0.3220667252929069,0.30741205852602727,0.2865141525037448
6,0.27928824146729403,0.31453407731219685,0.30380268379477904,0.34413894422702673,0.30014505069943787,0.29428090806752083
7,0.342880589096733,0.32309146956386114,0.32176412288518863,0.35041586176192263,0.30384684684106467,0.2952327129039086
8,0.3391118107309181,0.3252935089373208,0.3151586899780878,0.4092848808161461,0.2917608566900566,0.2975958908532327
9,0.37110470412087637,0.3854501512036981,0.3516374388164789,0.3762259397489395,0.30851635104225916,0.3041602016841749
10,0.4498496118251457,0.35829372174060947,0.35015682053777863,0.395097248436314,0.3036216621786808,0.30472177380456855
