index,role,name
0,center,total_lmp_da
1,feature,system_energy_price_da
2,feature,system_energy_price_rt
3,feature,total_lmp_rt
4,feature,da_as_mcp_synchronized_reserve
5,feature,gen_fuel_oil_mw
6,feature,gen_fuel_nuclear_pct
7,feature,prelim_load_avg_hourly
8,feature,total_pjm_rt_load_mwh
9,feature,metered_load_mw
10,feature,forecast_load_mw_latest_available
11,feature,total_gen
12,feature,forecast_load_mw_day_ahead
13,feature,gen_fuel_hydro_mw
14,feature,gen_fuel_gas_mw
15,feature,gen_fuel_coal_mw
16,feature,gen_fuel_multiple_fuels_mw
17,feature,total_pjm_reg_purchases
18,feature,da_as_as_mw_thirty_minutes_reserve
19,feature,da_as_total_mw_thirty_minutes_reserve
20,feature,total_pjm_rmccp_cr
21,feature,total_losses
22,feature,gross_inadv_interchange_mw
23,feature,total_pjm_assigned_reg
24,feature,net_actual_interchange_mw
25,feature,gross_actual_interchange_mw
26,feature,net_sched_interchange_mw
27,feature,total_pjm_loc_credit
28,feature,rmccp
29,feature,marginal_loss_price_rt
30,feature,marginal_loss_price_da
31,feature,gen_fuel_oil_pct
32,feature,da_as_mcp_primary_reserve
33,feature,congestion_price_da
34,feature,gen_fuel_other_renewables_pct
35,feature,gen_fuel_hydro_pct
36,feature,congestion_price_rt
37,feature,gen_fuel_storage_mw
38,feature,gen_fuel_coal_pct
39,feature,gen_fuel_multiple_fuels_pct
40,feature,gen_fuel_gas_pct
41,feature,net_inadv_interchange_mw
42,feature,gen_fuel_wind_pct
43,feature,total_pjm_rmpcp_cr
44,feature,rmpcp
45,feature,gross_sched_interchange_mw
46,feature,da_as_total_mw_synchronized_reserve
47,feature,gen_fuel_nuclear_mw
48,feature,da_as_as_mw_synchronized_reserve
49,feature,da_as_nsr_mw_primary_reserve
50,feature,da_as_ss_mw_primary_reserve
51,feature,wind_generation_mw
52,feature,gen_fuel_wind_mw
53,feature,gen_fuel_solar_pct
54,feature,da_as_ss_mw_synchronized_reserve
55,feature,da_as_as_req_mw_synchronized_reserve
56,feature,gen_fuel_other_renewables_mw
57,feature,da_as_ss_mw_thirty_minutes_reserve
58,feature,da_as_as_mw_primary_reserve
59,feature,solar_generation_mw
60,feature,da_as_as_req_mw_thirty_minutes_reserve
61,feature,da_as_as_req_mw_primary_reserve
62,feature,da_as_total_mw_primary_reserve
63,feature,gen_fuel_solar_mw
64,feature,total_pjm_self_sched_reg
