epoch,train_residual_mse_mean,val_residual_mse_mean,val_y_r2_mean,median_effective_norm,max_effective_norm
1,0.9929036940589095,0.9784833788871765,0.7623422741889954,0.10560901463031769,0.30583351850509644
2,0.9248892710064397,0.913585364818573,0.7781049013137817,0.09074655175209045,0.48981034755706787
3,0.8530875412803708,0.8643882870674133,0.7900541424751282,0.09088660776615143,0.5723643898963928
4,0.8062071204185486,0.8299281001091003,0.7984239459037781,0.08647263050079346,0.5840713381767273
5,0.7590003609657288,0.7954036593437195,0.8068093061447144,0.08156858384609222,0.6027418971061707
6,0.7146801822113268,0.782230019569397,0.8100091218948364,0.07926036417484283,0.631100058555603
7,0.6789221506227147,0.75398188829422,0.8168700933456421,0.07549276947975159,0.6617027521133423
8,0.6505140626069271,0.7459646463394165,0.8188172578811646,0.07156629860401154,0.7029538154602051
9,0.628011320124973,0.7439538240432739,0.8193057179450989,0.0659184530377388,0.7550730109214783
10,0.595461625492934,0.7040359377861023,0.8290011286735535,0.06105595827102661,0.781806468963623
11,0.5524214298436136,0.7057341933250427,0.8285886645317078,0.05595516785979271,0.8067337870597839
12,0.5462673080689979,0.6634286642074585,0.8388639688491821,0.050218336284160614,0.8345355987548828
13,0.5187884657220407,0.6619031429290771,0.839234471321106,0.04578147083520889,0.8531444072723389
14,0.5203618669148647,0.6337224245071411,0.8460791707038879,0.041646506637334824,0.871423602104187
15,0.4940731270295201,0.624111533164978,0.848413348197937,0.03676526993513107,0.8836255073547363
16,0.4823856385368289,0.6221832036972046,0.8488818407058716,0.03345699980854988,0.8993232846260071
17,0.4713779114412539,0.6327084898948669,0.8463252782821655,0.030502866953611374,0.9045034050941467
18,0.45730828967961396,0.6106557250022888,0.8516815900802612,0.027594970539212227,0.9120540618896484
19,0.4566035677086223,0.6031709909439087,0.8534995913505554,0.02515557035803795,0.9109184145927429
20,0.44346195820606116,0.6070351600646973,0.8525609970092773,0.022355634719133377,0.9223440289497375
21,0.439226308555314,0.6215532422065735,0.8490349054336548,0.01995829865336418,0.9066945910453796
22,0.429697288256703,0.5944498777389526,0.8556178212165833,0.017622603103518486,0.9143494367599487
23,0.4189487034172723,0.5744835138320923,0.8604673147201538,0.015555799007415771,0.9181603193283081
24,0.41355782882733777,0.6102698445320129,0.8517753481864929,0.01367630809545517,0.9138341546058655
25,0.42836390616315784,0.6556723713874817,0.8407478332519531,0.01195346936583519,0.9123542904853821
26,0.41762428437218524,0.5789521932601929,0.8593819737434387,0.010301457718014717,0.910127580165863
27,0.4168553700049718,0.672371506690979,0.8366918563842773,0.008961125276982784,0.9062240123748779
28,0.41413103743936075,0.5829626321792603,0.8584077954292297,0.007853765040636063,0.9083694815635681
29,0.39714581496787793,0.558169424533844,0.8644296526908875,0.0068512847647070885,0.9090461730957031
30,0.39378233208800806,0.5562440156936646,0.8648973703384399,0.005872655194252729,0.9067681431770325
31,0.3879928162152117,0.5884091854095459,0.8570850491523743,0.005098180845379829,0.9000489115715027
32,0.3879929794506593,0.5677078366279602,0.8621129989624023,0.004420098382979631,0.898442804813385
33,0.3875096806071021,0.5749062895774841,0.860364556312561,0.003763376735150814,0.9002190232276917
34,0.3880119296637448,0.5558738708496094,0.8649872541427612,0.0031815990805625916,0.8977559804916382
35,0.37251389636234805,0.5468591451644897,0.8671768307685852,0.002615500707179308,0.889500617980957
36,0.3817238500623992,0.5538283586502075,0.8654841184616089,0.0021734926849603653,0.8922786712646484
37,0.38043064962733875,0.5489171743392944,0.866676926612854,0.0018411754863336682,0.8871002793312073
38,0.38939862675739056,0.6232700347900391,0.8486177325248718,0.001509009045548737,0.883655309677124
39,0.3817468551975308,0.5873310565948486,0.8573468327522278,0.0011953853536397219,0.8770664930343628
40,0.3689026518753081,0.5502777099609375,0.8663464784622192,0.0009634614689275622,0.8824601769447327
41,0.3557155592875047,0.6115676760673523,0.8514601588249207,0.0007513089803978801,0.8759227991104126
42,0.360610849478028,0.5411047339439392,0.8685744404792786,0.0005995199317112565,0.8777919411659241
43,0.3507367377028321,0.5708609819412231,0.8613470792770386,0.0004600621177814901,0.870872974395752
