total_gen,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5225736,0.56175977,0.44015655,0.5595831,0.42109278,0.41564324,0.4675392,0.57477987,0.45901054,0.4978935,0.50271803,0.5689556,0.56678915,0.5130021,0.49933982,0.45645833,0.48791155,0.47991762,0.4971676,0.5223599,0.50749683,0.4770158,0.49838293,0.44803306,0.4323996,0.41036743,0.45895907,0.41667235,0.4296252,0.4647653,0.46362647,0.5088605,0.4463152,0.48485103,0.46216702,0.47480422,0.5604018,0.474359,0.44808388,0.39107436,0.47475925,0.5009311,0.508963,0.5269688,0.473935,0.4934307
0.5387299,0.5893734,0.39735326,0.58848757,0.3975644,0.36351237,0.47943354,0.6162283,0.4482196,0.496014,0.48380122,0.6057504,0.61781186,0.50518614,0.4777971,0.4239438,0.48750716,0.43707442,0.5116944,0.5416575,0.5157656,0.46064186,0.5135333,0.41205296,0.40018594,0.35083845,0.4278467,0.36398244,0.39829895,0.4523631,0.42898422,0.5505857,0.41732466,0.48296204,0.45364758,0.47916168,0.58375025,0.46287787,0.42237562,0.29795802,0.47831526,0.5485344,0.55282867,0.54020077,0.44049746,0.4942785
0.5487773,0.61717963,0.38749287,0.62544686,0.36620238,0.31528178,0.4848197,0.6448319,0.4262599,0.51009834,0.4742716,0.6628266,0.64971215,0.5172973,0.43614814,0.40746585,0.47637022,0.42307773,0.5296648,0.55209625,0.5168359,0.44015324,0.51017666,0.3637423,0.37295917,0.27727932,0.38314787,0.3194084,0.36013275,0.42548737,0.39000255,0.58637786,0.38909683,0.49104747,0.45496798,0.462708,0.6112645,0.4494724,0.39845514,0.20307519,0.49499017,0.57071084,0.5912463,0.5514048,0.40886277,0.5057154
0.55686444,0.6502267,0.3567032,0.6622007,0.33130097,0.26349577,0.5004489,0.6692664,0.40894902,0.50068265,0.45768052,0.6950927,0.6893679,0.52072865,0.40512908,0.40436682,0.45753193,0.3979898,0.5441196,0.5665711,0.53058225,0.40156415,0.50838315,0.29129764,0.35984084,0.20762755,0.33830222,0.2883343,0.3321834,0.40476656,0.3565201,0.6297877,0.33669475,0.47522157,0.4424079,0.45969504,0.64641356,0.44113702,0.37316912,0.11663953,0.5152059,0.590614,0.6200779,0.5558702,0.36938074,0.5183313
0.5525978,0.69084775,0.32246056,0.692695,0.28375348,0.19813725,0.509174,0.7029793,0.38866726,0.4984874,0.43912405,0.7241776,0.72200537,0.5285397,0.34961194,0.37254903,0.42031777,0.36298993,0.5530621,0.5709098,0.5299181,0.3597546,0.5042373,0.20397413,0.31923753,0.13372213,0.2876747,0.24773164,0.29427713,0.37120032,0.31651926,0.6730359,0.27053294,0.46333346,0.4177996,0.46079156,0.68180424,0.42720568,0.3335969,0.034981757,0.5590329,0.6039969,0.66150045,0.54792386,0.32610404,0.52225065
0.5437559,0.71639925,0.27977964,0.72113776,0.2302608,0.13759524,0.533505,0.7317238,0.36282933,0.5023047,0.41384572,0.7623524,0.74958813,0.5300644,0.29799998,0.34163365,0.3853149,0.31820083,0.54392296,0.57800645,0.5197396,0.30064315,0.49874446,0.12781484,0.2882785,0.05560355,0.23647815,0.21025106,0.25418693,0.34652254,0.26366773,0.70531464,0.206748,0.44710374,0.38297066,0.4446313,0.7089812,0.40741748,0.28365642,0.0,0.5871638,0.63083977,0.6910255,0.557742,0.28855592,0.5304933
0.5401114,0.7497042,0.24345826,0.74354035,0.19146249,0.06546147,0.55139154,0.7622862,0.31621614,0.50396544,0.37636068,0.78747195,0.7813324,0.5257915,0.23690413,0.30587736,0.34573498,0.2781834,0.5309701,0.5750098,0.5164994,0.25148395,0.5023073,0.038103778,0.27145794,0.0,0.18834953,0.16597281,0.21622117,0.3030212,0.2077679,0.7230292,0.13822712,0.42572454,0.34934282,0.43351692,0.7419778,0.3844302,0.23966971,0.0,0.6265326,0.64429015,0.7206182,0.56175864,0.24133766,0.5364554
0.53185546,0.77606976,0.1976681,0.7624369,0.14070934,0.0066132564,0.5631101,0.78876555,0.27385062,0.504514,0.33142874,0.8063735,0.8250823,0.52576697,0.17014357,0.26488826,0.30694228,0.22525628,0.5352991,0.5808657,0.515621,0.20060146,0.49316984,0.0,0.23199634,0.0,0.13606001,0.14123067,0.17772624,0.28386885,0.15815014,0.75072837,0.08028744,0.41022262,0.32011083,0.42481396,0.77276695,0.3585081,0.19109681,0.0,0.70094913,0.6637578,0.74904233,0.5594344,0.19112721,0.524447
0.531151,0.82677764,0.1520071,0.77462304,0.08663745,0.0,0.5761815,0.8194177,0.22984794,0.51162094,0.28599983,0.8346247,0.8672272,0.5234857,0.10423062,0.2182803,0.25549483,0.18195389,0.53271496,0.58112055,0.5198965,0.14416537,0.47981584,0.0,0.18492179,0.0,0.07919578,0.09825673,0.13623773,0.25503305,0.09715952,0.7848307,0.016214415,0.38119873,0.27196983,0.41926104,0.79181904,0.33154002,0.14255102,0.0,0.7469297,0.6913198,0.77291656,0.57112294,0.12662016,0.5490127
