方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9130715036795276,system_energy_price_da|gen_fuel_other_renewables_mw|gen_fuel_gas_mw|total_losses|gen_fuel_oil_mw|congestion_price_da|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|wind_generation_mw|forecast_load_mw_latest_available|da_as_as_mw_thirty_minutes_reserve|congestion_price_rt|gen_fuel_coal_pct|net_actual_interchange_mw|da_as_mcp_primary_reserve|gen_fuel_hydro_pct|total_pjm_reg_purchases|da_as_as_mw_synchronized_reserve|gross_inadv_interchange_mw|total_lmp_rt|rmpcp
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.884933993184305,gen_fuel_gas_pct|system_energy_price_da|congestion_price_da|forecast_load_mw_latest_available|da_as_mcp_synchronized_reserve|gen_fuel_nuclear_mw|gen_fuel_oil_mw|net_actual_interchange_mw|net_sched_interchange_mw|gross_sched_interchange_mw|total_losses|gen_fuel_hydro_mw|da_as_as_mw_synchronized_reserve|da_as_mcp_primary_reserve|da_as_as_mw_primary_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_gen|da_as_ss_mw_primary_reserve|da_as_nsr_mw_primary_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9052261357749956,system_energy_price_da|total_losses|congestion_price_da|gross_sched_interchange_mw|system_energy_price_rt|gen_fuel_hydro_pct|gen_fuel_solar_pct|gross_inadv_interchange_mw|gen_fuel_oil_mw|gen_fuel_multiple_fuels_pct|total_lmp_rt|da_as_as_mw_thirty_minutes_reserve|net_sched_interchange_mw|total_pjm_rmccp_cr|da_as_mcp_synchronized_reserve|total_pjm_reg_purchases|gen_fuel_oil_pct|metered_load_mw|gen_fuel_wind_mw|gen_fuel_other_renewables_mw|gen_fuel_nuclear_mw|rmpcp
XGBoost,树模型特征重要性（2016）,0.9149944816661765,system_energy_price_da|total_losses|metered_load_mw|forecast_load_mw_latest_available|congestion_price_da|total_lmp_rt|da_as_as_req_mw_primary_reserve|net_sched_interchange_mw|gen_fuel_other_renewables_pct|gen_fuel_gas_pct|gen_fuel_solar_mw|net_actual_interchange_mw|gross_sched_interchange_mw|gen_fuel_gas_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gen_fuel_oil_mw|gen_fuel_hydro_mw|congestion_price_rt|da_as_as_mw_thirty_minutes_reserve|gen_fuel_hydro_pct|gen_fuel_nuclear_pct
Lasso,线性稀疏（1996）,0.915678021901159,gen_fuel_gas_mw|system_energy_price_da|gen_fuel_oil_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_mw|gen_fuel_multiple_fuels_pct|gen_fuel_solar_pct|forecast_load_mw_latest_available|total_losses|gen_fuel_oil_pct|gen_fuel_solar_mw|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|gen_fuel_nuclear_mw|prelim_load_avg_hourly|marginal_loss_price_rt|da_as_as_mw_thirty_minutes_reserve|congestion_price_da|gen_fuel_hydro_mw|gross_sched_interchange_mw|gen_fuel_nuclear_pct
Pearson,相关系数排序（只看两两关系）,0.893660949404031,system_energy_price_da|gen_fuel_oil_mw|gen_fuel_oil_pct|marginal_loss_price_rt|total_lmp_rt|system_energy_price_rt|da_as_mcp_synchronized_reserve|forecast_load_mw_latest_available|prelim_load_avg_hourly|metered_load_mw|total_pjm_rt_load_mwh|total_gen|total_losses|da_as_mcp_primary_reserve|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_gas_mw|congestion_price_da|gen_fuel_other_renewables_pct|gen_fuel_hydro_mw|congestion_price_rt|gross_inadv_interchange_mw
