total_losses,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0408794,0.942101,0.9802119,1.0100758,0.9692382,1.1869467,0.70757765,1.0474364,0.9608207,0.9410055,1.2635571,0.9528865,0.78762615,0.7947642,0.86529666,0.7681439,0.71565175,0.70685077,0.8842013,0.8528778,0.96641636,0.68353677,0.8848816,0.8147693,0.79788244,0.853489,0.8414342,0.7317102,0.8398112,0.9221976
0.90406674,0.7932817,0.8468823,0.8548219,0.88830227,1.1517624,0.48924866,0.94061655,0.77424157,0.82023525,1.2202888,0.80685604,0.59932697,0.61269236,0.7405072,0.57813054,0.5036471,0.52879983,0.6901488,0.6281375,0.87837976,0.48007342,0.7469293,0.62066174,0.6443955,0.7363169,0.7094078,0.525883,0.66994846,0.75792354
0.7791225,0.6821391,0.72378516,0.73347956,0.80070513,1.0594665,0.32298067,0.8271237,0.62610257,0.7044861,1.1501501,0.7066588,0.45748746,0.46331787,0.615027,0.42327273,0.35260364,0.38774952,0.51521045,0.4629468,0.7813853,0.3368181,0.60955983,0.48741263,0.5037752,0.6265425,0.59754884,0.38869324,0.5271325,0.6021568
0.6695222,0.60406125,0.6114571,0.6304361,0.71840215,0.9608144,0.2065043,0.70477384,0.5008534,0.587701,1.0738323,0.63558865,0.3488567,0.34005752,0.49635217,0.3026118,0.24100715,0.28278783,0.38956627,0.34635723,0.70337474,0.23033223,0.48709595,0.38374537,0.3834582,0.5322069,0.49483538,0.28130764,0.40730196,0.46685502
0.5720774,0.5337509,0.51646364,0.54147345,0.6494639,0.8698618,0.12787297,0.6120761,0.40259776,0.48764467,0.9914763,0.5555659,0.26675075,0.24764073,0.39008966,0.21332984,0.16348477,0.20810501,0.29000062,0.25628528,0.6208832,0.15231071,0.38273814,0.2939651,0.28129745,0.44163218,0.4210367,0.20819275,0.30591682,0.35448465
0.48342776,0.49108285,0.43916512,0.46133155,0.58861244,0.7882572,0.0756804,0.5135361,0.32934007,0.41638982,0.9153444,0.49105492,0.20496444,0.18043554,0.29828936,0.14735922,0.10895156,0.15040103,0.21918099,0.18678181,0.5461261,0.09974125,0.29748213,0.22401947,0.2010738,0.3624023,0.3554104,0.14933181,0.22823136,0.25966302
0.4100107,0.44580775,0.36652675,0.39999083,0.5403533,0.70743376,0.042871296,0.436936,0.29015648,0.36480406,0.85127324,0.43701005,0.15877232,0.1240603,0.22368366,0.103485465,0.07346547,0.11208314,0.16587727,0.13578786,0.47965246,0.06561455,0.23105033,0.16365565,0.14021632,0.29173955,0.30183646,0.10952223,0.16746941,0.18893076
0.34669712,0.42074454,0.30607152,0.34619507,0.5032532,0.6388629,0.022886345,0.37105563,0.2643888,0.32355323,0.7877737,0.39197946,0.123472735,0.08452646,0.1636282,0.073898554,0.049982354,0.08615504,0.12533979,0.097949155,0.428717,0.042283464,0.17534441,0.119704075,0.094073236,0.23199868,0.25769004,0.077735275,0.12096393,0.13446572
0.28708312,0.40052703,0.25796,0.30700046,0.471422,0.5728992,0.011585758,0.31381842,0.25030506,0.30182374,0.7297538,0.35677585,0.09396099,0.054811113,0.11698625,0.052774403,0.03329516,0.06903695,0.09491487,0.069991104,0.3789662,0.028050445,0.13113576,0.08259034,0.061220475,0.18156704,0.21705094,0.05483859,0.08928443,0.09383909
