area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6936563,0.7422639,0.6509055,0.8437997,0.67308277,0.69449836,0.71254426,0.8207437,0.6761776,0.77201116,0.7007158,0.70674956,0.6774698,0.67446595,0.78658175,0.7920252,0.6861371,0.77645504,0.65197444,1.1367804,0.9111923,0.72982365,0.67056215,0.7053313,0.8439581,0.67431694,0.70161533,0.8047895,0.66408473
0.47324854,0.5432456,0.40676495,0.7394428,0.46396765,0.47457096,0.5164162,0.62318563,0.47457457,0.62886584,0.47930938,0.53413653,0.4405782,0.46500945,0.5736043,0.6150939,0.49868658,0.5998536,0.42370585,1.000515,0.7579213,0.56943333,0.56332767,0.4993053,0.63948005,0.43235022,0.50537294,0.65794593,0.4329308
0.3312498,0.40852672,0.25144124,0.64786106,0.31704074,0.32338625,0.37356943,0.4912508,0.33005044,0.5175521,0.32434818,0.40336767,0.30977103,0.31140006,0.40604052,0.49337703,0.39949477,0.50430214,0.2708604,0.8612178,0.63714534,0.44302425,0.42700082,0.3504849,0.5002062,0.27425668,0.3581121,0.54069597,0.28098518
0.24384542,0.32886174,0.14926754,0.585906,0.22342382,0.21301302,0.26967946,0.38715157,0.2293226,0.44393778,0.22165512,0.3123963,0.22970085,0.20665233,0.27657503,0.39957714,0.34886447,0.44889554,0.17029363,0.75375515,0.5455895,0.35465467,0.3320837,0.24095267,0.3823,0.172533,0.2491556,0.45857185,0.17599568
0.18046398,0.2698501,0.085881636,0.5396397,0.15955493,0.1380654,0.19483192,0.30895296,0.1548983,0.38722578,0.15183784,0.24563129,0.1801331,0.13534985,0.18318307,0.32662505,0.31964055,0.42167237,0.104031555,0.66142356,0.4752699,0.28241366,0.2647802,0.16511826,0.2896365,0.10709925,0.17439382,0.39080292,0.10768604
0.13433643,0.2306679,0.04709342,0.5013789,0.11570562,0.086604595,0.14082935,0.25394094,0.10502067,0.3422885,0.105503865,0.20026292,0.14376733,0.08804085,0.11921743,0.2726317,0.30683783,0.40702063,0.061988946,0.59141123,0.4258866,0.223875,0.22101259,0.11317014,0.22004974,0.06592185,0.12329542,0.33974513,0.06414997
0.10013382,0.20348047,0.024640348,0.4732043,0.085372806,0.053684622,0.10345661,0.20902033,0.07005662,0.30734935,0.07370948,0.164481,0.11737226,0.05428089,0.07631891,0.22780514,0.29811463,0.3904089,0.03448311,0.5277882,0.3851301,0.1767032,0.18722008,0.07912283,0.16651022,0.039916273,0.087411165,0.2953217,0.038720153
0.07324013,0.18293005,0.012089194,0.44727024,0.06300848,0.03231697,0.07642991,0.17411655,0.044372037,0.2765414,0.050826833,0.13333875,0.10053981,0.03296319,0.046708066,0.19265173,0.2914873,0.37161535,0.018417895,0.47477892,0.35309428,0.13693585,0.15866083,0.053850286,0.12732667,0.023132695,0.060159918,0.25906247,0.0219328
0.05296749,0.16722314,0.0055031036,0.42516664,0.04606368,0.018677205,0.056678418,0.14678726,0.027023248,0.25041637,0.03426966,0.10862485,0.08500819,0.017924936,0.02803626,0.16320463,0.28703532,0.35355777,0.0088354135,0.43019685,0.32630897,0.10507119,0.13975789,0.037209798,0.09649308,0.012734587,0.041251063,0.23045382,0.012344039
0.037483923,0.15714133,0.0023180423,0.4050407,0.03360535,0.0103254095,0.042254087,0.12590891,0.015251818,0.22715625,0.022665264,0.08705893,0.07328482,0.009220258,0.015916161,0.13807242,0.2823042,0.32741404,0.00395519,0.3845642,0.302401,0.07900603,0.12314875,0.025152978,0.07256412,0.0066146557,0.027413871,0.20419542,0.0066750515
0.025983399,0.14768377,0.0008910186,0.3903084,0.023748806,0.005317207,0.03086456,0.10728296,0.007512975,0.20809641,0.01429246,0.07011288,0.064515,0.004428851,0.008436951,0.119780004,0.27809396,0.31088793,0.0016333354,0.34824204,0.28794616,0.058506947,0.11253574,0.016249558,0.05623092,0.0031896294,0.017067289,0.1863688,0.003425481
0.017436914,0.1388235,0.00031226967,0.37523583,0.016178228,0.0025649427,0.022273174,0.09292806,0.00339922,0.19019125,0.008552664,0.055228345,0.057785403,0.0019503927,0.0041905036,0.10199542,0.27191028,0.29437461,0.000617017,0.31492066,0.2692971,0.042278692,0.10325768,0.0101145115,0.043131497,0.0014227553,0.010220839,0.16729279,0.0015517054
0.01128626,0.13185365,9.911332e-05,0.36030334,0.01066042,0.0011434781,0.015652213,0.0817628,0.0013487474,0.17340551,0.004872436,0.043171324,0.05081388,0.00080456334,0.0019016922,0.08933007,0.26664793,0.27762842,0.00021441648,0.28333384,0.2587692,0.02977408,0.09439413,0.005683675,0.034258604,0.0005884458,0.0055843405,0.15408203,0.0006233926
0.007053561,0.12338202,2.8353781e-05,0.3480511,0.006671989,0.00046963547,0.010431719,0.06922306,0.00048296133,0.15872718,0.0026072701,0.033102494,0.047151558,0.0003089297,0.0007923975,0.07830452,0.2614126,0.27048576,6.806128e-05,0.25459388,0.24654219,0.020564277,0.08793164,0.0029837834,0.027141064,0.00022404328,0.0028205966,0.14319457,0.00022181292
0.0042565363,0.11930202,7.266401e-06,0.33715835,0.0040447847,0.00017825382,0.00682207,0.061524455,0.00015616769,0.14578633,0.0013254026,0.024873631,0.04313818,0.0001097693,0.00030338307,0.067571186,0.25597447,0.25616395,1.9586758e-05,0.2288923,0.23370737,0.013771637,0.08268167,0.0014189074,0.021186834,7.847601e-05,0.0013161666,0.13192008,7.0658854e-05
0.0024561086,0.11168265,1.6555769e-06,0.32468873,0.0023150668,6.202255e-05,0.004195508,0.053429276,4.5371693e-05,0.13233303,0.0006307097,0.018206872,0.038873333,3.578519e-05,0.00010592767,0.060123958,0.2524914,0.24779548,5.0691515e-06,0.20513923,0.2253812,0.008936316,0.07907395,0.00061617466,0.017026158,2.5103787e-05,0.00056175585,0.12586547,2.019992e-05
0.001359977,0.10888978,3.326091e-07,0.31640556,0.0012727465,1.9730473e-05,0.0024913275,0.047289692,1.1843835e-05,0.12156341,0.00028265762,0.0129479,0.03537876,1.0645295e-05,3.3731223e-05,0.05186162,0.24511155,0.23740031,1.1708133e-06,0.18375888,0.21439801,0.0056088795,0.07217467,0.00024216097,0.013410773,7.297836e-06,0.00022058844,0.1163296,5.1581355e-06
0.00071567664,0.10331658,5.839058e-08,0.30522063,0.0006600132,5.698966e-06,0.0013867171,0.042276062,2.7583646e-06,0.11027093,0.00011812329,0.008951209,0.033207636,2.8650106e-06,9.737426e-06,0.046114903,0.24024723,0.22968449,2.3924736e-07,0.16638167,0.20706181,0.0033905904,0.06863386,8.744487e-05,0.0107361395,1.9139488e-06,7.951878e-05,0.11148864,1.1724061e-06
