area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_nuclear_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6940488,0.7456966,0.6273252,0.6775458,0.66902256,1.0670573,0.66498375,0.64780873,0.9558757,0.6474785,0.68533576,0.7448832,0.6751782,0.87991357,0.73299074,0.7786157,0.701229,0.6949231,1.0038652,0.75969005,1.018495,1.0917468,0.93823224,0.71723723,0.6790643,0.67118615,0.7141873,0.6606581,0.6535609,0.6450045
0.45811182,0.6396413,0.39767855,0.44865194,0.4436219,1.0715961,0.4332776,0.4103451,0.7237372,0.42626208,0.4604608,0.63718534,0.44653276,0.65008366,0.5240507,0.5605458,0.47278377,0.48959926,0.8160044,0.53491676,0.80540806,1.0012082,0.8641411,0.5247738,0.45051497,0.4839509,0.44492126,0.4310186,0.4041032,0.40695533
0.2944708,0.5483627,0.24340236,0.29063463,0.28612617,1.0347468,0.26258326,0.24463591,0.53824425,0.26914808,0.2975325,0.53131664,0.28248963,0.48215792,0.3581444,0.38667902,0.30105972,0.32095966,0.6637441,0.37000862,0.7623018,0.8703638,0.7640508,0.36798573,0.28667608,0.32597634,0.2753477,0.2676811,0.23904985,0.25275838
0.18550521,0.4323308,0.14270414,0.18116154,0.17381069,0.9281487,0.15362656,0.13808437,0.39271373,0.16325393,0.18244933,0.40611178,0.1719131,0.34717327,0.23538728,0.26235804,0.18389301,0.20128916,0.5302381,0.2532501,0.64717895,0.74871886,0.63962805,0.25062943,0.17693529,0.21102217,0.1631921,0.15801598,0.13637452,0.15196669
0.11171081,0.33232316,0.079686455,0.10764252,0.10070863,0.8354153,0.08559763,0.07444989,0.2793363,0.09473468,0.10742794,0.3040221,0.10025151,0.24114934,0.14842367,0.17111301,0.1075275,0.12045182,0.40961024,0.16656975,0.5487717,0.6444415,0.53595084,0.16398126,0.10459968,0.13082294,0.092858754,0.08911212,0.07422428,0.08722708
0.06392652,0.24741676,0.042116508,0.060645066,0.055539962,0.75229365,0.045264382,0.037993323,0.1926852,0.053289033,0.060288575,0.22073883,0.055655967,0.1614373,0.089663684,0.10664864,0.059858315,0.06891252,0.30908903,0.10487043,0.46350452,0.5537189,0.44909656,0.10300769,0.05901616,0.07749118,0.050492633,0.047796536,0.038216956,0.04758051
0.034671944,0.17822616,0.020971878,0.03229127,0.029012892,0.6801279,0.022614827,0.01820708,0.1294105,0.029199151,0.03203311,0.1545445,0.02928542,0.103844486,0.051724207,0.06378083,0.03154754,0.037510827,0.22765717,0.06318771,0.3920262,0.4728118,0.374938,0.061983876,0.03167441,0.043710645,0.025950367,0.024222486,0.018528244,0.024549866
0.017787276,0.123974614,0.009786917,0.016196707,0.01426715,0.61732996,0.010606221,0.008138585,0.084456496,0.015757162,0.016053924,0.103934154,0.014536003,0.06415207,0.028391719,0.03645134,0.015644716,0.01934468,0.16298829,0.036365326,0.331141,0.4021108,0.31225383,0.03564248,0.016065352,0.023408107,0.012546946,0.011535612,0.008399738,0.011909605
0.008588336,0.08333847,0.004254664,0.007620078,0.006570396,0.5678373,0.0046395687,0.0033719274,0.05398997,0.008606017,0.007552342,0.067126565,0.006774387,0.03805717,0.014764515,0.019857697,0.007264027,0.009430125,0.11321658,0.019927794,0.28340086,0.34177607,0.2639054,0.019570079,0.007672839,0.01184846,0.005671775,0.0051326067,0.0035323896,0.0054024565
