area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,month_of_year
0.32021183,0.065792285,0.017154045,0.002986002,0.494729,0.06508374,0.04488875,0.006662264,0.0045656743,0.10119244,0.0061061387,0.0068947817,0.36414957,0.1206612,0.0075210347,0.19691923,0.0041616447,0.07791862,0.011049685,0.056061856,0.021451347,0.2848851,0.4122951,0.047132097,0.10647381,0.4437735,0.22083263,0.52661914,0.37444195,0.2829141,0.21055996,0.094591334,0.022838913,0.044414654,0.004101164,0.011460425,0.042304542,0.026369827,0.009171828,0.006444292,0.0022335604
0.28628868,0.04909768,0.009907452,0.0012108145,0.4700016,0.045205425,0.032001026,0.0031291102,0.0020345945,0.074077256,0.002748871,0.0036414193,0.33003533,0.10138875,0.0035955936,0.17504929,0.0017759291,0.06910758,0.005616543,0.039407965,0.013006138,0.2728643,0.40542272,0.036741316,0.0912574,0.4077993,0.21598193,0.49753958,0.35667098,0.2688796,0.19327427,0.07545117,0.013700001,0.03345962,0.0017577324,0.0066962903,0.031054823,0.018605929,0.0044440734,0.0029450883,0.0008525035
0.2587636,0.03625368,0.005420382,0.0004517745,0.44919822,0.030815426,0.022210756,0.0013770405,0.000847745,0.055522498,0.0011566377,0.0016939277,0.3008641,0.08564419,0.0016001591,0.15554895,0.0006997673,0.062846065,0.0026991372,0.0278614,0.007380136,0.26570365,0.3864699,0.02847675,0.08214869,0.37669235,0.20691013,0.47435322,0.34111264,0.25815135,0.17839265,0.059752077,0.007894336,0.025732921,0.00069599476,0.0036199973,0.023060868,0.012601807,0.0020035757,0.0012409029,0.00029705794
0.22999433,0.025882155,0.0028240292,0.00015470725,0.42705646,0.019805942,0.015271213,0.00056137313,0.00032567594,0.03980813,0.00045090247,0.0006771904,0.27230403,0.070440754,0.00066174485,0.13690597,0.00025384396,0.05640161,0.0012102568,0.019491794,0.003946832,0.25795385,0.38131863,0.021167142,0.073075496,0.34855583,0.19773859,0.44783658,0.3234394,0.2493682,0.16591749,0.04773107,0.004290259,0.01944213,0.0002534095,0.0017751392,0.017624779,0.008217861,0.0008386716,0.00048386148,9.3909555e-05
0.20489968,0.018199371,0.0013760116,4.8218364e-05,0.4083837,0.012511537,0.01002978,0.00021292325,0.000115432755,0.027970746,0.00016141916,0.00023206645,0.24698398,0.058432896,0.00025344218,0.12274599,8.438427e-05,0.05330143,0.0005059744,0.013691292,0.0019810754,0.2541373,0.37012613,0.015765486,0.065893315,0.3238019,0.19281659,0.42524216,0.31361943,0.24313116,0.15648131,0.03780366,0.0022143668,0.014528368,8.44659e-05,0.0007925671,0.014161819,0.0051620556,0.00032499936,0.00017320314,2.6768741e-05
0.18468244,0.012425206,0.00062534213,1.3572498e-05,0.39198378,0.007532227,0.006330567,7.437567e-05,3.74179e-05,0.019148262,5.2729007e-05,6.792046e-05,0.22408879,0.04789246,8.940185e-05,0.109014675,2.5504898e-05,0.047762744,0.00019595375,0.009134955,0.0009179386,0.2500697,0.35884628,0.010886501,0.058137707,0.29923034,0.18510859,0.40624222,0.297349,0.23733155,0.14695895,0.028883588,0.0010780129,0.010955339,2.5612166e-05,0.00031839914,0.011010208,0.0029839985,0.000115981646,5.6714867e-05,6.8322297e-06
0.16348846,0.008168235,0.00026482,3.4270856e-06,0.37663484,0.004310734,0.0038274974,2.3777071e-05,1.1019997e-05,0.0126141375,1.5632175e-05,1.7349848e-05,0.20208135,0.03849835,2.8876071e-05,0.09709853,6.963001e-06,0.044258904,7.0015056e-05,0.005796137,0.0003927286,0.24668345,0.3511495,0.0073315115,0.051321078,0.27797893,0.17935167,0.38672325,0.28673398,0.22957331,0.1413937,0.021512166,0.0004927712,0.008008674,7.0139977e-06,0.00011613367,0.008345,0.0015706936,3.7888756e-05,1.687713e-05,1.5501212e-06
0.14716455,0.0051873326,0.00010404843,7.7012896e-07,0.36302307,0.0023527604,0.002216784,6.913552e-06,2.9293367e-06,0.007884535,4.1812746e-06,3.9022057e-06,0.18363644,0.030674975,8.487158e-06,0.086197846,1.7038185e-06,0.041083027,2.2944947e-05,0.0035336995,0.00015456867,0.24403432,0.3424334,0.004700744,0.045005698,0.25951317,0.17061388,0.37056303,0.27547494,0.22402178,0.13306853,0.015809046,0.00021152718,0.005230079,1.721905e-06,3.852306e-05,0.006463642,0.0007461432,1.1267256e-05,4.535469e-06,3.1001215e-07
0.13139337,0.0031603351,3.7691196e-05,1.5276099e-07,0.35147232,0.0012163778,0.0012045109,1.8150937e-06,6.9750695e-07,0.0046633896,1.0018188e-06,7.710697e-07,0.16608314,0.023705455,2.253383e-06,0.07709956,3.7074562e-07,0.03706198,6.8567883e-06,0.002003408,5.599254e-05,0.24236374,0.33347708,0.0028325745,0.04087828,0.24058966,0.16591711,0.35495535,0.26536828,0.21741785,0.12517814,0.011258299,8.448907e-05,0.0032684566,3.7597823e-07,1.15951225e-05,0.0048566475,0.0003233225,3.0278663e-06,1.0926592e-06,5.415684e-08
0.116248965,0.0018525254,1.2550535e-05,2.6498347e-08,0.33839464,0.0005982619,0.0006184971,4.2705489e-07,1.4756533e-07,0.0025798422,2.1332087e-07,1.3298464e-07,0.14992246,0.018129556,5.365616e-07,0.06775819,7.111779e-08,0.03355162,1.8558941e-06,0.0010596848,1.8583129e-05,0.23853338,0.32896212,0.0016247742,0.03753707,0.22143571,0.15915905,0.3381415,0.25545442,0.2122136,0.11981395,0.007743949,3.1358235e-05,0.001822027,7.238969e-08,3.1544696e-06,0.0035794496,0.0001270638,7.3032555e-07,2.3408808e-07,8.1820755e-09
