area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.675296,0.6560676,0.6817653,0.83072317,0.660268,0.7148362,0.65849805,0.760363,0.7992481,0.84543663,0.7028551,0.68342984,0.777452,0.6788352,0.7219261,0.75379646,0.6729719,0.90528136,0.77756435,0.81698054,0.76044184,0.69702953,0.94868296,0.74825656,0.73675793,0.746348,0.7753349,0.82717305,0.6692933,0.6731209,0.8235171,0.7903944,0.6676462,0.6657454
0.47620717,0.43210185,0.45082062,0.70027405,0.43030924,0.507406,0.41765723,0.56888497,0.6145735,0.60937583,0.4686661,0.43588415,0.623322,0.44957685,0.51461476,0.5302298,0.45294172,0.7015908,0.60414684,0.6804976,0.5358358,0.47531784,0.76495373,0.5961622,0.5022871,0.64428055,0.5342365,0.62257504,0.48947918,0.45340008,0.60654885,0.61052966,0.43487895,0.42455918
0.34297836,0.29345763,0.29397032,0.5976424,0.27496228,0.36799452,0.25919458,0.43490434,0.4894584,0.4313126,0.30640063,0.27288416,0.51078194,0.29729906,0.3597919,0.37540826,0.28849435,0.5387423,0.4797844,0.57882327,0.38578975,0.32161054,0.6219961,0.4908314,0.3403057,0.5166719,0.37177444,0.46898162,0.35709366,0.30558378,0.43232414,0.47949708,0.26779562,0.27028224
0.2509253,0.20599101,0.1878843,0.51949924,0.17718929,0.27163607,0.15505746,0.33261237,0.39557317,0.30666253,0.19542079,0.1678799,0.42596355,0.1903547,0.25245115,0.2642943,0.17957014,0.4113369,0.38322893,0.5199993,0.28496617,0.21811303,0.5074362,0.41135532,0.23109934,0.4132026,0.25830927,0.35633025,0.27108443,0.21768348,0.30316347,0.37824833,0.15980075,0.16621494
0.18394731,0.14454708,0.11536642,0.4576478,0.11304715,0.20026965,0.08881585,0.2545061,0.32516816,0.21777564,0.12042143,0.10133083,0.3622151,0.11697483,0.17302684,0.18501718,0.10973448,0.31438473,0.30839172,0.4775846,0.20820834,0.14867866,0.40964052,0.3506274,0.15345389,0.33423826,0.18299581,0.2680484,0.20995387,0.16085537,0.2111948,0.30062887,0.09088215,0.099654
0.13615306,0.10298347,0.068458326,0.4110541,0.0721826,0.14916703,0.048311416,0.19908541,0.27263027,0.15119243,0.07248504,0.059764445,0.3138572,0.06866123,0.12027404,0.13294818,0.06564852,0.24568488,0.25441527,0.45534098,0.15486771,0.102449425,0.33063534,0.30801088,0.09944717,0.2849826,0.13047597,0.20449194,0.1698296,0.123131245,0.14674573,0.24359846,0.049230754,0.057263687
0.10090942,0.07558828,0.03916273,0.37596184,0.04683142,0.11378062,0.025037065,0.15762879,0.22821839,0.105492905,0.043079704,0.034883607,0.27883077,0.038939763,0.08124629,0.09902688,0.039304756,0.19275075,0.21449605,0.43291903,0.11625568,0.0746479,0.2631807,0.27850133,0.063426584,0.24343981,0.09287887,0.1542719,0.14560889,0.09662171,0.10401469,0.19977784,0.025012765,0.030797679
0.07551791,0.05680839,0.02168018,0.35234222,0.030222764,0.08894006,0.012227745,0.12816057,0.19598351,0.07375949,0.024204787,0.019794038,0.25386035,0.021276101,0.053150125,0.07619789,0.022328518,0.15545519,0.17962472,0.41225806,0.088036254,0.053698048,0.20634498,0.24873358,0.039666757,0.21033235,0.06518768,0.117272176,0.13087893,0.07896504,0.07530915,0.16292289,0.011981016,0.015594917
0.055694982,0.04214447,0.011295049,0.33081168,0.018714678,0.06869744,0.005547294,0.10367415,0.17082597,0.050833143,0.012837328,0.010865189,0.23132601,0.010863847,0.033836517,0.06046809,0.012296308,0.12876861,0.15537131,0.40015125,0.069467336,0.040381357,0.15839456,0.2260001,0.023808453,0.18437278,0.045273103,0.092798136,0.11845755,0.06629939,0.05535538,0.13605238,0.0053724707,0.007349619
0.040293008,0.030991897,0.005551636,0.31131938,0.011130959,0.05345759,0.0023367007,0.08415138,0.14604528,0.03485603,0.0062636132,0.005567134,0.21128924,0.0051883347,0.020388005,0.049124476,0.00632949,0.11216051,0.13716556,0.38327163,0.052313656,0.03068783,0.11853343,0.20910278,0.013633592,0.16044499,0.03062151,0.07425116,0.10991654,0.059576858,0.041759998,0.11632842,0.0021995695,0.0031868946
0.028671773,0.022364125,0.002547404,0.29592526,0.006285744,0.041397683,0.00090494624,0.06749313,0.1269664,0.02363455,0.002777686,0.0025245717,0.19534197,0.0022912915,0.011820789,0.04052798,0.002952319,0.09806476,0.12110286,0.36970493,0.039359156,0.022497935,0.086610585,0.19390365,0.007435722,0.145832,0.02032409,0.05957739,0.10307541,0.0538685,0.030682273,0.09907683,0.00082612166,0.0012659557
0.019915896,0.0157357,0.0010808137,0.28235346,0.00334348,0.031668037,0.00032048917,0.05428941,0.112726055,0.015534553,0.001116181,0.0010116362,0.18141693,0.0009338026,0.006482942,0.034566488,0.0012566051,0.09189902,0.109971195,0.35616815,0.029183114,0.01611042,0.062334556,0.18257016,0.0038456386,0.1295824,0.013042554,0.049458224,0.098173864,0.049724422,0.023084933,0.08646389,0.00027954447,0.00045632722
0.013431703,0.010596025,0.00042355058,0.26954186,0.0016619057,0.023776367,0.000103184546,0.043726336,0.09796716,0.009730503,0.0004045611,0.00035505893,0.16791943,0.00034915487,0.0033732485,0.029789748,0.00048878556,0.088736884,0.09970295,0.34212455,0.020527456,0.011474615,0.04405384,0.17095158,0.0018715817,0.11926003,0.007979576,0.041808575,0.09290595,0.045447055,0.01723744,0.0745744,8.5294225e-05,0.00014895204
