wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0064036385,0.069906004,0.41139835,0.5604409,0.07290691,0.0026721873,0.35968387,0.054827288,0.0074924473,0.19018221,0.00034488636,0.1661261,0.0062011015,0.079426676,0.11275724,0.04851361,0.40246147,0.00034459494,0.009490382,0.0084110685,0.0024969683,0.22394995,0.7358698,0.003166071,0.00017239025,0.30156153,0.00032966476,0.028489068,2.7237833e-05,0.0005603326,0.008995683,0.00011824189,0.0020378046,0.005234935,0.00094491505,0.00033774768,0.0012264452,0.003364106,0.0037782947,0.01620115,0.00013842809,0.05850951,0.060655456,0.07927295,0.03896778,0.22548816,0.22599603,0.048464723
0.0039827866,0.06116556,0.40009183,0.55143774,0.067653626,0.0014599814,0.3514188,0.050336663,0.0041727317,0.18461426,0.00013534178,0.15928596,0.0035055121,0.06536512,0.10787816,0.042120352,0.3931549,0.00013873586,0.0058715073,0.005417144,0.0013581829,0.20265575,0.72604066,0.0017167309,6.0735703e-05,0.28811407,0.00012802529,0.025823269,7.698141e-06,0.00023366904,0.0055526216,3.9971586e-05,0.001036581,0.0029328095,0.0004048278,0.00012230045,0.00053155114,0.001809549,0.0020691464,0.010655072,4.5675413e-05,0.06260429,0.047932535,0.06833396,0.030463565,0.20154144,0.20436071,0.04105062
0.0023792086,0.05347806,0.38919085,0.5380483,0.062710725,0.00075314083,0.34208134,0.04775692,0.0021571585,0.18108529,4.902241e-05,0.15251215,0.0018871541,0.055588197,0.10410392,0.037023462,0.38512796,5.1770876e-05,0.0034779646,0.003375626,0.0007041594,0.18126976,0.7177675,0.00088828756,1.9576559e-05,0.27643615,4.581901e-05,0.022350892,1.9547215e-06,9.091901e-05,0.0032827405,1.23492455e-05,0.0004967914,0.0015547326,0.00015993812,4.0644973e-05,0.00021302953,0.0009122394,0.0010594701,0.006685083,1.3754395e-05,0.06275855,0.03819011,0.058169004,0.023478094,0.17737658,0.19044365,0.035049204
0.0013627307,0.04625428,0.37979457,0.5270835,0.057536654,0.00036848072,0.33265513,0.047967523,0.0010377036,0.17708473,1.6368893e-05,0.14658922,0.0009666089,0.045488205,0.09860867,0.035178147,0.37702867,1.7794408e-05,0.0019565797,0.0020226932,0.00034606765,0.16220827,0.7093613,0.00043618627,5.7414104e-06,0.26460186,1.5049304e-05,0.0203128,4.4285582e-07,3.2565782e-05,0.0018620591,3.461345e-06,0.00022440833,0.0007881757,5.7381447e-05,1.2296329e-05,7.747392e-05,0.000426331,0.00051565457,0.003990908,3.7478171e-06,0.06359489,0.030822774,0.049947966,0.017908359,0.15663168,0.17621002,0.029832624
0.0007459792,0.03947242,0.37110567,0.5165355,0.0542339,0.00016834948,0.32248336,0.045218427,0.00046337798,0.17257665,4.9963387e-06,0.14131728,0.00046921236,0.03703511,0.096435495,0.031905893,0.37208185,5.586823e-06,0.0010409533,0.0011612548,0.00016081073,0.14410718,0.6996728,0.00020251922,1.5203234e-06,0.2523251,4.520791e-06,0.017829144,8.8839606e-08,1.0732496e-05,0.0010097843,8.7503884e-07,9.5124255e-05,0.000372289,1.89041e-05,3.3752658e-06,2.589248e-05,0.00018698105,0.00023642689,0.0021785113,9.188292e-07,0.06440805,0.024309196,0.0410852,0.013154893,0.13619868,0.16618949,0.02451049
0.00038913134,0.033559058,0.3629692,0.5041815,0.05050921,7.2041636e-05,0.3140433,0.04350476,0.00019271567,0.169303,1.3860954e-06,0.1384053,0.00021465121,0.030622482,0.09347772,0.03005348,0.36393225,1.5976829e-06,0.0005242638,0.00063835026,7.032363e-05,0.12689666,0.6930195,8.851381e-05,3.6155765e-07,0.24127863,1.2315444e-06,0.017044405,1.5640586e-08,3.2289304e-06,0.0005210365,1.9797503e-07,3.7728103e-05,0.00016624128,5.6766808e-06,8.347619e-07,7.896265e-06,7.667297e-05,0.0001015408,0.0010924021,2.0111408e-07,0.06188652,0.019129721,0.033992585,0.009463323,0.117125995,0.15481296,0.021022048
0.00019250403,0.02836856,0.35127527,0.49562153,0.04726213,2.8762941e-05,0.30790502,0.042819373,7.416172e-05,0.16786294,3.4723274e-07,0.13209273,9.233507e-05,0.024144178,0.091563195,0.026428906,0.35603294,4.1325237e-07,0.00024872637,0.00033480654,2.8816576e-05,0.11063689,0.6840456,3.6253263e-05,7.6613105e-08,0.2304758,3.024805e-07,0.016035393,2.3931603e-09,8.8285105e-07,0.00025578347,3.9760444e-08,1.3891288e-05,6.946089e-05,1.5480084e-06,1.8464172e-07,2.1875724e-06,2.9309876e-05,4.0801493e-05,0.000507491,3.896488e-08,0.06220637,0.01494154,0.027934652,0.0066604093,0.101037934,0.14786336,0.01718236
9.0183334e-05,0.023415841,0.3449897,0.48504117,0.044185042,1.0677005e-05,0.30203402,0.041576687,2.6354774e-05,0.1642955,7.79247e-08,0.12806123,3.717525e-05,0.018739173,0.08996856,0.024742238,0.35082403,9.598418e-08,0.00011108271,0.0001669538,1.1012811e-05,0.09669082,0.67729825,1.386199e-05,1.4343445e-08,0.21958706,6.64516e-08,0.014821288,3.148398e-10,2.1778183e-07,0.00011837667,7.02446e-09,4.7283797e-06,2.711835e-05,3.804498e-07,3.621716e-08,5.4686046e-07,1.0383308e-05,1.5263175e-05,0.00021756512,6.6212156e-09,0.058917504,0.0120221665,0.02280516,0.0045739072,0.0859566,0.13783409,0.014301695
3.982048e-05,0.019035734,0.33798575,0.4760968,0.041049663,3.6649956e-06,0.2939816,0.040194344,8.617312e-06,0.16085145,1.5537093e-08,0.12331836,1.3937319e-05,0.014205687,0.087596685,0.023644095,0.34497702,1.9861329e-08,4.649259e-05,7.888546e-05,3.904702e-06,0.08392764,0.6693992,4.919908e-06,2.3503557e-09,0.20881578,1.2945565e-08,0.014897306,3.519594e-11,4.8090076e-08,5.1591847e-05,1.0810184e-09,1.4792308e-06,9.814174e-06,8.367568e-08,6.2423586e-09,1.2247389e-07,3.3916956e-06,5.2883115e-06,8.569894e-05,9.769033e-10,0.05887437,0.009711778,0.018319894,0.0030503864,0.07231824,0.13078055,0.010976006
1.6505657e-05,0.01527275,0.32865572,0.4666352,0.03864089,1.1572366e-06,0.287259,0.039680738,2.5818138e-06,0.15816094,2.7276523e-09,0.118630365,4.8424563e-06,0.010549212,0.087390184,0.023821598,0.33850235,3.6295293e-09,1.8180743e-05,3.5189063e-05,1.2773231e-06,0.07232157,0.6636624,1.6106299e-06,3.3364034e-10,0.19890264,2.2160114e-09,0.014130887,3.3005022e-12,9.42855e-09,2.1103278e-05,1.4336772e-10,4.227841e-07,3.278379e-06,1.6329968e-08,9.360455e-10,2.437377e-08,1.015237e-06,1.6877433e-06,3.0944233e-05,1.2377474e-10,0.0572183,0.0075039817,0.014815796,0.0019789925,0.060322933,0.12424523,0.008426438
