area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.66149974,0.68460184,0.6605502,0.7098359,0.6842524,0.6869012,0.656578,0.6989766,0.92118543,0.7256219,0.67191267,0.7322393,0.6792675,0.916169,0.69022614,0.7133243,0.7721431,0.84238565,0.74837613,0.7060787,0.69983333,0.81816584,0.8426812,0.66332895,0.8224792,0.67250514,1.0294056,0.80213946,0.76975805,0.76689976,0.755347,0.6776973,0.7162275,0.7037878,0.97222024,0.9124322,0.7238979,0.81626946,0.73154855,0.65564615
0.4380907,0.47311598,0.46647772,0.48906606,0.44916427,0.48119706,0.43493503,0.46801713,0.77219427,0.49480808,0.53013605,0.6528081,0.45382735,0.74170595,0.4562742,0.48638204,0.6431172,0.62141997,0.56034267,0.51141924,0.50244373,0.67967564,0.6179615,0.42258176,0.6045727,0.4339785,0.9203757,0.62672925,0.5823544,0.5740322,0.57880574,0.4598482,0.5028805,0.49160627,0.82509553,0.8149036,0.5084039,0.67835236,0.54717255,0.4383628
0.2827125,0.3223117,0.3433135,0.32695207,0.28988108,0.33020324,0.28910053,0.30217266,0.6415971,0.33630377,0.43853283,0.55256563,0.30371547,0.6090169,0.29525203,0.31714752,0.5435015,0.44086152,0.41641775,0.36191848,0.36261058,0.5841466,0.43663514,0.2609418,0.42822593,0.27694076,0.784326,0.4939253,0.4276106,0.4274047,0.44486466,0.3168917,0.34958386,0.32991132,0.6907188,0.737262,0.35049638,0.60541594,0.4222526,0.28779137
0.17587183,0.21100366,0.26424193,0.21362026,0.17871174,0.22139193,0.19325861,0.18560638,0.5357978,0.23129638,0.36736834,0.4841229,0.19974019,0.50032276,0.18504368,0.20135972,0.47753492,0.30681625,0.31185275,0.2544093,0.26403102,0.50275743,0.3106588,0.1548493,0.29725355,0.17424226,0.67477643,0.39322755,0.3007073,0.31229076,0.33959183,0.21962065,0.23776169,0.21902484,0.5828688,0.6729792,0.24624288,0.5453169,0.32739383,0.17981961
0.106517084,0.13638897,0.20425719,0.13571328,0.10532089,0.14535545,0.12601168,0.109124,0.4454569,0.1665264,0.3134817,0.42327362,0.12951548,0.40880087,0.11204675,0.123154014,0.4172469,0.20978324,0.22812003,0.17703258,0.19591661,0.44578114,0.21375096,0.088962644,0.2040594,0.10757819,0.5912049,0.31588534,0.20793967,0.2231034,0.2603449,0.15704454,0.15901266,0.14179304,0.4904138,0.61656046,0.16978322,0.5110264,0.27208,0.109555036
0.061760627,0.08450778,0.16659592,0.08339003,0.05986308,0.09233015,0.082744755,0.061969228,0.36901894,0.12556936,0.27787185,0.38627827,0.07914331,0.33902642,0.06398349,0.07205792,0.38537183,0.13670158,0.16536124,0.122726046,0.14114426,0.39440885,0.14552528,0.048126,0.13520029,0.06822121,0.5172373,0.252989,0.13823622,0.15444165,0.1963002,0.10858663,0.106842354,0.08956614,0.42596304,0.5690908,0.117550075,0.47353774,0.23538116,0.06517661
0.034631368,0.051052604,0.13334534,0.04985566,0.032461632,0.05676466,0.05162192,0.033421107,0.2974418,0.09998901,0.25688705,0.3572336,0.047895808,0.2720201,0.03509855,0.04024224,0.34932956,0.0882607,0.118848644,0.08485284,0.101963155,0.35096976,0.09661688,0.024911948,0.086362526,0.044224296,0.46071377,0.20432077,0.091279045,0.105205506,0.15022352,0.07855077,0.07192142,0.05422171,0.3643609,0.53246635,0.08679461,0.44244486,0.20959024,0.03810541
0.01877379,0.030179637,0.11093888,0.028896451,0.017074037,0.034000568,0.03223107,0.017244188,0.24269815,0.084705226,0.23666626,0.3211559,0.027824499,0.227025,0.01854199,0.021617975,0.3307807,0.054701637,0.08379508,0.058429252,0.07623692,0.31297737,0.06317474,0.012022775,0.053441074,0.030894225,0.40577546,0.16130793,0.059688106,0.07043748,0.11788042,0.058215782,0.04789702,0.03213485,0.31786928,0.50390947,0.06368284,0.41790742,0.18678881,0.021040032
0.009588975,0.017080728,0.090380095,0.016045237,0.00851927,0.019559158,0.018907847,0.0083979145,0.19563897,0.06922822,0.22080298,0.30507895,0.015124318,0.18946715,0.009222604,0.010930378,0.30822745,0.03319169,0.057821035,0.038989868,0.0578878,0.2809299,0.04109397,0.0054414193,0.03218862,0.021769831,0.36543542,0.12807499,0.038818143,0.046411805,0.09271712,0.044414498,0.0327039,0.018166007,0.27642325,0.4738483,0.05287392,0.39484882,0.16850756,0.011034882
