total_losses,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_hydro_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5837009,0.5770451,0.54859614,0.58439404,0.55422187,0.57057375,0.39770293,0.5654684,0.5014931,0.53702664,0.608549,0.5526922,0.55852634,0.47506934,0.4307874,0.48494273,0.55584866,0.47415468,0.45847172,0.43758067,0.5210502,0.500732,0.5341912,0.46154276,0.4575615,0.491568,0.57021636,0.45500734,0.41930747,0.5546409
0.62909704,0.62152314,0.5820028,0.6291902,0.5839962,0.6360974,0.30546525,0.6204044,0.48468596,0.5411335,0.6699148,0.6259841,0.59081984,0.46636128,0.38644528,0.43875742,0.5690228,0.49101627,0.42479458,0.41500607,0.5386992,0.4818986,0.52966434,0.45240498,0.3976108,0.48579878,0.610442,0.42623568,0.34486163,0.5507334
0.6768801,0.66286755,0.59884953,0.68002796,0.6062584,0.703855,0.22148807,0.6695551,0.47026944,0.5227518,0.7242441,0.68727756,0.60898656,0.45078564,0.3449485,0.39728153,0.57191473,0.48904794,0.4032235,0.39171213,0.57325244,0.46732348,0.53021604,0.44524202,0.33115774,0.481297,0.6757192,0.411849,0.25466543,0.5427881
0.7133582,0.72029144,0.626439,0.72751635,0.63047147,0.75510436,0.1340193,0.70826983,0.45453164,0.53669405,0.791149,0.74894804,0.6224126,0.4322056,0.29293495,0.34728295,0.56623363,0.48030466,0.34821948,0.3688632,0.61003953,0.44371465,0.532467,0.4359912,0.25512707,0.47719514,0.7333082,0.37609765,0.15154988,0.53585964
0.744293,0.74993485,0.64557874,0.78280175,0.64832056,0.8246838,0.034968145,0.7475269,0.43284115,0.54443717,0.8430254,0.8004079,0.6285965,0.41624242,0.22869547,0.2885725,0.5613531,0.46230835,0.30107114,0.34392625,0.6351206,0.42105165,0.53029466,0.42548802,0.1677456,0.47214368,0.7652964,0.3291493,0.036430098,0.5131307
0.7744857,0.7950712,0.669147,0.8266981,0.6736707,0.86514515,0.0,0.77561396,0.42860052,0.55450904,0.8922728,0.85754055,0.6350264,0.39039278,0.15779893,0.23154932,0.5521449,0.4411518,0.24409838,0.31954145,0.6654691,0.4021361,0.5273857,0.42015052,0.073975906,0.4702541,0.7913446,0.30518654,0.0,0.49693617
0.80543774,0.82426786,0.69689476,0.8654335,0.6843712,0.9151423,0.0,0.80808455,0.40970117,0.5515578,0.94820863,0.9044435,0.6442783,0.36499587,0.08639124,0.1778873,0.54235053,0.41837156,0.17272803,0.28207144,0.6881897,0.36911875,0.5187462,0.4065374,0.0,0.4676597,0.82704437,0.27161783,0.0,0.47029513
0.84112036,0.85192996,0.71495384,0.9008039,0.7000432,0.9529631,0.0,0.83427984,0.3751894,0.5467827,0.99538046,0.947324,0.64213526,0.33849972,0.009041729,0.11918336,0.52923095,0.38656658,0.08952985,0.24348018,0.70213157,0.33691332,0.5079008,0.386571,0.0,0.46783468,0.85560346,0.22224918,0.0,0.4390927
0.87192714,0.87777686,0.7245873,0.931061,0.70848185,1.0,0.0,0.86524284,0.32519555,0.5367985,1.0,0.9981416,0.6426158,0.31207523,0.0,0.043334503,0.5116756,0.34639895,0.014054919,0.19835065,0.7245329,0.29385307,0.4932476,0.3742785,0.0,0.45866406,0.8844895,0.16585739,0.0,0.40509468
