solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.79319143,0.7830648,0.92794096,0.7426382,0.7163066,0.89890885,0.68665665,0.7256632,0.88604736,0.77894706,0.8403959,0.67149353,0.7024388,0.7414806,0.7638498,0.67502433,0.718138,0.8000962,0.7583737,0.744847,0.656988,0.67016023,0.8512875,0.8127266,0.6594365,0.77951556,0.6455552,0.6831665,0.6951055,0.72482055,0.6621058,0.76693857,0.71240824,0.84790194,0.7088813,0.7035992,0.7247373
0.65364707,0.61040854,0.81192786,0.6008258,0.5404412,0.85556865,0.4775867,0.5466911,0.75185496,0.64790726,0.7325495,0.46931553,0.5563365,0.5585698,0.6002711,0.49869218,0.48918527,0.6635259,0.5650142,0.55773157,0.4267232,0.4578126,0.72972786,0.6526005,0.46023738,0.68834484,0.439492,0.49825096,0.50729495,0.53819484,0.4524497,0.58044887,0.5553773,0.7857113,0.5535319,0.5394186,0.6132783
0.5432562,0.47688618,0.7036577,0.51162326,0.42741078,0.76936716,0.35442725,0.4085618,0.6624317,0.53634,0.65977824,0.3415515,0.4557889,0.44266748,0.48216376,0.3932987,0.33761308,0.5619377,0.4248342,0.42618206,0.27169982,0.31448054,0.6344558,0.5180468,0.3050236,0.6116796,0.29641783,0.37308538,0.36862424,0.42325544,0.30562767,0.45721203,0.44168758,0.734596,0.41449365,0.39680147,0.5207726
0.45251617,0.3821337,0.64983743,0.44052106,0.35524425,0.70083714,0.26521552,0.31033143,0.59239626,0.44766778,0.5954439,0.2510931,0.3938499,0.3609496,0.42435142,0.30591658,0.24535838,0.4718789,0.33417383,0.33605516,0.16803358,0.21456204,0.560886,0.41939276,0.2024032,0.5587383,0.19623569,0.2833626,0.27371523,0.3309212,0.20149331,0.3719798,0.35504472,0.6869147,0.29691696,0.28400916,0.44256398
0.37220618,0.3015981,0.57519424,0.39617205,0.30738276,0.6468157,0.20495662,0.245326,0.5305772,0.3803503,0.5258337,0.19327745,0.36242563,0.3016482,0.35851172,0.25518054,0.17401293,0.4104026,0.26319686,0.2562347,0.1027492,0.1404093,0.508096,0.33647737,0.13170154,0.5037218,0.13094573,0.22613724,0.2032809,0.26489902,0.13362397,0.31294128,0.2962619,0.64266634,0.21303986,0.19654427,0.38236973
0.3046322,0.24211782,0.51105934,0.36019528,0.2650426,0.59090394,0.16114892,0.19329262,0.46310624,0.3106762,0.48301628,0.16190238,0.34098852,0.25538072,0.3214346,0.21379495,0.12700698,0.34539577,0.20790917,0.19894911,0.06335003,0.09242486,0.45927104,0.28179005,0.088472515,0.44741943,0.082099,0.17767963,0.15377747,0.22255069,0.08710934,0.26652038,0.2485445,0.60795975,0.14980537,0.13873693,0.32989752
0.27269194,0.19373862,0.46239161,0.32237935,0.24854633,0.56141436,0.13253206,0.159475,0.43591437,0.26063845,0.44015363,0.13723211,0.30773008,0.23139988,0.29268113,0.17882171,0.093401924,0.30274528,0.16494802,0.1545865,0.037081413,0.058282215,0.42787248,0.24062695,0.056907408,0.40985003,0.050289884,0.15263017,0.12513742,0.18482363,0.05529834,0.23535894,0.21403664,0.5723346,0.099219255,0.09536482,0.28076392
0.23269518,0.15619102,0.43351138,0.2981942,0.22807243,0.5274675,0.11057967,0.1333642,0.3812376,0.22053239,0.40030497,0.12112125,0.288803,0.21064629,0.2737181,0.16129474,0.0707121,0.26345867,0.13478042,0.1222055,0.020205699,0.03644283,0.37941584,0.19990239,0.034737617,0.37346852,0.029311115,0.13372935,0.10134624,0.15150647,0.032570012,0.21546482,0.18970084,0.5431001,0.06439595,0.06634081,0.24525654
0.20901076,0.12808998,0.40165466,0.2835464,0.20608352,0.49696484,0.0899835,0.12041306,0.35465154,0.18408012,0.37665394,0.1134809,0.28068566,0.18409002,0.25460824,0.1466924,0.05170071,0.23278637,0.11032471,0.0978677,0.010110392,0.022127748,0.35774344,0.16737966,0.020091925,0.34092647,0.015773477,0.11288528,0.07780255,0.12885143,0.018079327,0.18684453,0.17092088,0.51751554,0.04058242,0.041800197,0.2046715
0.18555215,0.1048183,0.37975293,0.2642831,0.204956,0.4720637,0.07878051,0.107563324,0.31884015,0.15659969,0.3601321,0.106754445,0.26321942,0.17693269,0.24656996,0.14622876,0.039619848,0.19828065,0.09354404,0.079601154,0.004732122,0.01287696,0.33174613,0.1431585,0.011026709,0.31602892,0.008049616,0.109411575,0.066609316,0.11226318,0.009345433,0.17129292,0.15830082,0.4891444,0.024691667,0.026542315,0.1816945
0.168515,0.08516332,0.36540836,0.24690859,0.19447248,0.45238444,0.064695895,0.096757434,0.29291165,0.137254,0.3369311,0.09998986,0.24853043,0.16119987,0.24139336,0.13561758,0.029923799,0.1729141,0.079509154,0.065140255,0.0020409138,0.0070029995,0.31098545,0.12389276,0.0055779647,0.28800777,0.0037183973,0.10139214,0.055548422,0.09430352,0.0044497913,0.15575638,0.14581554,0.46972647,0.014623311,0.016450157,0.15911956
0.1535764,0.06742603,0.33561108,0.22937626,0.19805375,0.43461853,0.05511315,0.09180607,0.27811292,0.119535826,0.32659197,0.09251913,0.22988082,0.16093165,0.22634445,0.14051542,0.020705454,0.15290153,0.06777951,0.053989183,0.00080602017,0.0035882574,0.28929117,0.10979349,0.002637913,0.26109925,0.0015953425,0.09480801,0.044504996,0.07848095,0.001923151,0.14965522,0.13696143,0.4452076,0.008371554,0.009510428,0.14417993
0.14140724,0.055907857,0.32495102,0.21762319,0.18828781,0.41697788,0.046216995,0.08776127,0.2639537,0.099631034,0.32136467,0.09532033,0.22118567,0.14734766,0.21983819,0.1398304,0.014233883,0.13760124,0.05872109,0.044163555,0.00028738883,0.0016993384,0.27812222,0.09836776,0.0011054428,0.24088722,0.0006320202,0.09389193,0.0373369,0.06524211,0.0007659675,0.13931794,0.124765374,0.42662537,0.0045128767,0.0052938866,0.12735799
0.13383739,0.041560076,0.30905217,0.21249181,0.1874802,0.3914048,0.038129896,0.08418988,0.25821102,0.08967579,0.2958627,0.10078039,0.22042583,0.14423122,0.21399423,0.14124107,0.009480832,0.12467022,0.051537212,0.036129653,9.3125906e-05,0.00074659084,0.2658253,0.08874827,0.0004239909,0.22560562,0.00023012483,0.09352721,0.029732674,0.05326587,0.00028013607,0.14090717,0.121599495,0.4153666,0.0023139957,0.0027804873,0.112177946
0.1196199,0.03219255,0.2951594,0.19921683,0.18636419,0.38940224,0.031360053,0.082994685,0.23433773,0.07846963,0.29791078,0.107724816,0.20548083,0.13847296,0.20966937,0.14246984,0.0060014944,0.10952162,0.044829875,0.029409686,2.7329146e-05,0.00030203228,0.24833722,0.078049935,0.00014919587,0.21307196,7.6274955e-05,0.09692671,0.023859011,0.046475854,9.263316e-05,0.13380095,0.12264224,0.39977247,0.0011179127,0.0013800482,0.10527369
0.115011126,0.024082951,0.2776275,0.19459422,0.1802829,0.36982995,0.025428044,0.08013516,0.23008427,0.070522614,0.28700498,0.10497837,0.20606492,0.13155797,0.20538594,0.15004335,0.0035900841,0.09909894,0.039878212,0.02429255,7.1914997e-06,0.0001125559,0.24096912,0.07214458,4.748829e-05,0.19700216,2.2934033e-05,0.09742798,0.018057901,0.03946834,2.7789907e-05,0.14061463,0.11413601,0.38138703,0.00050709205,0.00063225743,0.096622765
0.107288025,0.017356083,0.2722773,0.18309036,0.18204267,0.3588567,0.01994248,0.07627362,0.22023208,0.064078026,0.2831021,0.1209601,0.19386011,0.13074802,0.19824252,0.1425518,0.0019961726,0.08874083,0.035274684,0.019350452,1.6914629e-06,3.843341e-05,0.22755058,0.06537647,1.3690679e-05,0.18476318,6.2262357e-06,0.09873611,0.013045993,0.031778995,7.510104e-06,0.12991683,0.110387675,0.36201087,0.00021627253,0.00027050247,0.090159394
0.103850394,0.012155344,0.26553836,0.1767277,0.17749347,0.34779775,0.015842974,0.07593137,0.21682891,0.057972986,0.27430573,0.12189341,0.18699369,0.1267276,0.19998859,0.14663361,0.0010542969,0.08076274,0.031934842,0.015675412,3.5230175e-07,1.1958403e-05,0.21995962,0.06132497,3.546101e-06,0.17904276,1.5172961e-06,0.09744246,0.008648495,0.026880136,1.8179588e-06,0.12248266,0.10795361,0.3536966,8.567062e-05,0.00010826445,0.08609883
0.09464495,0.00820721,0.24096005,0.16729306,0.17443551,0.3388873,0.011380556,0.08022985,0.20612875,0.054086193,0.2677343,0.13078736,0.17657124,0.1227703,0.19358024,0.13822041,0.00051987084,0.06981919,0.027230175,0.011773314,6.4416334e-08,3.3747622e-06,0.21241687,0.0560108,8.209391e-07,0.1709545,3.2919442e-07,0.10563707,0.0057245153,0.022031508,3.9114224e-07,0.120567776,0.10501521,0.34255937,3.159332e-05,3.9861014e-05,0.076609254
0.09178029,0.00527841,0.23340051,0.16245033,0.17258298,0.32854238,0.008513161,0.07806879,0.20493063,0.04734265,0.2644976,0.13185842,0.17455946,0.119222306,0.19079669,0.13985111,0.00024174034,0.06374898,0.02461999,0.009030815,1.0243107e-08,8.590321e-07,0.20464484,0.051906288,1.6858486e-07,0.16587041,6.3025205e-08,0.107037514,0.0035194107,0.017309032,7.42057e-08,0.1179181,0.10730175,0.33227924,1.0722763e-05,1.3546004e-05,0.071676694
0.08420683,0.003297272,0.22321813,0.15481418,0.17667758,0.31732708,0.006132208,0.07704116,0.19530453,0.041060198,0.25803602,0.13848387,0.16503833,0.12051815,0.19274074,0.14211975,0.00010450256,0.05582341,0.021912156,0.006651871,1.4016909e-09,1.9570655e-07,0.19862325,0.04980574,3.0443264e-08,0.15692955,1.0550118e-08,0.10508188,0.0020168817,0.01360667,1.2297835e-08,0.11805473,0.10168739,0.32610196,3.3339666e-06,4.2144948e-06,0.07022593
0.080715,0.0019973444,0.21624602,0.15461512,0.16705993,0.31643927,0.004256291,0.07794105,0.19225761,0.038411383,0.25564206,0.14502059,0.1700995,0.11186939,0.18776777,0.14218944,4.2236716e-05,0.04979219,0.01924531,0.0047158115,1.63167e-10,3.959188e-08,0.18373267,0.045722652,4.78787e-09,0.14922367,1.5284033e-09,0.10277481,0.0010828737,0.010183287,1.7623266e-09,0.11684605,0.0999898,0.31845683,9.447172e-07,1.1934559e-06,0.0658062
0.0780847,0.0011455236,0.20740603,0.1516603,0.16688003,0.31380296,0.0028484147,0.08066048,0.18780112,0.035103235,0.252233,0.14792776,0.1654888,0.1095758,0.17865667,0.14437601,1.5864573e-05,0.04480254,0.016865868,0.003226575,1.5954857e-11,7.049746e-09,0.17942417,0.044350293,6.489391e-10,0.14609319,1.8950456e-10,0.10428655,0.0005447149,0.007853315,2.1593963e-10,0.113533214,0.10110337,0.30802295,2.4226892e-07,3.056479e-07,0.06358222
