target,中文名,候选数,选中数,未选中数,全量R2_时序,选中R2_时序,未选中R2_时序,选中减未选中
bus_115_va_deg,节点115电压相角,46,7,39,0.9871629105210531,0.9799413312032131,0.9831333118567274,-0.003191980653514226
bus_215_va_deg,节点215电压相角,46,9,37,0.9867225013692629,0.960408034373721,0.9749060524495622,-0.014498018075841168
bus_315_va_deg,节点315电压相角,46,7,39,0.9906117895348994,0.9632693895620178,0.9888639007907597,-0.0255945112287419
branch_ab1_loading_pct,线路AB1负载率,43,7,36,0.9599626504969515,0.9616055162618513,0.9620488704396384,-0.00044335417778706976
branch_ab2_loading_pct,线路AB2负载率,43,11,32,0.9747334036746663,0.9767851724220087,0.937569174652037,0.039215997769971644
branch_ab3_loading_pct,线路AB3负载率,43,9,34,0.8787616708997059,0.9086988861041618,0.8627614390880824,0.04593744701607938
branch_ca_1_loading_pct,线路CA-1负载率,43,11,32,0.957904616938831,0.9681977650914451,0.9475927535213472,0.020605011570097864
branch_cb_1_loading_pct,线路CB-1负载率,43,12,31,0.9657906665277034,0.97185511082534,0.9346900243514873,0.03716508647385275
gen_121_nuclear_1_pg_mw,机组121核电出力,28,4,24,0.9981518558175189,0.9990158298957732,0.9105181160074725,0.08849771388830074
gen_218_cc_1_pg_mw,机组218联合循环出力,42,4,38,0.9999002672921113,0.9974364970533391,0.9986671752676176,-0.001230678214278469
gen_317_wind_1_pg_mw,机组317风电出力,42,11,31,0.891578439358491,0.9213162260045409,0.845362145427503,0.0759540805770379
gen_321_cc_1_status,机组321投入状态,42,4,38,0.999053658786257,0.9928930758296541,0.9890360580383821,0.0038570177912720105
