方法,门控模型R2,按阈值选中数,选中子集R2,门控值最大,门控值中位,恰好为0的个数,同字段数下R2
标准 D-Gating,0.9574394809829406,11,0.9605444581825898,0.22452739,0.0,35,0.9605444581825898
改进门控（相关系数生成）,0.9596332328904226,17,0.9570201353516283,0.039282814,0.00799386203289032,0,0.9401967600713569
