field,中文名,标准门控,改进门控
wind_generation_mw,风电出力,0.0,0.009642102
solar_generation_mw,光伏出力,0.0,0.01385306
gen_fuel_coal_mw,燃煤出力,0.06507797,0.018669441
gen_fuel_gas_mw,燃气出力,0.09917278,0.015679805
gen_fuel_hydro_mw,水电出力,0.0,0.0055130725
gen_fuel_multiple_fuels_mw,多燃料出力,0.0,0.009102287
gen_fuel_nuclear_mw,核电出力,0.061083596,0.039282814
gen_fuel_oil_mw,燃油出力,0.011660039,0.007758056
gen_fuel_other_renewables_mw,其他可再生出力,0.0,0.018781947
gen_fuel_solar_mw,光伏出力,0.04182225,0.028748533
gen_fuel_storage_mw,储能出力,0.0,0.0014969588
gen_fuel_wind_mw,风电出力,0.029200474,0.009620843
gen_fuel_coal_pct,燃煤占比,0.0,0.006268015
gen_fuel_gas_pct,燃气占比,0.0,0.01171156
gen_fuel_hydro_pct,水电占比,0.037734807,0.008229669
gen_fuel_multiple_fuels_pct,多燃料占比,0.0071086306,0.01386063
gen_fuel_nuclear_pct,核电占比,0.07078392,0.01490254
gen_fuel_oil_pct,燃油占比,0.0,0.0004399193
gen_fuel_other_renewables_pct,其他可再生占比,0.0,0.001419435
gen_fuel_solar_pct,光伏占比,0.0,0.019503722
gen_fuel_wind_pct,风电占比,0.0,0.011765452
forecast_load_mw_latest_available,最新负荷预测,0.0,0.019281812
prelim_load_avg_hourly,预估小时负荷,0.22452739,0.019218069
rmccp,调频容量出清价,0.0,0.00021759945
rmpcp,调频性能出清价,0.0,0.0015316411
total_pjm_rt_load_mwh,实时负荷电量,0.0,0.019198151
total_pjm_loc_credit,机会成本信用,0.0,0.0007423143
total_pjm_reg_purchases,调频购买量,0.006070277,0.005697578
total_pjm_self_sched_reg,调频自调度量,0.0,0.009576313
total_pjm_assigned_reg,调频分配量,0.0,0.011247526
total_pjm_rmccp_cr,调频容量信用额,0.0,2.484797e-05
total_pjm_rmpcp_cr,调频性能信用额,0.0,0.0028321403
da_as_mcp_primary_reserve,日前主用备用出清价,0.0,0.0021522199
da_as_mcp_synchronized_reserve,日前同步备用出清价,0.0,0.0010306046
da_as_as_req_mw_primary_reserve,日前主用备用需求,0.0,0.0064998525
da_as_as_req_mw_synchronized_reserve,日前同步备用需求,0.0,0.006501798
da_as_as_req_mw_thirty_minutes_reserve,日前30分钟备用需求,0.0,3.9496185e-06
da_as_as_mw_primary_reserve,日前主用备用实际量,0.0,0.013338187
da_as_as_mw_synchronized_reserve,日前同步备用实际量,0.0,0.003847647
da_as_as_mw_thirty_minutes_reserve,日前30分钟备用实际量,0.0,0.0087616155
da_as_ss_mw_primary_reserve,日前主用备用自调度,0.0,0.003208466
da_as_nsr_mw_primary_reserve,非同步备用,0.018028958,0.0064164535
system_energy_price_da,日前能量价格,0.0,0.0010288293
system_energy_price_rt,实时能量价格,0.0,4.3164433e-05
total_lmp_rt,实时总电价,0.0,4.3371e-05
marginal_loss_price_rt,实时边际损耗价,0.0,4.6264944e-05
gross_sched_interchange_mw,总计划交换,0.025462417,0.009858483
gross_inadv_interchange_mw,总非计划交换,0.0,0.028948044
