target,中文名,候选起点,公式剔除,命中公式,逐层剔除,剩余候选,公式剔除字段,逐层剔除字段
bus_115_va_deg,节点115电压相角,23,0,,0,24,,
bus_215_va_deg,节点215电压相角,23,0,,0,24,,
bus_315_va_deg,节点315电压相角,23,0,,0,24,,
branch_ab1_loading_pct,线路AB1负载率,23,0,,0,24,,
branch_ab2_loading_pct,线路AB2负载率,23,0,,0,24,,
branch_ab3_loading_pct,线路AB3负载率,23,0,,0,24,,
branch_ca_1_loading_pct,线路CA-1负载率,23,0,,0,24,,
branch_cb_1_loading_pct,线路CB-1负载率,23,0,,0,24,,
gen_121_nuclear_1_pg_mw,机组121核电出力,23,0,,5,19,,gen_fuel_nuclear_mw|system_generation_mw|system_load_day_ahead_mw|system_load_actual_mw|gen_fuel_solar_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,23,0,,0,24,,
gen_317_wind_1_pg_mw,机组317风电出力,23,0,,0,24,,
gen_321_cc_1_status,机组321投入状态,23,0,,0,24,,
