方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9605444581825898,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_hydro_pct|gen_fuel_wind_mw|gross_sched_interchange_mw|da_as_nsr_mw_primary_reserve|gen_fuel_oil_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9203516924456075,gen_fuel_nuclear_mw|gen_fuel_nuclear_pct|gen_fuel_coal_pct|gen_fuel_solar_mw|forecast_load_mw_latest_available|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_pct|gen_fuel_gas_mw|da_as_as_mw_thirty_minutes_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8196236735037679,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_solar_mw|gen_fuel_storage_mw|marginal_loss_price_rt|da_as_ss_mw_primary_reserve
XGBoost,树模型特征重要性（2016）,0.8599979586463177,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|total_pjm_assigned_reg|gen_fuel_coal_pct|gen_fuel_coal_mw
Lasso,线性稀疏（1996）,0.9576175004135132,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_oil_mw|da_as_nsr_mw_primary_reserve|gross_sched_interchange_mw|total_pjm_reg_purchases
Pearson,相关系数排序（只看两两关系）,0.8334821631075362,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg
