wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7782784,0.6780776,0.72885394,0.7112857,0.70659566,0.7572033,0.66378766,0.77341866,0.6813805,0.6692147,0.73682886,0.68663454,0.71394694,0.67356396,0.69942605,0.8638681,0.75157917,0.8608576,0.6832385,0.68566644,0.7061335,0.7171025,0.7032207,0.9607145,0.70823747,0.70353615,0.78447866,0.68713135,0.67628,0.6598094,0.8692899,0.67438716,0.6709112,0.8261704,0.6939198,0.6775675,0.6850289,0.6663582,0.6778412,0.8077925,0.6663496,0.67863446,0.8550176,0.67140794,0.70834845,0.6807694
0.64819515,0.46595943,0.5431387,0.52759695,0.531222,0.64942837,0.48856962,0.6453745,0.49774235,0.46215594,0.6458979,0.5177726,0.5377356,0.5259211,0.5636095,0.7654437,0.5879232,0.76104623,0.48493144,0.5128067,0.54625016,0.527154,0.5133341,0.89434975,0.50597996,0.5429734,0.6735789,0.4571478,0.4585508,0.4538477,0.7756221,0.4848577,0.52199346,0.70859885,0.5037388,0.4640905,0.5160227,0.47143555,0.4928833,0.6385486,0.45633897,0.5004804,0.83836424,0.4621278,0.54503417,0.5352271
0.5276065,0.31501272,0.4105782,0.3880727,0.4033257,0.5666797,0.37111527,0.57199454,0.3602841,0.31196648,0.5816112,0.40219736,0.415046,0.41028985,0.46219203,0.67007464,0.46666792,0.70619345,0.33388838,0.426569,0.42939407,0.40116134,0.39860997,0.8849067,0.36941552,0.44709992,0.6028256,0.3188439,0.30222565,0.34921044,0.7504346,0.36842176,0.3908241,0.66025597,0.38929257,0.32830566,0.37484404,0.31652075,0.37222078,0.5177659,0.30963176,0.37041554,0.81460685,0.32398576,0.4297847,0.44298115
0.45528623,0.21552704,0.32369652,0.28474176,0.31335965,0.47484463,0.28443098,0.4897648,0.2784559,0.21446683,0.50899565,0.2993701,0.32261103,0.34478173,0.36892256,0.58276784,0.36454064,0.65169984,0.23536192,0.35636172,0.36273906,0.3302463,0.3111323,0.84585524,0.26545498,0.36369732,0.5236297,0.22792809,0.2087879,0.29494852,0.70210284,0.2832631,0.30995888,0.62102276,0.2981542,0.2313554,0.2792273,0.22428875,0.2772333,0.40613958,0.22315001,0.2793223,0.79051256,0.22887489,0.3400017,0.38271838
0.38079533,0.14931731,0.26250404,0.204567,0.25143048,0.41050452,0.23228635,0.42390007,0.21299459,0.14769517,0.449522,0.23937798,0.2638051,0.28008372,0.30753377,0.51682436,0.2945759,0.5921863,0.16126178,0.31226638,0.30259302,0.26755986,0.25205123,0.83020157,0.18708913,0.31235373,0.45782122,0.16455959,0.14186022,0.25828338,0.6671205,0.23217723,0.23687746,0.6041503,0.23870996,0.16443612,0.21272844,0.15713382,0.21015969,0.32364452,0.1607248,0.21181649,0.76084673,0.16750547,0.28119358,0.34398302
0.34588525,0.109941036,0.21961407,0.1505306,0.20863207,0.35767737,0.19995081,0.4024219,0.17242095,0.102203384,0.41645005,0.18809196,0.22900157,0.22543597,0.26688528,0.4532515,0.23744391,0.573675,0.1100897,0.2813716,0.26841885,0.2308873,0.20817643,0.80095446,0.13630784,0.26839158,0.40006396,0.11889198,0.093803234,0.22849455,0.62719506,0.19574489,0.20221186,0.55726063,0.20796923,0.11887417,0.16666532,0.110195726,0.16700475,0.26227129,0.11490933,0.16814522,0.74285066,0.12792535,0.24894041,0.31040198
0.2979211,0.076455005,0.19121458,0.10714874,0.17527863,0.31039354,0.17012183,0.35657525,0.14786077,0.06513877,0.376878,0.14365895,0.20110737,0.19278155,0.23881562,0.40950868,0.20285322,0.5352662,0.07421065,0.26689586,0.2320057,0.19499609,0.17329144,0.7718111,0.094895005,0.23687856,0.34250492,0.09201433,0.060961094,0.21967663,0.58642864,0.16466604,0.1668997,0.5404826,0.18054369,0.08392371,0.12898505,0.07575861,0.12901506,0.20843424,0.08022575,0.13369614,0.70531744,0.0952723,0.21494366,0.28449813
0.27114812,0.05355879,0.16084346,0.073685825,0.1515054,0.26472002,0.16199546,0.33115527,0.121923946,0.04264886,0.3563387,0.11296161,0.17590766,0.16260087,0.21499698,0.36466148,0.16529219,0.5051609,0.049758874,0.25024897,0.20469064,0.16286923,0.1441344,0.750967,0.06679818,0.20610736,0.29064092,0.06798237,0.03752114,0.21197551,0.54441327,0.1463994,0.15015092,0.5103126,0.15863112,0.058485527,0.104062654,0.05255669,0.101037696,0.17178881,0.056216963,0.1082781,0.6875237,0.07355789,0.19126032,0.2642298
0.24552141,0.035986457,0.1465159,0.048906554,0.1266125,0.23416005,0.14556251,0.28639403,0.10971663,0.026067372,0.34315896,0.087488614,0.16188093,0.14014071,0.19455953,0.33260617,0.14598693,0.45934758,0.032974765,0.23918094,0.18746197,0.13458122,0.120636754,0.7293434,0.045421652,0.18272275,0.2430661,0.05099342,0.021881161,0.20806673,0.50934225,0.12589961,0.13251157,0.5069742,0.14635088,0.040318977,0.086841136,0.035014346,0.08022589,0.13573241,0.037481885,0.08952822,0.6573025,0.056125034,0.16982499,0.24921805
