feature,exit_lambda,contribution_rank_metric
da_as_as_mw_thirty_minutes_reserve,0.008,0.008
da_as_total_mw_thirty_minutes_reserve,0.008,0.008
gross_sched_interchange_mw,0.016,0.016
gen_fuel_nuclear_mw,0.032,0.032
gen_fuel_gas_mw,survived_max,0.064
da_as_as_req_mw_thirty_minutes_reserve,0.016,0.016
da_as_as_req_mw_primary_reserve,0.016,0.016
da_as_as_req_mw_synchronized_reserve,0.001,0.001
total_pjm_assigned_reg,0.008,0.008
da_as_as_mw_primary_reserve,0.008,0.008
da_as_total_mw_primary_reserve,0.0005,0.0005
da_as_as_mw_synchronized_reserve,0.002,0.002
total_pjm_reg_purchases,0.008,0.008
gen_fuel_other_renewables_mw,0.016,0.016
total_lmp_da,0.001,0.001
total_pjm_rmpcp_cr,0.004,0.004
forecast_load_mw_day_ahead,0.001,0.001
total_pjm_rmccp_cr,0.001,0.001
gen_fuel_wind_mw,0.032,0.032
da_as_total_mw_synchronized_reserve,0.016,0.016
system_energy_price_da,0.008,0.008
gen_fuel_multiple_fuels_pct,0.004,0.004
gen_fuel_multiple_fuels_mw,0.016,0.016
marginal_loss_price_rt,0.008,0.008
gen_fuel_gas_pct,0.004,0.004
marginal_loss_price_da,0.008,0.008
total_lmp_rt,0.0005,0.0005
rmccp,0.004,0.004
system_energy_price_rt,0.004,0.004
rmpcp,0.004,0.004
gen_fuel_wind_pct,0.001,0.001
gen_fuel_coal_mw,survived_max,0.064
wind_generation_mw,0.004,0.004
gross_inadv_interchange_mw,0.016,0.016
gen_fuel_oil_mw,0.016,0.016
da_as_mcp_primary_reserve,0.001,0.001
total_pjm_rt_load_mwh,0.016,0.016
metered_load_mw,0.016,0.016
forecast_load_mw_latest_available,0.001,0.001
prelim_load_avg_hourly,survived_max,0.064
gross_actual_interchange_mw,0.008,0.008
gen_fuel_hydro_mw,0.032,0.032
total_pjm_loc_credit,0.004,0.004
total_losses,0.016,0.016
net_inadv_interchange_mw,0.004,0.004
da_as_nsr_mw_primary_reserve,0.001,0.001
total_pjm_self_sched_reg,0.008,0.008
da_as_ss_mw_synchronized_reserve,0.004,0.004
da_as_ss_mw_thirty_minutes_reserve,0.004,0.004
da_as_ss_mw_primary_reserve,0.016,0.016
gen_fuel_solar_mw,survived_max,0.064
gen_fuel_coal_pct,0.004,0.004
congestion_price_rt,0.004,0.004
da_as_mcp_synchronized_reserve,0.004,0.004
congestion_price_da,0.008,0.008
