stage,lambda,epoch,test_r2
1,0.0005,1,0.666295
1,0.0005,2,0.783225
1,0.0005,3,0.827346
1,0.0005,4,0.845711
1,0.0005,5,0.863681
1,0.0005,6,0.883986
1,0.0005,7,0.891272
1,0.0005,8,0.892202
1,0.0005,9,0.912862
1,0.0005,10,0.918804
1,0.0005,11,0.923712
1,0.0005,12,0.931252
1,0.0005,13,0.936161
1,0.0005,14,0.935753
1,0.0005,15,0.942398
1,0.0005,16,0.939477
1,0.0005,17,0.944768
1,0.0005,18,0.94213
1,0.0005,19,0.948989
1,0.0005,20,0.951284
1,0.0005,21,0.951329
1,0.0005,22,0.951189
1,0.0005,23,0.951587
1,0.0005,24,0.955551
1,0.0005,25,0.953226
1,0.0005,26,0.956419
1,0.0005,27,0.957467
1,0.0005,28,0.953343
1,0.0005,29,0.954826
1,0.0005,30,0.960631
1,0.0005,31,0.957353
1,0.0005,32,0.959411
1,0.0005,33,0.95957
1,0.0005,34,0.957741
1,0.0005,35,0.960178
1,0.0005,36,0.961898
1,0.0005,37,0.961593
1,0.0005,38,0.958272
1,0.0005,39,0.960159
1,0.0005,40,0.963783
1,0.0005,41,0.963547
1,0.0005,42,0.962115
1,0.0005,43,0.961771
1,0.0005,44,0.964247
1,0.0005,45,0.965568
1,0.0005,46,0.964412
1,0.0005,47,0.96284
1,0.0005,48,0.9636
1,0.0005,49,0.965696
1,0.0005,50,0.963922
1,0.0005,51,0.962144
1,0.0005,52,0.966356
1,0.0005,53,0.964636
1,0.0005,54,0.966976
1,0.0005,55,0.964535
1,0.0005,56,0.967631
1,0.0005,57,0.966174
1,0.0005,58,0.966867
1,0.0005,59,0.967142
1,0.0005,60,0.966396
1,0.0005,61,0.967727
1,0.0005,62,0.964019
1,0.0005,63,0.967268
1,0.0005,64,0.967416
1,0.0005,65,0.964936
1,0.0005,66,0.966897
1,0.0005,67,0.965829
1,0.0005,68,0.968519
1,0.0005,69,0.969153
1,0.0005,70,0.968299
1,0.0005,71,0.969482
1,0.0005,72,0.968207
1,0.0005,73,0.966838
1,0.0005,74,0.968188
1,0.0005,75,0.9692
1,0.0005,76,0.969558
1,0.0005,77,0.970085
1,0.0005,78,0.967965
1,0.0005,79,0.968252
1,0.0005,80,0.969682
1,0.0005,81,0.970338
1,0.0005,82,0.969473
1,0.0005,83,0.969314
1,0.0005,84,0.969993
1,0.0005,85,0.968466
1,0.0005,86,0.968468
1,0.0005,87,0.97159
1,0.0005,88,0.965703
1,0.0005,89,0.969645
1,0.0005,90,0.970355
1,0.0005,91,0.96544
1,0.0005,92,0.970266
1,0.0005,93,0.969841
1,0.0005,94,0.969353
1,0.0005,95,0.969154
1,0.0005,96,0.970701
1,0.0005,97,0.968346
1,0.0005,98,0.970967
1,0.0005,99,0.964485
1,0.0005,100,0.96907
1,0.0005,101,0.97033
1,0.0005,102,0.971633
1,0.0005,103,0.971873
1,0.0005,104,0.969219
1,0.0005,105,0.966311
1,0.0005,106,0.9708
1,0.0005,107,0.972504
1,0.0005,108,0.972422
1,0.0005,109,0.969655
1,0.0005,110,0.971351
1,0.0005,111,0.971507
1,0.0005,112,0.972408
1,0.0005,113,0.972164
1,0.0005,114,0.97218
1,0.0005,115,0.97151
1,0.0005,116,0.972838
1,0.0005,117,0.972005
1,0.0005,118,0.971024
1,0.0005,119,0.972885
1,0.0005,120,0.971947
1,0.0005,121,0.972193
1,0.0005,122,0.972343
1,0.0005,123,0.97154
1,0.0005,124,0.973825
1,0.0005,125,0.972987
1,0.0005,126,0.971618
1,0.0005,127,0.972419
1,0.0005,128,0.972575
1,0.0005,129,0.970421
1,0.0005,130,0.972192
1,0.0005,131,0.972957
1,0.0005,132,0.972375
1,0.0005,133,0.973208
1,0.0005,134,0.972371
1,0.0005,135,0.973006
1,0.0005,136,0.972705
1,0.0005,137,0.972296
1,0.0005,138,0.971772
1,0.0005,139,0.971355
1,0.0005,140,0.973575
1,0.0005,141,0.97349
1,0.0005,142,0.972564
1,0.0005,143,0.972385
1,0.0005,144,0.973288
1,0.0005,145,0.971582
1,0.0005,146,0.971891
1,0.0005,147,0.973353
1,0.0005,148,0.973101
1,0.0005,149,0.973394
1,0.0005,150,0.973647
1,0.0005,151,0.972411
1,0.0005,152,0.973825
1,0.0005,153,0.97327
1,0.0005,154,0.968636
1,0.0005,155,0.974079
1,0.0005,156,0.973876
1,0.0005,157,0.972763
1,0.0005,158,0.973578
1,0.0005,159,0.97162
1,0.0005,160,0.973526
1,0.0005,161,0.973891
1,0.0005,162,0.972709
1,0.0005,163,0.973345
1,0.0005,164,0.97367
1,0.0005,165,0.972737
1,0.0005,166,0.973167
1,0.0005,167,0.972898
1,0.0005,168,0.974042
1,0.0005,169,0.97273
1,0.0005,170,0.97318
1,0.0005,171,0.973019
1,0.0005,172,0.973673
1,0.0005,173,0.973146
1,0.0005,174,0.974102
1,0.0005,175,0.972187
1,0.0005,176,0.972888
1,0.0005,177,0.970373
1,0.0005,178,0.973284
1,0.0005,179,0.974256
1,0.0005,180,0.974385
1,0.0005,181,0.972357
1,0.0005,182,0.974186
1,0.0005,183,0.973882
1,0.0005,184,0.973722
1,0.0005,185,0.972949
1,0.0005,186,0.973401
1,0.0005,187,0.972479
1,0.0005,188,0.970938
1,0.0005,189,0.973827
1,0.0005,190,0.97315
1,0.0005,191,0.97396
1,0.0005,192,0.971473
1,0.0005,193,0.972234
1,0.0005,194,0.97326
1,0.0005,195,0.969043
1,0.0005,196,0.970886
1,0.0005,197,0.973199
1,0.0005,198,0.973631
1,0.0005,199,0.974294
1,0.0005,200,0.973233
2,0.001,1,0.972576
2,0.001,2,0.972997
2,0.001,3,0.973847
2,0.001,4,0.97244
2,0.001,5,0.97441
2,0.001,6,0.971558
2,0.001,7,0.973618
2,0.001,8,0.973745
2,0.001,9,0.973254
2,0.001,10,0.973661
2,0.001,11,0.973161
2,0.001,12,0.972532
2,0.001,13,0.974002
2,0.001,14,0.972543
2,0.001,15,0.972543
2,0.001,16,0.96993
2,0.001,17,0.973429
2,0.001,18,0.972647
2,0.001,19,0.973223
2,0.001,20,0.973834
2,0.001,21,0.973344
2,0.001,22,0.972051
2,0.001,23,0.97272
2,0.001,24,0.973291
2,0.001,25,0.973771
2,0.001,26,0.972587
2,0.001,27,0.974315
2,0.001,28,0.973619
2,0.001,29,0.974269
2,0.001,30,0.974488
2,0.001,31,0.972259
2,0.001,32,0.973354
2,0.001,33,0.973342
2,0.001,34,0.971001
2,0.001,35,0.974689
2,0.001,36,0.973534
2,0.001,37,0.973717
2,0.001,38,0.971964
2,0.001,39,0.974119
2,0.001,40,0.974371
2,0.001,41,0.973576
2,0.001,42,0.974086
2,0.001,43,0.974803
2,0.001,44,0.973505
2,0.001,45,0.973524
2,0.001,46,0.973601
2,0.001,47,0.972475
2,0.001,48,0.971776
2,0.001,49,0.973239
2,0.001,50,0.972065
2,0.001,51,0.97284
2,0.001,52,0.973807
2,0.001,53,0.974128
2,0.001,54,0.972204
2,0.001,55,0.973476
2,0.001,56,0.974346
2,0.001,57,0.973817
2,0.001,58,0.973232
2,0.001,59,0.97179
2,0.001,60,0.97447
2,0.001,61,0.973627
2,0.001,62,0.974004
2,0.001,63,0.972423
2,0.001,64,0.974052
2,0.001,65,0.97387
2,0.001,66,0.972448
2,0.001,67,0.973931
2,0.001,68,0.971733
2,0.001,69,0.971969
2,0.001,70,0.972769
2,0.001,71,0.973045
2,0.001,72,0.973042
2,0.001,73,0.97379
2,0.001,74,0.973294
2,0.001,75,0.974418
2,0.001,76,0.973064
2,0.001,77,0.973438
2,0.001,78,0.973743
2,0.001,79,0.972082
2,0.001,80,0.972425
3,0.002,1,0.970414
3,0.002,2,0.974585
3,0.002,3,0.973635
3,0.002,4,0.974596
3,0.002,5,0.973135
3,0.002,6,0.974752
3,0.002,7,0.974541
3,0.002,8,0.972245
3,0.002,9,0.973295
3,0.002,10,0.974422
3,0.002,11,0.972924
3,0.002,12,0.973234
3,0.002,13,0.973998
3,0.002,14,0.974132
3,0.002,15,0.97419
3,0.002,16,0.975175
3,0.002,17,0.974962
3,0.002,18,0.970364
3,0.002,19,0.973612
3,0.002,20,0.973707
3,0.002,21,0.973994
3,0.002,22,0.974225
3,0.002,23,0.973367
3,0.002,24,0.97347
3,0.002,25,0.974608
3,0.002,26,0.973162
3,0.002,27,0.974483
3,0.002,28,0.974721
3,0.002,29,0.972525
3,0.002,30,0.974037
3,0.002,31,0.974414
3,0.002,32,0.972143
3,0.002,33,0.97329
3,0.002,34,0.970585
3,0.002,35,0.974094
3,0.002,36,0.971863
3,0.002,37,0.97371
3,0.002,38,0.974423
3,0.002,39,0.974134
3,0.002,40,0.97284
3,0.002,41,0.973895
3,0.002,42,0.974632
3,0.002,43,0.973077
3,0.002,44,0.97348
3,0.002,45,0.974009
3,0.002,46,0.973599
3,0.002,47,0.974463
3,0.002,48,0.971873
3,0.002,49,0.969545
3,0.002,50,0.973852
3,0.002,51,0.973636
3,0.002,52,0.9729
3,0.002,53,0.974107
3,0.002,54,0.972835
3,0.002,55,0.974504
3,0.002,56,0.972982
3,0.002,57,0.974428
3,0.002,58,0.973872
3,0.002,59,0.970827
3,0.002,60,0.973862
3,0.002,61,0.974951
3,0.002,62,0.973538
3,0.002,63,0.974787
3,0.002,64,0.973652
3,0.002,65,0.974366
3,0.002,66,0.974608
3,0.002,67,0.973584
3,0.002,68,0.973298
3,0.002,69,0.974512
3,0.002,70,0.974194
3,0.002,71,0.973846
3,0.002,72,0.972938
3,0.002,73,0.974101
3,0.002,74,0.973858
3,0.002,75,0.974302
3,0.002,76,0.972358
3,0.002,77,0.974012
3,0.002,78,0.974293
3,0.002,79,0.974472
3,0.002,80,0.97402
4,0.004,1,0.975037
4,0.004,2,0.97343
4,0.004,3,0.973081
4,0.004,4,0.974451
4,0.004,5,0.973663
4,0.004,6,0.973065
4,0.004,7,0.974401
4,0.004,8,0.973568
4,0.004,9,0.974024
4,0.004,10,0.974607
4,0.004,11,0.974658
4,0.004,12,0.974501
4,0.004,13,0.972813
4,0.004,14,0.974796
4,0.004,15,0.974247
4,0.004,16,0.973437
4,0.004,17,0.974989
4,0.004,18,0.974537
4,0.004,19,0.973449
4,0.004,20,0.97389
4,0.004,21,0.974218
4,0.004,22,0.973638
4,0.004,23,0.973384
4,0.004,24,0.974435
4,0.004,25,0.974117
4,0.004,26,0.974132
4,0.004,27,0.974185
4,0.004,28,0.973676
4,0.004,29,0.974437
4,0.004,30,0.974039
4,0.004,31,0.972572
4,0.004,32,0.974393
4,0.004,33,0.974517
4,0.004,34,0.970961
4,0.004,35,0.972944
4,0.004,36,0.973813
4,0.004,37,0.97374
4,0.004,38,0.974698
4,0.004,39,0.973929
4,0.004,40,0.974489
4,0.004,41,0.972608
4,0.004,42,0.974846
4,0.004,43,0.974378
4,0.004,44,0.97216
4,0.004,45,0.973897
4,0.004,46,0.974292
4,0.004,47,0.97433
4,0.004,48,0.973129
4,0.004,49,0.975114
4,0.004,50,0.97316
4,0.004,51,0.97485
4,0.004,52,0.974167
4,0.004,53,0.975561
4,0.004,54,0.973963
4,0.004,55,0.974374
4,0.004,56,0.974193
4,0.004,57,0.974352
4,0.004,58,0.974656
4,0.004,59,0.97514
4,0.004,60,0.974784
4,0.004,61,0.972719
4,0.004,62,0.974818
4,0.004,63,0.975317
4,0.004,64,0.974093
4,0.004,65,0.975253
4,0.004,66,0.975012
4,0.004,67,0.975221
4,0.004,68,0.975067
4,0.004,69,0.972876
4,0.004,70,0.974046
4,0.004,71,0.973649
4,0.004,72,0.974057
4,0.004,73,0.975185
4,0.004,74,0.97497
4,0.004,75,0.97416
4,0.004,76,0.972635
4,0.004,77,0.974312
4,0.004,78,0.974145
4,0.004,79,0.97371
4,0.004,80,0.971302
5,0.008,1,0.975284
5,0.008,2,0.972746
5,0.008,3,0.9755
5,0.008,4,0.975249
5,0.008,5,0.974587
5,0.008,6,0.974083
5,0.008,7,0.974894
5,0.008,8,0.974256
5,0.008,9,0.973247
5,0.008,10,0.975374
5,0.008,11,0.975173
5,0.008,12,0.974545
5,0.008,13,0.975408
5,0.008,14,0.975028
5,0.008,15,0.974108
5,0.008,16,0.975017
5,0.008,17,0.97426
5,0.008,18,0.974993
5,0.008,19,0.974033
5,0.008,20,0.974669
5,0.008,21,0.975479
5,0.008,22,0.97126
5,0.008,23,0.974899
5,0.008,24,0.975485
5,0.008,25,0.972224
5,0.008,26,0.975101
5,0.008,27,0.973726
5,0.008,28,0.973487
5,0.008,29,0.975789
5,0.008,30,0.975432
5,0.008,31,0.975841
5,0.008,32,0.97292
5,0.008,33,0.973595
