stage,lambda,mode,n_features,best_test_r2,final_test_r2
1,0.0005,subset,53,0.969063,0.96718
1,0.0005,complement,2,0.298591,0.289345
2,0.001,subset,45,0.964204,0.963064
2,0.001,complement,10,0.530873,0.527827
3,0.002,subset,44,0.966859,0.966404
3,0.002,complement,11,0.532313,0.516844
4,0.004,subset,30,0.970313,0.969257
4,0.004,complement,25,0.700053,0.678005
5,0.008,subset,19,0.969365,0.969228
5,0.008,complement,36,0.812104,0.80204
6,0.016,subset,7,0.915969,0.912626
6,0.016,complement,48,0.89386,0.884943
7,0.032,subset,4,0.535638,0.532312
7,0.032,complement,51,0.908198,0.902613
