stage,lambda,feature,gate_final,gate_mean_window,gate_std_window,active
1,0.0005,da_as_as_mw_thirty_minutes_reserve,0.239025,0.252381,0.008955,1
1,0.0005,da_as_total_mw_thirty_minutes_reserve,0.240249,0.253178,0.007206,1
1,0.0005,gross_sched_interchange_mw,0.466337,0.485094,0.011937,1
1,0.0005,gen_fuel_nuclear_mw,0.844734,0.857718,0.00789,1
1,0.0005,gen_fuel_gas_mw,1.103716,1.108731,0.003019,1
1,0.0005,da_as_as_req_mw_thirty_minutes_reserve,0.36346,0.378262,0.008729,1
1,0.0005,da_as_as_req_mw_primary_reserve,0.291924,0.299016,0.005626,1
1,0.0005,da_as_as_req_mw_synchronized_reserve,0.097761,0.115347,0.010587,1
1,0.0005,total_pjm_assigned_reg,0.170376,0.182969,0.006469,1
1,0.0005,da_as_as_mw_primary_reserve,0.27789,0.289312,0.008061,1
1,0.0005,da_as_total_mw_primary_reserve,1e-05,0.001579,0.001047,0
1,0.0005,da_as_as_mw_synchronized_reserve,0.140127,0.152062,0.008844,1
1,0.0005,total_pjm_reg_purchases,0.194278,0.201956,0.006075,1
1,0.0005,gen_fuel_other_renewables_mw,0.4092,0.424172,0.009994,1
1,0.0005,total_lmp_da,0.061944,0.076329,0.009958,1
1,0.0005,total_pjm_rmpcp_cr,0.130638,0.133554,0.003154,1
1,0.0005,forecast_load_mw_day_ahead,0.056058,0.067379,0.00698,1
1,0.0005,total_pjm_rmccp_cr,0.054897,0.063316,0.004369,1
1,0.0005,gen_fuel_wind_mw,0.617432,0.628801,0.00726,1
1,0.0005,da_as_total_mw_synchronized_reserve,0.255562,0.266342,0.006791,1
1,0.0005,system_energy_price_da,0.257467,0.266069,0.005786,1
1,0.0005,gen_fuel_multiple_fuels_pct,0.212786,0.226784,0.009768,1
1,0.0005,gen_fuel_multiple_fuels_mw,0.454775,0.471505,0.010404,1
1,0.0005,marginal_loss_price_rt,0.240289,0.257136,0.009804,1
1,0.0005,gen_fuel_gas_pct,0.705795,0.727344,0.012944,1
1,0.0005,marginal_loss_price_da,0.206036,0.21206,0.005635,1
1,0.0005,total_lmp_rt,0.001598,0.001387,0.001276,0
1,0.0005,rmccp,0.104219,0.10742,0.002409,1
1,0.0005,system_energy_price_rt,0.233281,0.250187,0.011408,1
1,0.0005,rmpcp,0.124072,0.132919,0.005301,1
1,0.0005,gen_fuel_wind_pct,0.088781,0.106537,0.012217,1
1,0.0005,gen_fuel_coal_mw,1.039717,1.046971,0.004375,1
1,0.0005,wind_generation_mw,0.599059,0.621514,0.013904,1
1,0.0005,gross_inadv_interchange_mw,0.383769,0.399342,0.011312,1
1,0.0005,gen_fuel_oil_mw,0.561215,0.581994,0.011525,1
1,0.0005,da_as_mcp_primary_reserve,0.037711,0.038192,0.001968,1
1,0.0005,total_pjm_rt_load_mwh,1.055228,1.062903,0.004547,1
1,0.0005,metered_load_mw,0.955408,0.963732,0.004925,1
1,0.0005,forecast_load_mw_latest_available,0.222352,0.25272,0.019253,1
1,0.0005,prelim_load_avg_hourly,1.054634,1.060395,0.003375,1
1,0.0005,gross_actual_interchange_mw,0.273038,0.283446,0.008668,1
1,0.0005,gen_fuel_hydro_mw,0.83477,0.849667,0.00918,1
1,0.0005,total_pjm_loc_credit,0.109177,0.110066,0.005064,1
1,0.0005,total_losses,0.549905,0.569525,0.011647,1
1,0.0005,net_inadv_interchange_mw,0.126678,0.132584,0.004044,1
1,0.0005,da_as_nsr_mw_primary_reserve,0.023467,0.028816,0.003761,1
1,0.0005,total_pjm_self_sched_reg,0.198774,0.20688,0.005959,1
1,0.0005,da_as_ss_mw_synchronized_reserve,0.141992,0.15323,0.007677,1
1,0.0005,da_as_ss_mw_thirty_minutes_reserve,0.136876,0.147395,0.005656,1
1,0.0005,da_as_ss_mw_primary_reserve,0.178856,0.190299,0.006717,1
1,0.0005,gen_fuel_solar_mw,0.929591,0.940436,0.00705,1
1,0.0005,gen_fuel_coal_pct,0.634887,0.654622,0.012054,1
1,0.0005,congestion_price_rt,0.13793,0.142881,0.005085,1
1,0.0005,da_as_mcp_synchronized_reserve,0.151343,0.157071,0.004832,1
1,0.0005,congestion_price_da,0.247931,0.256657,0.007112,1
2,0.001,da_as_as_mw_thirty_minutes_reserve,0.123099,0.133633,0.00434,1
2,0.001,da_as_total_mw_thirty_minutes_reserve,0.122538,0.133787,0.005573,1
2,0.001,gross_sched_interchange_mw,0.268331,0.283498,0.009683,1
2,0.001,gen_fuel_nuclear_mw,0.651027,0.671113,0.012303,1
2,0.001,gen_fuel_gas_mw,1.02456,1.033362,0.005332,1
2,0.001,da_as_as_req_mw_thirty_minutes_reserve,0.195888,0.210475,0.008024,1
2,0.001,da_as_as_req_mw_primary_reserve,0.190133,0.198607,0.005773,1
2,0.001,da_as_as_req_mw_synchronized_reserve,0.005026,0.001197,0.001084,0
2,0.001,total_pjm_assigned_reg,0.090453,0.09485,0.003299,1
2,0.001,da_as_as_mw_primary_reserve,0.149909,0.158113,0.005842,1
2,0.001,da_as_total_mw_primary_reserve,0.002646,0.000785,0.000772,0
2,0.001,da_as_as_mw_synchronized_reserve,0.038272,0.043346,0.00388,1
2,0.001,total_pjm_reg_purchases,0.105647,0.110145,0.004217,1
2,0.001,gen_fuel_other_renewables_mw,0.239027,0.250964,0.007588,1
2,0.001,total_lmp_da,0.001506,0.000971,0.000589,0
2,0.001,total_pjm_rmpcp_cr,0.062916,0.069211,0.003974,1
2,0.001,forecast_load_mw_day_ahead,0.000295,0.000974,0.000661,0
2,0.001,total_pjm_rmccp_cr,0.002981,0.006826,0.002721,0
2,0.001,gen_fuel_wind_mw,0.459669,0.474743,0.009385,1
2,0.001,da_as_total_mw_synchronized_reserve,0.156264,0.161609,0.004491,1
2,0.001,system_energy_price_da,0.145886,0.152852,0.004448,1
2,0.001,gen_fuel_multiple_fuels_pct,0.077316,0.08423,0.004016,1
2,0.001,gen_fuel_multiple_fuels_mw,0.265282,0.280597,0.009924,1
2,0.001,marginal_loss_price_rt,0.100639,0.106877,0.004463,1
2,0.001,gen_fuel_gas_pct,0.397632,0.428165,0.019277,1
2,0.001,marginal_loss_price_da,0.11492,0.118434,0.003762,1
2,0.001,total_lmp_rt,0.000481,0.000873,0.000568,0
2,0.001,rmccp,0.067813,0.07014,0.002549,1
2,0.001,system_energy_price_rt,0.086639,0.090835,0.004068,1
2,0.001,rmpcp,0.066038,0.070363,0.003264,1
2,0.001,gen_fuel_wind_pct,1.8e-05,0.001284,0.001116,0
2,0.001,gen_fuel_coal_mw,0.926858,0.939565,0.007467,1
2,0.001,wind_generation_mw,0.294685,0.324577,0.018404,1
2,0.001,gross_inadv_interchange_mw,0.210395,0.22031,0.006835,1
2,0.001,gen_fuel_oil_mw,0.328517,0.345958,0.011576,1
2,0.001,da_as_mcp_primary_reserve,0.002834,0.005807,0.002525,0
2,0.001,total_pjm_rt_load_mwh,0.94275,0.955498,0.007656,1
2,0.001,metered_load_mw,0.83761,0.850612,0.007862,1
2,0.001,forecast_load_mw_latest_available,3e-05,0.000594,0.000437,0
2,0.001,prelim_load_avg_hourly,0.968622,0.977878,0.005591,1
2,0.001,gross_actual_interchange_mw,0.147935,0.157965,0.005053,1
2,0.001,gen_fuel_hydro_mw,0.621138,0.642627,0.013262,1
2,0.001,total_pjm_loc_credit,0.051961,0.057792,0.002844,1
2,0.001,total_losses,0.317823,0.333764,0.010937,1
2,0.001,net_inadv_interchange_mw,0.062818,0.069183,0.003007,1
2,0.001,da_as_nsr_mw_primary_reserve,0.002585,0.002476,0.001786,0
2,0.001,total_pjm_self_sched_reg,0.108555,0.113279,0.003862,1
2,0.001,da_as_ss_mw_synchronized_reserve,0.064974,0.067599,0.004152,1
2,0.001,da_as_ss_mw_thirty_minutes_reserve,0.066728,0.065724,0.002768,1
2,0.001,da_as_ss_mw_primary_reserve,0.096432,0.099215,0.003213,1
2,0.001,gen_fuel_solar_mw,0.757864,0.777025,0.011688,1
2,0.001,gen_fuel_coal_pct,0.354581,0.382412,0.016255,1
2,0.001,congestion_price_rt,0.073333,0.076715,0.003356,1
2,0.001,da_as_mcp_synchronized_reserve,0.073297,0.076667,0.004151,1
2,0.001,congestion_price_da,0.136336,0.145523,0.005702,1
3,0.002,da_as_as_mw_thirty_minutes_reserve,0.0617,0.065796,0.002333,1
