stage,lambda,epochs,best_test_r2,final_test_r2,active_count,newly_exited
1,0.0005,200,0.974385,0.973233,53,da_as_total_mw_primary_reserve;total_lmp_rt
2,0.001,80,0.974803,0.972425,45,da_as_as_req_mw_synchronized_reserve;da_as_mcp_primary_reserve;da_as_nsr_mw_primary_reserve;forecast_load_mw_day_ahead;forecast_load_mw_latest_available;gen_fuel_wind_pct;total_lmp_da;total_pjm_rmccp_cr
3,0.002,80,0.975175,0.97402,44,da_as_as_mw_synchronized_reserve
4,0.004,80,0.975561,0.971302,30,congestion_price_rt;da_as_mcp_synchronized_reserve;da_as_ss_mw_synchronized_reserve;da_as_ss_mw_thirty_minutes_reserve;gen_fuel_coal_pct;gen_fuel_gas_pct;gen_fuel_multiple_fuels_pct;net_inadv_interchange_mw;rmccp;rmpcp;system_energy_price_rt;total_pjm_loc_credit;total_pjm_rmpcp_cr;wind_generation_mw
5,0.008,80,0.976012,0.974681,19,congestion_price_da;da_as_as_mw_primary_reserve;da_as_as_mw_thirty_minutes_reserve;da_as_total_mw_thirty_minutes_reserve;gross_actual_interchange_mw;marginal_loss_price_da;marginal_loss_price_rt;system_energy_price_da;total_pjm_assigned_reg;total_pjm_reg_purchases;total_pjm_self_sched_reg
6,0.016,80,0.976376,0.972467,7,da_as_as_req_mw_primary_reserve;da_as_as_req_mw_thirty_minutes_reserve;da_as_ss_mw_primary_reserve;da_as_total_mw_synchronized_reserve;gen_fuel_multiple_fuels_mw;gen_fuel_oil_mw;gen_fuel_other_renewables_mw;gross_inadv_interchange_mw;gross_sched_interchange_mw;metered_load_mw;total_losses;total_pjm_rt_load_mwh
7,0.032,80,0.976041,0.972281,4,gen_fuel_hydro_mw;gen_fuel_nuclear_mw;gen_fuel_wind_mw
