stage,lambda,epoch,feature,gate
1,0.0005,1,da_as_as_mw_thirty_minutes_reserve,0.9889588356018066
1,0.0005,1,da_as_total_mw_thirty_minutes_reserve,1.0086686611175537
1,0.0005,1,gross_sched_interchange_mw,1.0814367532730103
1,0.0005,1,gen_fuel_nuclear_mw,1.0323723554611206
1,0.0005,1,gen_fuel_gas_mw,1.0462735891342163
1,0.0005,1,da_as_as_req_mw_thirty_minutes_reserve,1.0231624841690063
1,0.0005,1,da_as_as_req_mw_primary_reserve,1.0096683502197266
1,0.0005,1,da_as_as_req_mw_synchronized_reserve,1.0190207958221436
1,0.0005,1,total_pjm_assigned_reg,1.030632734298706
1,0.0005,1,da_as_as_mw_primary_reserve,1.0169039964675903
1,0.0005,1,da_as_total_mw_primary_reserve,1.0158181190490723
1,0.0005,1,da_as_as_mw_synchronized_reserve,1.0173463821411133
1,0.0005,1,total_pjm_reg_purchases,1.033954381942749
1,0.0005,1,gen_fuel_other_renewables_mw,1.0277281999588013
1,0.0005,1,total_lmp_da,1.0063974857330322
1,0.0005,1,total_pjm_rmpcp_cr,1.0275102853775024
1,0.0005,1,forecast_load_mw_day_ahead,1.0315786600112915
1,0.0005,1,total_pjm_rmccp_cr,0.9779678583145142
1,0.0005,1,gen_fuel_wind_mw,1.0266271829605103
1,0.0005,1,da_as_total_mw_synchronized_reserve,0.9997910857200623
1,0.0005,1,system_energy_price_da,1.0424022674560547
1,0.0005,1,gen_fuel_multiple_fuels_pct,1.03542160987854
1,0.0005,1,gen_fuel_multiple_fuels_mw,1.0126056671142578
1,0.0005,1,marginal_loss_price_rt,0.9896737337112427
1,0.0005,1,gen_fuel_gas_pct,1.0360051393508911
1,0.0005,1,marginal_loss_price_da,1.038378357887268
1,0.0005,1,total_lmp_rt,0.9914754629135132
1,0.0005,1,rmccp,0.988164484500885
1,0.0005,1,system_energy_price_rt,0.9970162510871887
1,0.0005,1,rmpcp,1.018263339996338
1,0.0005,1,gen_fuel_wind_pct,1.0206589698791504
1,0.0005,1,gen_fuel_coal_mw,1.0493794679641724
1,0.0005,1,wind_generation_mw,1.0371862649917603
1,0.0005,1,gross_inadv_interchange_mw,1.0213994979858398
1,0.0005,1,gen_fuel_oil_mw,1.026499629020691
1,0.0005,1,da_as_mcp_primary_reserve,0.9934645891189575
1,0.0005,1,total_pjm_rt_load_mwh,1.0132791996002197
1,0.0005,1,metered_load_mw,0.9873934984207153
1,0.0005,1,forecast_load_mw_latest_available,0.9952271580696106
1,0.0005,1,prelim_load_avg_hourly,1.003139615058899
1,0.0005,1,gross_actual_interchange_mw,0.9803800582885742
1,0.0005,1,gen_fuel_hydro_mw,1.0076295137405396
1,0.0005,1,total_pjm_loc_credit,0.9765188694000244
1,0.0005,1,total_losses,1.0814508199691772
1,0.0005,1,net_inadv_interchange_mw,0.9820234775543213
1,0.0005,1,da_as_nsr_mw_primary_reserve,1.0199040174484253
1,0.0005,1,total_pjm_self_sched_reg,1.0005662441253662
1,0.0005,1,da_as_ss_mw_synchronized_reserve,0.9948965311050415
1,0.0005,1,da_as_ss_mw_thirty_minutes_reserve,1.0047916173934937
1,0.0005,1,da_as_ss_mw_primary_reserve,0.9889769554138184
1,0.0005,1,gen_fuel_solar_mw,1.0307542085647583
1,0.0005,1,gen_fuel_coal_pct,0.9752069115638733
1,0.0005,1,congestion_price_rt,1.0013117790222168
1,0.0005,1,da_as_mcp_synchronized_reserve,0.9875078797340393
1,0.0005,1,congestion_price_da,0.9926173686981201
1,0.0005,2,da_as_as_mw_thirty_minutes_reserve,0.9968906044960022
1,0.0005,2,da_as_total_mw_thirty_minutes_reserve,1.008340835571289
1,0.0005,2,gross_sched_interchange_mw,1.0953446626663208
1,0.0005,2,gen_fuel_nuclear_mw,1.0202292203903198
1,0.0005,2,gen_fuel_gas_mw,1.0711565017700195
1,0.0005,2,da_as_as_req_mw_thirty_minutes_reserve,1.02427339553833
1,0.0005,2,da_as_as_req_mw_primary_reserve,1.0099509954452515
1,0.0005,2,da_as_as_req_mw_synchronized_reserve,1.0070257186889648
1,0.0005,2,total_pjm_assigned_reg,1.0214704275131226
1,0.0005,2,da_as_as_mw_primary_reserve,1.0080245733261108
1,0.0005,2,da_as_total_mw_primary_reserve,1.0159192085266113
1,0.0005,2,da_as_as_mw_synchronized_reserve,1.0117579698562622
1,0.0005,2,total_pjm_reg_purchases,1.026687741279602
1,0.0005,2,gen_fuel_other_renewables_mw,1.0379753112792969
1,0.0005,2,total_lmp_da,1.0068676471710205
1,0.0005,2,total_pjm_rmpcp_cr,1.0190544128417969
1,0.0005,2,forecast_load_mw_day_ahead,1.0271302461624146
1,0.0005,2,total_pjm_rmccp_cr,0.9573801159858704
1,0.0005,2,gen_fuel_wind_mw,1.002509593963623
1,0.0005,2,da_as_total_mw_synchronized_reserve,1.0035338401794434
1,0.0005,2,system_energy_price_da,1.0651249885559082
1,0.0005,2,gen_fuel_multiple_fuels_pct,1.016870379447937
1,0.0005,2,gen_fuel_multiple_fuels_mw,0.9854207038879395
1,0.0005,2,marginal_loss_price_rt,0.9852195382118225
1,0.0005,2,gen_fuel_gas_pct,1.0410228967666626
1,0.0005,2,marginal_loss_price_da,1.052887201309204
1,0.0005,2,total_lmp_rt,0.9791809320449829
1,0.0005,2,rmccp,0.9740859866142273
1,0.0005,2,system_energy_price_rt,0.9934483170509338
1,0.0005,2,rmpcp,1.0163201093673706
