total_gen,total_losses,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.48032892,0.49213278,0.49007523,0.4751034,0.45759776,0.41431296,0.47818583,0.50945103,0.4754145,0.38777632,0.42172602,0.39376003,0.44100347,0.42298228,0.4373439,0.49350384,0.46950474,0.40509132,0.4173242,0.5126532,0.49357536,0.43150875,0.48016918,0.45847273,0.40981174,0.43841127,0.4509274,0.43626478,0.4246364,0.484597,0.45437303,0.47114006,0.41209725,0.4344394,0.4417691,0.42459407,0.43949574,0.5226123,0.52579814,0.46041295,0.45220524,0.49212456,0.4399225,0.47085974,0.45283338,0.49225676
0.48945692,0.5146259,0.49050355,0.45492527,0.40578604,0.37808636,0.51354504,0.5108428,0.4720386,0.30751646,0.40577286,0.30625698,0.40214726,0.4048422,0.40370968,0.4935521,0.46229523,0.38720408,0.38612756,0.5237265,0.49407348,0.39412206,0.48327193,0.4467422,0.37029314,0.4194906,0.41782448,0.43571126,0.39537844,0.47241288,0.46446317,0.49650168,0.37098482,0.43481725,0.4396683,0.4091264,0.42699638,0.5198762,0.5565289,0.45357475,0.4294324,0.544726,0.43094456,0.4973161,0.45788282,0.5082236
0.47615936,0.54120743,0.48834866,0.42043403,0.3549319,0.3647216,0.5327005,0.4921263,0.47818762,0.22347708,0.4274123,0.26576918,0.35859874,0.3867032,0.36130923,0.4850785,0.42673537,0.39131778,0.37584704,0.4998336,0.46813625,0.35979635,0.45782518,0.43396583,0.33719787,0.3924283,0.38019684,0.42273834,0.37723324,0.4601851,0.44594175,0.4874222,0.31635317,0.4050135,0.4398103,0.3895441,0.40643668,0.5309371,0.5770893,0.4371671,0.40000919,0.58964044,0.42428765,0.5230169,0.47812647,0.5345977
0.46930647,0.5524299,0.5135152,0.37887278,0.2966944,0.3172512,0.5653231,0.4813981,0.49218777,0.18841806,0.47146022,0.22237794,0.3432693,0.3816314,0.3038103,0.49071357,0.40519702,0.37111294,0.36204126,0.4945159,0.4626226,0.32457113,0.4412261,0.41972363,0.2949585,0.37309557,0.35247448,0.42996866,0.35146797,0.4586668,0.44457614,0.49086973,0.2684389,0.35990047,0.4452776,0.38150468,0.3947246,0.53631085,0.59382993,0.42741963,0.38065714,0.6099949,0.41808614,0.5186842,0.4954908,0.5876813
0.4516423,0.60953504,0.521971,0.3544599,0.27111098,0.3001343,0.58620197,0.4861756,0.49768904,0.15855117,0.47461477,0.19452097,0.34133452,0.37735373,0.26274753,0.4925849,0.3845437,0.3831686,0.35021356,0.49972522,0.44340143,0.303156,0.42746198,0.41998425,0.26135927,0.36383218,0.3341797,0.4283098,0.3460518,0.45727512,0.43840152,0.48795986,0.2250037,0.33083916,0.44566292,0.37757167,0.4030315,0.55522174,0.6384539,0.413016,0.35633737,0.6589298,0.4054934,0.52060497,0.5181002,0.61871445
0.437213,0.636409,0.5275485,0.3201902,0.24050279,0.276809,0.6141005,0.5002127,0.490032,0.1348492,0.50377566,0.19566034,0.3347005,0.3667459,0.21629064,0.50594586,0.3642974,0.37297842,0.3339743,0.50081015,0.43144602,0.2876362,0.41119295,0.41679764,0.23000582,0.35657668,0.3298564,0.4343358,0.3507593,0.44766635,0.43961436,0.49355456,0.17956391,0.29389858,0.43498632,0.36259526,0.4057727,0.560434,0.671445,0.41085443,0.3408205,0.68364346,0.38980728,0.52159524,0.5375825,0.6341852
0.42965734,0.66245747,0.5471797,0.2785352,0.2070786,0.25982133,0.63872355,0.4931152,0.504249,0.12825948,0.53931224,0.18728496,0.30530554,0.37565836,0.17256792,0.51403755,0.3367257,0.40845627,0.31051904,0.5090254,0.43611887,0.26548168,0.4027868,0.42048392,0.23177758,0.36543754,0.3343336,0.45155603,0.3542898,0.44848493,0.4363533,0.48829117,0.12419365,0.2532617,0.4279006,0.35712618,0.40496323,0.5808623,0.6931052,0.3802986,0.33177832,0.72992104,0.39937964,0.546242,0.547073,0.6934941
0.426035,0.6790304,0.5479515,0.2402362,0.18926775,0.2737891,0.6806687,0.49699014,0.5152715,0.09102745,0.5574223,0.19119155,0.29353794,0.39148077,0.13241726,0.51329273,0.29561284,0.42666987,0.3087046,0.5070869,0.43855333,0.2578794,0.40271938,0.42276236,0.20792945,0.36414993,0.31754893,0.47658023,0.3567694,0.43812758,0.4438403,0.5012716,0.07553136,0.22134173,0.4431514,0.35496065,0.3885133,0.5874061,0.72174436,0.37161887,0.3251812,0.7737263,0.38626435,0.5480072,0.56657207,0.72827435
0.41654783,0.71340233,0.55176616,0.20698363,0.16127567,0.28260064,0.7095155,0.49333635,0.50293046,0.061359785,0.57952535,0.2161589,0.27017,0.4056604,0.08225967,0.51391417,0.2597859,0.42153454,0.30249265,0.5036653,0.43408483,0.24664332,0.4051656,0.42210305,0.1862916,0.34088475,0.315991,0.49946207,0.3821085,0.43515423,0.45790333,0.52587736,0.049064215,0.19177681,0.45365474,0.3492347,0.3881068,0.62373227,0.7423657,0.36539093,0.31643775,0.79110867,0.37861666,0.5547307,0.58292985,0.75860244
