伪目标,字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型,分解式门控,随机门控,两两相关性,置换重要性,Lasso系数
系统负荷,system_load_day_ahead_mw,0.22385908779927988,0.09424609953243092,2.3840112598829237,0.002307841613140682,-2.381703418269783,替身型,0.0,-2.1887567043304443,0.999969304606952,1.9814545679482762,0.2826527471955647
系统负荷,system_generation_mw,0.2103168383017184,0.08854472637582907,2.3785449663863902,0.005408471470161325,-2.373136494916229,替身型,0.0,2.508925199508667,0.9997370142811189,0.00011505312964521508,0.00047979684101415675
系统负荷,area_2_load_day_ahead_mw,0.16128530836264984,0.06790214046925107,2.142022917914971,-0.0003713456646948776,-2.142394263579666,替身型,0.0,-2.3158457279205322,0.9653766690947287,8.611737267738562e-08,0.0
系统负荷,area_2_load_actual_mw,0.15998578093585497,0.0673550311585911,2.152280462867592,0.0027283037376414354,-2.1495521591299505,替身型,0.0,-2.3172287940979004,0.965376574552192,1.0052662582360484e-07,0.2916742781143604
系统负荷,area_1_load_day_ahead_mw,0.1538592935904372,0.06477574102649632,2.0398809749853113,-0.003339089267782369,-2.0432200642530938,替身型,0.0,-2.473497152328491,0.962637984104644,1.0431066059468641e-05,0.16254970087251377
系统负荷,area_1_generation_mw,0.14603994571509732,0.061483745846033715,2.002757308073575,-0.002264417469635127,-2.00502172554321,替身型,0.0,-2.3031225204467773,0.9632050444187225,2.3483267541757336e-05,0.0
系统负荷,reserve_spin_r2_mw,0.14421455625216387,0.06071524527408762,2.1557348524200406,-0.0012135624285980473,-2.156948414848639,替身型,0.016964690759778023,-2.316462278366089,0.9653765696584228,1.735366867317012e-07,0.0
系统负荷,area_1_load_actual_mw,0.13659017079709912,0.05750533051236955,1.992149907783003,-0.00558090503129316,-1.997730812814296,替身型,0.0,-2.3087165355682373,0.9626380934657773,1.0638115183803087e-05,0.09772531487774047
系统负荷,reserve_spin_r1_mw,0.13583828571848114,0.0571887821128696,1.9223438243614366,-0.0034727859739835942,-1.9258166103354202,替身型,0.01637074165046215,-2.2937049865722656,0.9626379838536696,1.0521579067823694e-05,0.0
系统负荷,area_2_generation_mw,0.1269351215426126,0.05344049337765937,2.1367941251757525,-0.004131050240597123,-2.1409251754163496,替身型,0.0,-2.263695001602173,0.9643989455573364,1.7511435781436547e-07,0.0
系统负荷,reserve_spin_r3_mw,0.11350073528137773,0.047784531329476944,1.3632379184529226,0.007167684373967309,-1.3560702340789552,替身型,0.0,-2.277535915374756,0.8399938168112597,-2.7845022079042715e-05,0.0
