伪目标,路径,字段数,残差比,成立,系数最小,系数最大,缺失字段
system_load_actual_mw,三个分区负荷之和,3,5.670117853092672e-10,True,0.9999999999941404,1.0000000000395222,
system_load_actual_mw,系统发电减网损,2,2.1842544868905513e-09,True,-1.0000000018847572,0.9999999998469583,
system_generation_mw,六个分燃料之和,6,6.498242387626133e-10,True,0.9999999999196555,1.0000000000333802,
system_generation_mw,三个分区发电之和,3,5.639586183205812e-10,True,0.999999999955327,1.0000000000347484,
system_generation_mw,负荷加网损,2,2.14191437264929e-09,True,1.0000000001530345,1.0000000020377682,
system_generation_mw,分区分燃料之和,18,,False,,,area_2_fuel_nuclear_mw;area_2_fuel_wind_mw;area_3_fuel_nuclear_mw
area_1_generation_mw,本区各燃料之和,6,1.5584029142653058e-09,True,0.99999999982759,1.000000000083278,
area_1_generation_mw,系统发电减其余两区,3,1.515244383521547e-09,True,-1.0000000000794291,1.0000000000446738,
gen_fuel_coal_mw,三个分区煤电之和,3,6.748387615755444e-10,True,0.9999999999856499,1.0000000000248073,
