方法,k=1,k=2,k=3,k=5,k=8,k=12,k=18,k=25,k=35,k=45
本方法,0.0,0.10606060606060605,0.15606060606060607,0.22878787878787876,0.25656565656565655,0.44040404040404035,0.5914141414141414,0.753030303030303,0.9318181818181819,1.0
分解式门控,0.08333333333333333,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.351010101010101,0.3737373737373737,0.44696969696969696,0.5424242424242425,0.8212121212121212,1.0
随机门控,0.0,0.0,0.027777777777777776,0.050505050505050504,0.07323232323232323,0.10101010101010101,0.1515151515151515,0.20202020202020202,0.4984848484848484,1.0
两两相关性,0.10606060606060605,0.15606060606060607,0.23939393939393938,0.2893939393939394,0.41262626262626256,0.46818181818181814,0.6974747474747475,0.8484848484848485,0.9217171717171717,1.0
置换重要性,0.10606060606060605,0.23939393939393938,0.2621212121212121,0.39595959595959596,0.5464646464646464,0.5691919191919191,0.6752525252525252,0.6979797979797979,0.9494949494949495,1.0
Lasso系数,0.15606060606060607,0.23939393939393938,0.37272727272727274,0.4732323232323232,0.5510101010101011,0.5737373737373738,0.646969696969697,0.7474747474747474,0.8484848484848485,1.0
