伪目标,候选数,路径数,本方法_判定有贡献数,本方法_完整保留路径数,分解式门控_判定有贡献数,分解式门控_完整保留路径数,随机门控_判定有贡献数,随机门控_完整保留路径数,两两相关性_判定有贡献数,两两相关性_完整保留路径数,置换重要性_判定有贡献数,置换重要性_完整保留路径数,Lasso系数_判定有贡献数,Lasso系数_完整保留路径数,同预算_k,本方法_同预算保留路径数,本方法_同预算覆盖率,分解式门控_同预算保留路径数,分解式门控_同预算覆盖率,随机门控_同预算保留路径数,随机门控_同预算覆盖率,两两相关性_同预算保留路径数,两两相关性_同预算覆盖率,置换重要性_同预算保留路径数,置换重要性_同预算覆盖率,Lasso系数_同预算保留路径数,Lasso系数_同预算覆盖率,覆盖率_本方法_k1,覆盖率_本方法_k2,覆盖率_本方法_k3,覆盖率_本方法_k5,覆盖率_本方法_k8,覆盖率_本方法_k12,覆盖率_本方法_k18,覆盖率_本方法_k25,覆盖率_本方法_k35,覆盖率_本方法_k45,覆盖率_分解式门控_k1,覆盖率_分解式门控_k2,覆盖率_分解式门控_k3,覆盖率_分解式门控_k5,覆盖率_分解式门控_k8,覆盖率_分解式门控_k12,覆盖率_分解式门控_k18,覆盖率_分解式门控_k25,覆盖率_分解式门控_k35,覆盖率_分解式门控_k45,覆盖率_随机门控_k1,覆盖率_随机门控_k2,覆盖率_随机门控_k3,覆盖率_随机门控_k5,覆盖率_随机门控_k8,覆盖率_随机门控_k12,覆盖率_随机门控_k18,覆盖率_随机门控_k25,覆盖率_随机门控_k35,覆盖率_随机门控_k45,覆盖率_两两相关性_k1,覆盖率_两两相关性_k2,覆盖率_两两相关性_k3,覆盖率_两两相关性_k5,覆盖率_两两相关性_k8,覆盖率_两两相关性_k12,覆盖率_两两相关性_k18,覆盖率_两两相关性_k25,覆盖率_两两相关性_k35,覆盖率_两两相关性_k45,覆盖率_置换重要性_k1,覆盖率_置换重要性_k2,覆盖率_置换重要性_k3,覆盖率_置换重要性_k5,覆盖率_置换重要性_k8,覆盖率_置换重要性_k12,覆盖率_置换重要性_k18,覆盖率_置换重要性_k25,覆盖率_置换重要性_k35,覆盖率_置换重要性_k45,覆盖率_Lasso系数_k1,覆盖率_Lasso系数_k2,覆盖率_Lasso系数_k3,覆盖率_Lasso系数_k5,覆盖率_Lasso系数_k8,覆盖率_Lasso系数_k12,覆盖率_Lasso系数_k18,覆盖率_Lasso系数_k25,覆盖率_Lasso系数_k35,覆盖率_Lasso系数_k45
系统负荷,45,2,43,2,3,0,45,2,45,2,1,0,5,1,3,0,0.2,0,0.0,0,0.0,0,0.2,0,0.2,0,0.4,0.0,0.0,0.2,0.4,0.4,0.6,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.2,0.2,0.4,0.6,0.6,0.8,1.0,1.0,1.0,0.0,0.2,0.2,0.2,0.6,0.6,0.6,0.6,1.0,1.0,0.2,0.2,0.4,0.6,0.8,0.8,0.8,1.0,1.0,1.0
系统总发电,45,3,41,2,3,0,45,3,45,3,2,0,5,1,3,0,0.09090909090909091,0,0.09090909090909091,0,0.0,0,0.09090909090909091,1,0.18181818181818182,0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.7272727272727273,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.8181818181818182,1.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.7272727272727273,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.7272727272727273,0.9090909090909091,1.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.9090909090909091,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.7272727272727273,1.0
1区发电总量,45,2,39,2,1,0,45,2,45,2,3,0,4,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8888888888888888,1.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0
系统煤电出力,45,1,43,1,3,1,45,1,45,1,4,1,3,1,2,0,0.3333333333333333,0,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
