目标,字段,贡献值,归一化份额,独立能力,不可替代性,协同冗余指数,类型,分解式门控,随机门控,两两相关性,置换重要性,Lasso系数
115号母线电压相角,area_1_fuel_wind_mw,0.15247617551138315,0.15461536124627884,0.6409280211172783,0.018548747981888547,-0.6223792731353898,替身型,0.046803928911685944,2.5758137702941895,0.6917902902020318,1.2263096681143693,0.933535845411393
115号母线电压相角,area_1_fuel_coal_mw,0.11668132435257868,0.11831832123911942,0.4992111866200115,0.012304123699215297,-0.4869070629207962,替身型,0.0700983926653862,-2.5504040718078613,0.19576924547705402,0.019820538817542865,0.1196249684999906
115号母线电压相角,system_losses_mw,0.10184192844492561,0.10327073396036424,0.5762931804678229,0.004600782454075691,-0.5716923980137472,替身型,0.0,2.5179173946380615,0.7666975655897921,0.1697503112656691,0.1802451469198032
115号母线电压相角,gen_fuel_wind_mw,0.08539534608389514,0.08659341198210171,0.6023319206933666,0.0030355416549293635,-0.5992963790384372,替身型,0.0,-2.8277103900909424,0.6329207029975863,0.00021968114687593855,0.0
115号母线电压相角,gen_fuel_nuclear_mw,0.06282201259258846,0.06370338276550094,0.27563227181529126,0.014088391245952625,-0.26154388056933864,替身型,0.0,-2.754369020462036,0.18929060574341486,0.03751584784892732,0.3912124461898189
115号母线电压相角,area_1_fuel_nuclear_mw,0.054729654697622546,0.05549749200867958,0.2801200729846649,0.007931943350584003,-0.2721881296340809,替身型,0.022246770560741425,-2.6992602348327637,0.18929060574341486,0.03559508764473711,0.010165405580028437
115号母线电压相角,area_3_fuel_wind_mw,0.05255336934011813,0.053290674152729284,0.46274226437190624,0.003454842214805187,-0.45928742215710106,替身型,0.0,-2.844095230102539,0.553600974986986,0.0004796235860184073,0.14751222296457367
115号母线电压相角,gen_fuel_coal_mw,0.05216838431040309,0.0529002879219351,0.3433724671171613,-0.0008948458486027766,-0.34426731296576407,替身型,0.0,-2.456190586090088,0.11809617692926772,0.0008311729532512801,0.0
115号母线电压相角,area_2_net_export_mw,0.05146142054791635,0.05218340571290596,0.37471417716490274,0.00266483200350065,-0.3720493451614021,替身型,0.0,-2.827162742614746,0.475453714357038,0.0009230743304881939,0.0674469328170569
115号母线电压相角,area_1_net_export_mw,0.05113383738506332,0.05185122667645749,0.3809597859900584,-0.0005624232458900646,-0.3815222092359485,替身型,0.0066780271008610725,-2.643113136291504,0.41244709327726614,0.002024255979190781,0.0
115号母线电压相角,area_3_fuel_coal_mw,0.027218195073944972,0.02760005653155639,0.1530175992163676,-0.0002856328701434929,-0.1533032320865111,替身型,0.0,-2.837312936782837,0.3209344948587096,6.349303820694097e-05,0.12138010311156947
115号母线电压相角,area_3_fuel_solar_mw,0.027190175174563763,0.027571643523095362,0.02872024777687221,0.0027490523069118034,-0.025971195469960406,独立可加,0.02044355310499668,-2.4222404956817627,0.01770509518917283,0.004403738995257656,0.17385799707226487
115号母线电压相角,area_3_net_export_mw,0.023957107909685093,0.024293217490856542,0.10715797056316134,-0.000749376702714355,-0.1079073472658757,替身型,0.0,-2.5777790546417236,0.2523334885584712,0.0018703298299648675,0.07944152113099985
115号母线电压相角,reserve_reg_up_mw,0.022450636256480482,0.022765610583834396,0.20267729536713552,0.0019255053948982193,-0.2007517899722373,替身型,0.0,-2.825098752975464,0.47707959426655977,0.000546584976057507,0.02321143012724232
115号母线电压相角,gen_fuel_solar_mw,0.018336618542635498,0.01859387468564324,-0.0457463106456335,-0.0007086366208194361,0.04503767402481407,独立可加,0.0,-2.715083360671997,0.025733151203525633,0.0019760025677307614,0.0
115号母线电压相角,reserve_reg_down_mw,0.01720173649978032,0.017443070657148514,0.1670490296757109,0.0028277361311453975,-0.1642212935445655,替身型,0.0,-2.8320181369781494,0.41807673664985384,0.0003070551340447869,0.05085303968590962
115号母线电压相角,area_1_generation_mw,0.016731291136263583,0.016966025114900196,-0.00374221897870175,0.0061771175777339815,0.009919336556435732,独立可加,0.0,-2.807671308517456,0.2823058133748181,0.0005712310972587398,0.0
115号母线电压相角,gen_fuel_natural_gas_mw,0.014334344742822618,0.014535450428285157,0.05282469534321799,0.0017246181472588828,-0.051100077195959104,替身型,0.0,-2.8446309566497803,0.04949967724356228,0.0005971619451377253,0.0
115号母线电压相角,area_3_fuel_natural_gas_mw,0.01314203174348618,0.013326409707708618,0.045476543274239334,0.003954074487036996,-0.04152246878720234,独立可加,0.0,-2.8642475605010986,0.2691378138849667,0.0007584612852962414,0.0
115号母线电压相角,area_2_fuel_coal_mw,0.012586568955197493,0.012763153976889813,-0.05901301704525541,0.004764099560669699,0.06377711660592511,协同型,0.006934761069715023,-2.450828790664673,0.23477184030530723,0.0003908399260843298,0.053525719293026575
115号母线电压相角,area_1_load_day_ahead_mw,0.012490621394677116,0.012665860306709516,-0.06094640833738585,0.004116704712911923,0.06506311305029777,协同型,0.0,-2.7863144874572754,0.26752740213192544,0.0007155784133693555,0.0
115号母线电压相角,is_weekend,0.010639404914344654,0.010788671927005566,0.021308220893727747,0.00040030069084817654,-0.02090792020287957,独立可加,0.0,-2.8876805305480957,0.11631865914095776,-2.7254006560450963e-07,0.0016751119757391706
115号母线电压相角,area_1_fuel_hydro_mw,0.010611080692914329,0.010759950326966862,-0.06595497770376468,0.015454012038861875,0.08140898974262656,协同型,0.019393905997276306,-2.3472046852111816,0.16481112915457413,0.045946135030776644,0.268524361045609
