方法,同预算完整保留路径数,总路径数,路径字段覆盖率
置换重要性,1,8,0.2621212121212121
Lasso系数,0,8,0.2893939393939394
分解式门控,0,8,0.1893939393939394
本方法,0,8,0.15606060606060607
两两相关性,0,8,0.15606060606060607
随机门控,0,8,0.0
