方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9654309453149578,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_gas_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_solar_mw|wind_generation_mw|gross_inadv_interchange_mw|da_as_nsr_mw_primary_reserve|gen_fuel_multiple_fuels_pct
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9621783512842353,gen_fuel_nuclear_pct|prelim_load_avg_hourly|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_pct|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|gen_fuel_gas_mw|gross_sched_interchange_mw|gen_fuel_gas_pct|system_energy_price_da|gen_fuel_coal_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8913099675964551,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_rmpcp_cr|system_energy_price_da|gen_fuel_solar_mw|marginal_loss_price_rt|prelim_load_avg_hourly|gen_fuel_nuclear_mw|gen_fuel_oil_mw|gen_fuel_wind_mw
XGBoost,树模型特征重要性（2016）,0.882880397021321,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_nuclear_mw|system_energy_price_da|marginal_loss_price_rt|total_pjm_reg_purchases|gen_fuel_coal_pct|total_pjm_assigned_reg|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_pct
Lasso,线性稀疏（1996）,0.9534289829588963,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_coal_mw|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|gen_fuel_wind_mw|total_pjm_reg_purchases|gen_fuel_solar_mw|gross_sched_interchange_mw|total_pjm_assigned_reg|gen_fuel_wind_pct
Pearson,相关系数排序（只看两两关系）,0.8492812259236657,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct
