metric,cutoff,dropped_count,retained_count
final_gate_abs,1e-08,35,20
final_effective_group_l2,1e-08,35,20
final_gate_abs,1e-06,35,20
final_effective_group_l2,1e-06,35,20
final_gate_abs,0.0001,35,20
final_effective_group_l2,0.0001,35,20
final_gate_abs,0.001,35,20
final_effective_group_l2,0.001,38,17
final_gate_abs,0.01,37,18
final_effective_group_l2,0.01,43,12
final_gate_abs,0.05,44,11
final_effective_group_l2,0.05,52,3
