epoch,active_gt_0.1,active_gt_0.01,active_gt_0.001,active_gt_0.0001
0,55,55,55,55
1,55,55,55,55
2,55,55,55,55
3,55,55,55,55
4,55,55,55,55
5,55,55,55,55
6,55,55,55,55
7,54,55,55,55
8,51,55,55,55
9,39,55,55,55
10,34,55,55,55
11,30,55,55,55
12,25,55,55,55
13,20,55,55,55
14,15,52,55,55
15,15,49,55,55
16,14,45,55,55
17,14,43,55,55
18,12,42,55,55
19,11,39,55,55
20,11,37,51,55
21,11,34,48,55
22,10,34,46,55
23,10,31,45,55
24,10,30,44,52
25,10,28,44,49
26,10,26,42,48
27,10,25,41,45
28,10,24,39,45
29,9,23,39,45
30,9,23,36,43
31,9,22,35,41
32,8,22,34,41
33,8,21,33,40
34,8,20,31,40
35,8,20,31,40
36,8,19,29,38
37,8,19,29,36
38,8,18,29,34
39,8,18,29,34
40,8,17,27,32
41,8,17,27,32
42,8,17,27,32
43,8,17,26,29
44,8,17,26,29
45,8,17,26,29
46,8,17,24,29
47,8,17,24,28
48,7,17,23,28
49,7,17,22,27
50,7,17,23,26
51,7,17,23,26
52,7,17,22,26
53,7,17,23,26
54,7,17,23,23
55,7,17,22,23
56,6,17,22,23
57,6,17,22,23
58,5,17,20,23
59,6,17,21,23
60,5,17,22,23
61,5,17,22,22
62,5,17,21,22
63,5,16,21,22
64,5,16,19,22
65,5,16,19,22
66,5,16,20,22
67,5,16,19,22
68,5,16,20,22
69,5,16,20,22
70,4,16,20,22
71,4,16,20,22
72,4,16,19,22
73,4,16,19,21
74,4,16,19,21
75,4,16,19,21
76,4,16,20,21
77,4,16,20,21
78,4,16,20,21
79,4,16,20,21
80,4,16,20,21
81,4,16,20,21
82,4,16,19,21
83,4,16,19,21
84,4,16,19,21
85,4,16,19,21
86,4,16,19,21
87,3,15,20,21
88,3,16,20,21
89,3,16,18,21
90,3,16,18,21
91,3,16,18,21
92,3,16,18,21
93,3,15,18,21
94,3,15,18,21
95,3,15,18,21
96,3,15,18,21
97,3,15,18,21
98,3,15,18,21
99,3,15,18,21
100,3,15,18,20
101,3,15,18,20
102,3,15,18,20
103,3,15,18,20
104,3,15,18,20
105,3,15,18,20
106,3,15,18,20
107,3,15,18,20
108,3,15,18,20
109,3,15,18,20
110,3,15,18,20
111,3,15,18,20
112,3,15,18,20
113,3,15,18,20
114,3,15,18,20
115,3,15,18,20
116,3,15,18,20
117,3,15,18,20
118,3,15,18,20
119,3,15,18,20
120,3,15,18,20
121,3,15,18,20
122,3,15,18,20
123,3,15,18,20
124,3,15,18,20
125,3,15,18,20
126,3,15,18,20
127,3,15,18,20
128,3,15,18,20
129,3,15,18,20
130,3,15,18,20
131,3,15,18,20
132,3,15,18,20
133,3,15,18,20
134,3,15,18,20
135,3,15,18,20
136,3,15,18,20
137,3,15,18,20
138,3,15,18,20
139,3,15,18,20
140,3,15,18,20
141,3,15,18,20
142,3,15,18,20
143,3,15,18,20
144,3,15,18,20
145,3,15,18,20
146,3,15,18,20
147,3,15,18,20
148,3,15,18,20
149,3,15,18,20
150,3,15,18,20
151,3,15,18,20
152,3,14,18,20
153,3,14,18,20
154,2,14,18,20
155,2,14,18,20
156,2,14,18,20
157,2,14,18,20
158,2,14,18,20
159,2,14,18,20
160,2,14,18,20
161,2,14,18,20
162,2,14,18,20
163,2,14,18,20
164,2,14,18,20
165,2,14,18,20
166,2,14,18,20
167,2,14,18,20
168,2,14,18,20
169,2,14,18,20
170,2,14,18,20
171,2,14,18,20
172,2,13,18,20
173,2,13,18,20
174,2,13,18,20
175,2,14,18,20
176,2,14,18,20
177,2,13,18,20
178,2,13,18,20
179,2,12,18,20
180,2,12,18,20
181,2,12,18,20
182,2,12,18,20
183,2,12,18,20
184,2,13,18,20
185,2,12,18,20
186,2,12,18,20
187,2,12,18,20
188,2,13,18,20
189,2,13,18,20
190,2,12,18,20
191,2,12,18,20
192,2,12,18,20
193,2,12,18,20
194,2,12,18,20
195,2,12,18,20
196,2,12,18,20
197,2,12,18,20
198,2,12,17,20
199,2,12,17,20
200,2,12,17,20
