方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8604978619140897,da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|total_pjm_rt_load_mwh|gen_fuel_coal_pct|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_gas_pct|gen_fuel_other_renewables_pct|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_wind_pct|total_pjm_self_sched_reg|total_pjm_reg_purchases|gen_fuel_oil_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8689840080092777,da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_mcp_primary_reserve|gen_fuel_hydro_pct|gen_fuel_multiple_fuels_pct|total_pjm_self_sched_reg|total_pjm_rt_load_mwh|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|total_pjm_rmpcp_cr|total_pjm_reg_purchases|rmpcp
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8677642497670217,da_as_as_req_mw_primary_reserve|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|total_pjm_self_sched_reg|da_as_as_mw_synchronized_reserve|da_as_as_req_mw_synchronized_reserve|prelim_load_avg_hourly|gen_fuel_hydro_mw|system_energy_price_da|da_as_mcp_primary_reserve|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_coal_mw|gen_fuel_hydro_pct|gen_fuel_coal_pct|gen_fuel_gas_mw
XGBoost,树模型特征重要性（2016）,0.8781610442716488,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_mcp_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_hydro_pct|gen_fuel_coal_pct|gen_fuel_hydro_mw|gen_fuel_multiple_fuels_pct|da_as_mcp_synchronized_reserve|gen_fuel_multiple_fuels_mw|system_energy_price_da|prelim_load_avg_hourly|forecast_load_mw_latest_available|total_pjm_rt_load_mwh
Lasso,线性稀疏（1996）,0.8742948307741435,da_as_as_req_mw_primary_reserve|prelim_load_avg_hourly|gen_fuel_coal_mw|da_as_mcp_synchronized_reserve|da_as_mcp_primary_reserve|da_as_as_mw_synchronized_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct|gen_fuel_hydro_mw|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_pct|gen_fuel_multiple_fuels_pct|total_pjm_self_sched_reg|gen_fuel_wind_pct|gen_fuel_oil_mw|gen_fuel_other_renewables_pct
Pearson,相关系数排序（只看两两关系）,0.8821646199693739,da_as_as_req_mw_primary_reserve|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|gen_fuel_gas_mw|da_as_as_mw_synchronized_reserve|prelim_load_avg_hourly|total_pjm_rt_load_mwh|forecast_load_mw_latest_available|gen_fuel_coal_mw|gen_fuel_gas_pct|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr
