area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.77611053,0.7154818,0.64468193,0.68845093,0.6885185,0.701308,0.7260332,0.625514,0.6694312,0.88648224,0.799159,0.71408015,0.7097251,0.6781424,0.6573845,0.7754555,0.680202,0.6801463,0.722007,0.6961763,0.67589843,0.6661094,0.82305026,0.78970844,0.7168639,0.7406578,0.6777518,0.7273596,1.0513064,0.82965577,0.6994464,0.70370954,0.7847066,0.7504182,0.7247743,0.68732995,0.68471074,0.70826066,0.6644037,0.7572025,0.90328306,0.66736925,0.6867957,0.6538859,0.67422277,0.6665339
0.57954276,0.47580773,0.4073681,0.47570375,0.46531606,0.481127,0.5237698,0.38583317,0.44721514,0.6950044,0.5925046,0.47109094,0.51126546,0.46172446,0.42569572,0.5654545,0.46443236,0.45169505,0.5380714,0.47145587,0.46253902,0.4240037,0.6348886,0.57711726,0.5682972,0.5605017,0.46382174,0.49026927,0.9175908,0.63728964,0.50941616,0.51941055,0.54564863,0.5334106,0.48668146,0.45341784,0.4719051,0.4822956,0.42970666,0.5509166,0.7289294,0.43090627,0.4435822,0.42278278,0.42758238,0.44414937
0.4349118,0.30389714,0.25189608,0.31773207,0.30967405,0.32304096,0.37479824,0.2302607,0.2850541,0.5499073,0.4333622,0.30582988,0.37409955,0.31099185,0.27147484,0.41093943,0.30301705,0.293336,0.39942932,0.3121869,0.31090027,0.26390553,0.48939312,0.42391667,0.4515165,0.43786666,0.3134731,0.3312616,0.7761989,0.49573636,0.37553453,0.37218657,0.3657536,0.3851371,0.31673282,0.28938833,0.3265231,0.3171787,0.27055565,0.40570605,0.5841661,0.26487517,0.27784526,0.26520663,0.26412275,0.28756616
0.3412512,0.18936424,0.1508215,0.20657778,0.21524605,0.21204887,0.26541746,0.1324373,0.17362742,0.43394315,0.30828765,0.19033706,0.27535218,0.2038573,0.16649127,0.3108826,0.19065812,0.18512973,0.30169576,0.20306961,0.20908685,0.16179101,0.3692284,0.31099036,0.37169763,0.36193004,0.21217169,0.22812718,0.64772654,0.3886197,0.2905915,0.26760104,0.23873302,0.29178855,0.19960487,0.17886832,0.23427664,0.20609862,0.16741957,0.29470575,0.4658341,0.15556756,0.16833453,0.16085473,0.1574528,0.1794048
0.27194968,0.115630075,0.08718892,0.13050956,0.14742579,0.13462429,0.1866467,0.07263481,0.10118413,0.340864,0.21649349,0.117011085,0.21086015,0.13082261,0.100396425,0.23815331,0.115863524,0.113998875,0.23784052,0.1306718,0.1426063,0.09487825,0.28315222,0.22688389,0.3164279,0.30174682,0.1467379,0.15355718,0.5410757,0.3086141,0.22642583,0.19418608,0.15636384,0.2160467,0.12156638,0.10770498,0.17290367,0.13363075,0.10018174,0.21939333,0.37454775,0.08790591,0.09746081,0.09369517,0.090471186,0.107282676
0.22119619,0.06830091,0.048342444,0.07951694,0.09949895,0.083422005,0.13350357,0.037771672,0.05655741,0.27088106,0.14852975,0.0721336,0.16903865,0.0822128,0.058602415,0.18621558,0.06874487,0.068642356,0.19218406,0.082719564,0.10134428,0.055030067,0.21859214,0.16654345,0.27877802,0.25937897,0.10657264,0.11268064,0.4497877,0.24865606,0.17980336,0.14450926,0.10315674,0.16648652,0.07165266,0.0618833,0.13069546,0.0868506,0.06183901,0.1656252,0.30353203,0.04781819,0.054033365,0.05210013,0.04999571,0.06158819
0.1820298,0.038645685,0.025445582,0.046695564,0.06593262,0.049955744,0.094698735,0.018396715,0.030055856,0.21742024,0.09954722,0.044874206,0.13610026,0.049885314,0.03334243,0.14851637,0.039065365,0.039582808,0.15807869,0.05107011,0.072829686,0.030806016,0.1722973,0.12255488,0.25423977,0.223615,0.07858494,0.08356296,0.37956965,0.20458867,0.14387949,0.11292815,0.07016402,0.12923586,0.040533666,0.03403131,0.10204139,0.056549035,0.03992468,0.12668625,0.24844287,0.024711203,0.028151976,0.027802452,0.026414493,0.034051344
0.15389918,0.02107702,0.0126220435,0.026201855,0.04264614,0.029026646,0.069117785,0.008343488,0.015075965,0.17598277,0.06577093,0.027579434,0.11804032,0.029590622,0.018285636,0.11948854,0.021483688,0.022022648,0.13298558,0.031035319,0.05488322,0.016362933,0.14000633,0.08970375,0.23531373,0.20298387,0.06133045,0.06565534,0.3229512,0.17321631,0.11703964,0.08809947,0.050700765,0.104289204,0.021889955,0.017595636,0.08486581,0.036585398,0.026173288,0.102840796,0.20734356,0.0120074935,0.013910011,0.013972352,0.013158869,0.01795094
0.13177788,0.010858268,0.005785041,0.013891417,0.026721964,0.016231129,0.050601523,0.0035063014,0.0070952587,0.14716376,0.042872064,0.01785688,0.10254411,0.016697673,0.009352305,0.097594075,0.01121296,0.0115900505,0.110752165,0.017709153,0.04217601,0.008167205,0.11447253,0.06593498,0.21984574,0.18098755,0.049144175,0.049780104,0.2747356,0.14911444,0.095133446,0.06821724,0.03924256,0.08536261,0.011177816,0.008589848,0.073370956,0.023058742,0.019456392,0.08387819,0.17596695,0.005402136,0.0063731964,0.0065963655,0.0061487914,0.008973141
