area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4981706,0.50152653,0.4958572,0.53199756,0.44852734,0.4496026,0.4863081,0.4543471,0.51426935,0.6013031,0.55960953,0.5781895,0.5506561,0.545404,0.5044905,0.49509132,0.52205807,0.44944277,0.5523094,0.49834448,0.4937792,0.52242005,0.58174205,0.5638417
0.49880692,0.4627466,0.48719114,0.5318169,0.43964854,0.4530115,0.46455595,0.42523158,0.50683236,0.67605186,0.5937549,0.59810007,0.59405047,0.53790355,0.51029366,0.48682392,0.501909,0.40790546,0.61301905,0.50667787,0.566916,0.5207197,0.64372075,0.5957763
0.52066207,0.44934323,0.4714494,0.54016453,0.43198258,0.4375222,0.44932935,0.40511948,0.5063016,0.7532591,0.62287164,0.60375965,0.6241941,0.53932285,0.5105713,0.49189633,0.4973242,0.36516643,0.6846015,0.5333685,0.6371425,0.5484344,0.6865967,0.63863313
0.5304568,0.42930374,0.44031954,0.5360685,0.42821628,0.41889116,0.43112183,0.3816274,0.49154112,0.8180935,0.65511173,0.6014123,0.6646407,0.5340582,0.5068897,0.50252235,0.49905002,0.30897298,0.74138945,0.55852735,0.7015261,0.5440048,0.7149161,0.6747748
0.53105086,0.41181663,0.4063882,0.53797036,0.43446487,0.40186077,0.40852374,0.33659104,0.4851967,0.8811132,0.688501,0.5951019,0.69945395,0.532297,0.51813745,0.5074334,0.48133636,0.26303858,0.8118971,0.58332175,0.74772877,0.5703877,0.73367125,0.7077114
0.5526662,0.38377693,0.3603356,0.5289263,0.42531002,0.37507123,0.3756454,0.3051543,0.47509584,0.94521123,0.71520394,0.58707863,0.7524779,0.51995593,0.5216005,0.5263171,0.46354243,0.22445048,0.87317663,0.6097463,0.79588646,0.5974046,0.76820076,0.73722774
0.57786554,0.35920438,0.32728598,0.5141062,0.43416175,0.33604404,0.34400162,0.266538,0.46544507,1.0059443,0.73227364,0.58525836,0.77861077,0.51390344,0.5160835,0.54019654,0.4389565,0.17979118,0.9315424,0.63851535,0.8478546,0.6065374,0.7934654,0.77529854
0.58804166,0.3304432,0.28929678,0.5007509,0.4334732,0.29418156,0.31388867,0.23263407,0.45331612,1.0679934,0.74735045,0.5824219,0.8120943,0.5103543,0.5317789,0.55043936,0.4183314,0.15380901,0.9812627,0.6623048,0.8807605,0.6283505,0.82888293,0.8017326
0.596771,0.284426,0.25232542,0.47924975,0.4360065,0.2400351,0.2775384,0.19050421,0.42013046,1.1089575,0.75958365,0.5870588,0.8544857,0.5029947,0.538697,0.5671773,0.39906082,0.116727784,1.0287004,0.67725056,0.9197384,0.63560754,0.85624737,0.83026445
0.6169534,0.25104547,0.22432682,0.46421388,0.4271199,0.19927701,0.23846199,0.1488216,0.39546254,1.1590031,0.7760777,0.5784943,0.8792174,0.4896306,0.53413457,0.5837737,0.37235346,0.0650617,1.0726625,0.71647525,0.9629681,0.64101076,0.8822563,0.8521578
0.63587356,0.1897071,0.17972027,0.4522876,0.42682463,0.13626716,0.20318063,0.09374179,0.37106583,1.205447,0.7947965,0.5807182,0.9338747,0.4806112,0.547859,0.6014854,0.34651527,0.011978699,1.1239535,0.74903053,1.0096707,0.6435082,0.8981615,0.884172
0.64647347,0.12798083,0.11926814,0.41862038,0.41846877,0.08161383,0.1511147,0.044655558,0.33992764,1.2416761,0.8002763,0.5913209,0.963565,0.46415654,0.5523253,0.6174813,0.32026166,-0.028034212,1.168347,0.75258213,1.0613312,0.65097064,0.90892965,0.9079134
0.66607875,0.0712251,0.06573931,0.40106362,0.42074335,0.019009463,0.11561153,0.0018120026,0.30650267,1.2879338,0.7989661,0.59187096,0.9963709,0.44332182,0.5614347,0.63600713,0.28973293,-0.062489826,1.212704,0.75666434,1.1014082,0.6603453,0.9333925,0.9316075
0.68049467,0.014763147,0.0299894,0.38355488,0.41776755,-0.04574538,0.076155365,-0.050872676,0.275918,1.3326745,0.8085402,0.5979093,1.0356338,0.41490027,0.5568467,0.662302,0.24575563,-0.109094374,1.2488613,0.78116375,1.1391348,0.65215707,0.9464332,0.9551634
0.6960794,-0.05274793,-0.024066363,0.35297334,0.41308954,-0.10533723,0.034498364,-0.10588826,0.23342697,1.3726176,0.81696546,0.59748054,1.0666871,0.38845325,0.564724,0.68168676,0.21070841,-0.1553399,1.2842085,0.793985,1.1807542,0.648428,0.95887333,0.97987264
0.7163721,-0.111146554,-0.07280631,0.32021445,0.40785566,-0.1738826,-0.005049072,-0.1710369,0.18317106,1.3916056,0.8214374,0.61794543,1.1126325,0.35685268,0.5595298,0.7012789,0.16326375,-0.1973272,1.3325623,0.79350394,1.215082,0.65103006,0.9659154,0.995696
0.72856903,-0.16606095,-0.10879581,0.28761676,0.39702618,-0.23015878,-0.043728665,-0.23059571,0.14009441,1.4429969,0.82,0.6169612,1.1555716,0.32930928,0.5675716,0.71037424,0.12546007,-0.24201581,1.3796613,0.8048736,1.2516029,0.6621826,0.9805987,1.0214629
0.75351095,-0.2228055,-0.15784654,0.24666657,0.3966508,-0.28954828,-0.09566217,-0.2856285,0.087655045,1.4847097,0.81894296,0.61968535,1.2008039,0.29837325,0.57358915,0.7381342,0.07286729,-0.29302493,1.426879,0.8231948,1.2963239,0.6768325,0.9899313,1.0614424
0.7779857,-0.28588748,-0.20180951,0.20390572,0.3845672,-0.35185075,-0.12908499,-0.35262883,0.023132559,1.5113509,0.81578195,0.63471514,1.2519155,0.26055118,0.5644292,0.7618046,0.013404537,-0.3406991,1.4564154,0.82902616,1.3299199,0.6850003,1.0044098,1.0758641
0.79410225,-0.34879524,-0.24109055,0.1624666,0.3692477,-0.4044198,-0.15849556,-0.41090932,-0.042322416,1.5381029,0.8092234,0.6354805,1.2751037,0.20975047,0.55730975,0.7909516,-0.049177635,-0.38294426,1.4879736,0.8305144,1.3633682,0.6930076,1.0151385,1.1022972
0.82644606,-0.4057464,-0.28146055,0.12123177,0.34899443,-0.46796003,-0.20177978,-0.46030128,-0.10769802,1.5610203,0.8020369,0.6414719,1.3186893,0.15400776,0.54454803,0.82241666,-0.11480274,-0.43299836,1.533161,0.8357719,1.3886968,0.70786196,1.0229281,1.1261066
