target,target_cn,n_start_effective,n_layer1_removed,layer1_removed,n_layer2_removed,layer2_removed,n_final,final_pool
bus_115_va_deg,母线 115 电压相角,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_215_va_deg,母线 215 电压相角,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
bus_315_va_deg,母线 315 电压相角,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
branch_ab1_loading_pct,跨区支路 AB1 负载率,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
branch_ab2_loading_pct,跨区支路 AB2 负载率,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
branch_ab3_loading_pct,跨区支路 AB3 负载率,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
branch_ca_1_loading_pct,跨区支路 CA-1 负载率,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
branch_cb_1_loading_pct,跨区支路 CB-1 负载率,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
gen_121_nuclear_1_pg_mw,121_NUCLEAR_1 有功出力,24,3,gen_fuel_nuclear_mw|system_generation_mw|system_losses_mw,0,,21,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
gen_218_cc_1_pg_mw,218_CC_1 有功出力,24,0,,0,,24,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|system_generation_mw|system_losses_mw|area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|reserve_reg_up_mw|reserve_reg_down_mw|reserve_spin_r1_mw|reserve_spin_r2_mw|reserve_spin_r3_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
