partition,seed,target,sensitivity_tier,target_kind,r2,rmse,mae,test_std,nrmse_by_test_std,pearson_r,test_r2_evaluable,accuracy,balanced_accuracy,roc_auc,description,n_input_declared,n_input_variable
04_public_plus_tier1_tier2_bus_operational,44,branch_cb_1_p_from_mw,T3_high,continuous,0.9990309476852417,1.2025151252746582,0.9127578735351562,38.629539489746094,0.031129419803619385,0.9995419383049011,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_cb_1_q_from_mvar,T3_high,continuous,0.9961448311805725,0.17567358911037445,0.13108164072036743,2.829318046569824,0.0620904341340065,0.9981403350830078,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_cb_1_p_to_mw,T3_high,continuous,0.9988958239555359,1.2663217782974243,0.9810476303100586,38.10887908935547,0.033229049295186996,0.9994869828224182,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_cb_1_q_to_mvar,T3_high,continuous,0.9987106323242188,0.2486717402935028,0.19523310661315918,6.925295352935791,0.035907745361328125,0.9993833303451538,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_cb_1_loading_pct,T3_high,continuous,0.9949391484260559,0.4607154130935669,0.311481773853302,6.476198673248291,0.07113979011774063,0.9976679086685181,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c6_p_from_mw,T3_high,continuous,0.9907353520393372,9.11187744140625,6.861239433288574,94.66587829589844,0.09625303000211716,0.9959897994995117,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c6_q_from_mvar,T3_high,continuous,0.9684111475944519,0.7792508006095886,0.5508688688278198,4.384401321411133,0.17773254215717316,0.9843589067459106,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c6_p_to_mw,T3_high,continuous,0.9903654456138611,8.669388771057129,6.534597873687744,88.32279968261719,0.09815572947263718,0.9957349896430969,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c6_q_to_mvar,T3_high,continuous,0.9935937523841858,2.1394550800323486,1.4690989255905151,26.730154037475586,0.08003900945186615,0.996826708316803,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c6_loading_pct,T3_high,continuous,0.9876028299331665,5.242220401763916,3.9124293327331543,47.08195495605469,0.11134245246648788,0.9943009614944458,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c10_p_from_mw,T3_high,continuous,0.9953860640525818,1.5136380195617676,1.0789415836334229,22.283584594726562,0.06792614609003067,0.9979311227798462,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c10_q_from_mvar,T3_high,continuous,0.9883580207824707,0.5600621700286865,0.4247751533985138,5.190655708312988,0.10789815336465836,0.9957973957061768,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c10_p_to_mw,T3_high,continuous,0.9954246282577515,1.5337518453598022,1.109934687614441,22.67481231689453,0.06764121353626251,0.9980621337890625,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c10_q_to_mvar,T3_high,continuous,0.990876317024231,0.2976759374141693,0.21322080492973328,3.116441011428833,0.09551791101694107,0.9954991340637207,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c10_loading_pct,T3_high,continuous,0.9945089221000671,0.4479757845401764,0.3400940001010895,6.045389652252197,0.07410205155611038,0.9972730278968811,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
04_public_plus_tier1_tier2_bus_operational,44,branch_c2_p_from_mw,T3_high,continuous,0.9947062134742737,3.236198902130127,2.4507997035980225,44.47859191894531,0.07275857031345367,0.9977079629898071,1,,,,再加入节点 P/Q 与平衡注入，预测 T3 高敏感目标,52,49
