目标,种子,字段,贡献值
215号母线电压相角,42,area_1_load_actual_mw,0.024192253217638147
215号母线电压相角,42,area_2_load_actual_mw,0.017133967248620503
215号母线电压相角,42,area_3_load_actual_mw,0.012750134743801336
215号母线电压相角,42,system_load_actual_mw,0.014721811255417864
215号母线电压相角,42,area_1_load_day_ahead_mw,0.012896841869861958
215号母线电压相角,42,area_2_load_day_ahead_mw,0.005535375412118975
215号母线电压相角,42,area_3_load_day_ahead_mw,-0.0035740397001205178
215号母线电压相角,42,system_load_day_ahead_mw,0.020140007042057262
215号母线电压相角,42,system_generation_mw,0.01022533343222275
215号母线电压相角,42,system_losses_mw,0.08906131652521285
215号母线电压相角,42,area_1_net_export_mw,0.056067238945517205
215号母线电压相角,42,area_2_net_export_mw,0.05745962803262122
215号母线电压相角,42,area_3_net_export_mw,0.019873996756512028
215号母线电压相角,42,reserve_reg_up_mw,0.016803748826192035
215号母线电压相角,42,reserve_reg_down_mw,0.009042764662929827
215号母线电压相角,42,reserve_spin_r1_mw,0.006852391093958772
215号母线电压相角,42,reserve_spin_r2_mw,0.005130397746899008
215号母线电压相角,42,reserve_spin_r3_mw,-0.011723011532486678
215号母线电压相角,42,gen_fuel_coal_mw,0.02625182312977225
215号母线电压相角,42,gen_fuel_natural_gas_mw,0.005511057252640078
215号母线电压相角,42,gen_fuel_nuclear_mw,0.027814749189970907
215号母线电压相角,42,gen_fuel_hydro_mw,0.02182889107756199
215号母线电压相角,42,gen_fuel_wind_mw,0.06658858068791605
215号母线电压相角,42,gen_fuel_solar_mw,0.05002834604009434
215号母线电压相角,42,area_1_fuel_coal_mw,0.052018899856602754
215号母线电压相角,42,area_1_fuel_natural_gas_mw,-0.006026706656493675
215号母线电压相角,42,area_1_fuel_nuclear_mw,0.0192059837262053
215号母线电压相角,42,area_1_fuel_hydro_mw,0.01676577803974417
215号母线电压相角,42,area_1_fuel_wind_mw,0.06995510088516924
215号母线电压相角,42,area_1_fuel_solar_mw,0.06010078449767389
215号母线电压相角,42,area_1_generation_mw,0.019541365142288568
215号母线电压相角,42,area_2_fuel_coal_mw,0.00532142151777466
215号母线电压相角,42,area_2_fuel_natural_gas_mw,0.02518724402148757
215号母线电压相角,42,area_2_fuel_hydro_mw,0.004115950195248888
215号母线电压相角,42,area_2_fuel_solar_mw,0.027730525680777014
215号母线电压相角,42,area_2_generation_mw,0.019912543302923937
215号母线电压相角,42,area_3_fuel_coal_mw,-0.0037575495795667095
215号母线电压相角,42,area_3_fuel_natural_gas_mw,0.02172760130229696
215号母线电压相角,42,area_3_fuel_hydro_mw,0.0024541445037625396
215号母线电压相角,42,area_3_fuel_wind_mw,0.07400291261627154
215号母线电压相角,42,area_3_fuel_solar_mw,0.0471203935807427
215号母线电压相角,42,area_3_generation_mw,-0.0026795518238732063
215号母线电压相角,42,hour_of_day,0.03308066802473966
215号母线电压相角,42,day_of_week,0.0017799852385072907
215号母线电压相角,42,month_of_year,-0.06578178192119781
215号母线电压相角,42,is_weekend,0.007849781908006712
215号母线电压相角,43,area_1_load_actual_mw,0.0007550293020364756
215号母线电压相角,43,area_2_load_actual_mw,0.011388428309746602
215号母线电压相角,43,area_3_load_actual_mw,0.0038912740900661517
215号母线电压相角,43,system_load_actual_mw,0.0010572371983392339
215号母线电压相角,43,area_1_load_day_ahead_mw,0.013683384769906527
215号母线电压相角,43,area_2_load_day_ahead_mw,0.010341506922035401
215号母线电压相角,43,area_3_load_day_ahead_mw,0.00893415852473079
215号母线电压相角,43,system_load_day_ahead_mw,-0.004076467285440887
215号母线电压相角,43,system_generation_mw,0.0011304745681888677
215号母线电压相角,43,system_losses_mw,0.12408796763598713
215号母线电压相角,43,area_1_net_export_mw,0.0425045314472103
215号母线电压相角,43,area_2_net_export_mw,0.0655187436744572
215号母线电压相角,43,area_3_net_export_mw,0.016034371399429884
215号母线电压相角,43,reserve_reg_up_mw,0.007643712334605121
215号母线电压相角,43,reserve_reg_down_mw,0.014889793824204908
215号母线电压相角,43,reserve_spin_r1_mw,0.013486611241774981
215号母线电压相角,43,reserve_spin_r2_mw,0.0038756737824708915
215号母线电压相角,43,reserve_spin_r3_mw,-0.001316622460072533
215号母线电压相角,43,gen_fuel_coal_mw,0.022706868701489143
215号母线电压相角,43,gen_fuel_natural_gas_mw,-0.0017241117986838703
215号母线电压相角,43,gen_fuel_nuclear_mw,0.027944316032315647
215号母线电压相角,43,gen_fuel_hydro_mw,0.01770814991834951
215号母线电压相角,43,gen_fuel_wind_mw,0.07899698305991491
215号母线电压相角,43,gen_fuel_solar_mw,0.05125190089177708
215号母线电压相角,43,area_1_fuel_coal_mw,0.05838904347541263
215号母线电压相角,43,area_1_fuel_natural_gas_mw,0.009809119417960392
215号母线电压相角,43,area_1_fuel_nuclear_mw,0.041754283257111224
215号母线电压相角,43,area_1_fuel_hydro_mw,0.006723875831895903
215号母线电压相角,43,area_1_fuel_wind_mw,0.08923493080381371
215号母线电压相角,43,area_1_fuel_solar_mw,0.051614095886435375
215号母线电压相角,43,area_1_generation_mw,0.011835075427425068
215号母线电压相角,43,area_2_fuel_coal_mw,0.0061838180494298775
215号母线电压相角,43,area_2_fuel_natural_gas_mw,0.015111835435211107
215号母线电压相角,43,area_2_fuel_hydro_mw,0.01013089769312948
215号母线电压相角,43,area_2_fuel_solar_mw,0.03896236491673404
215号母线电压相角,43,area_2_generation_mw,0.011073209488241283
215号母线电压相角,43,area_3_fuel_coal_mw,0.005597452079901306
215号母线电压相角,43,area_3_fuel_natural_gas_mw,0.00575803626642131
215号母线电压相角,43,area_3_fuel_hydro_mw,-0.0076886413276977235
215号母线电压相角,43,area_3_fuel_wind_mw,0.0532980500284324
215号母线电压相角,43,area_3_fuel_solar_mw,0.0682913484788239
215号母线电压相角,43,area_3_generation_mw,-0.0033752796586672645
215号母线电压相角,43,hour_of_day,0.02098842665382153
215号母线电压相角,43,day_of_week,-0.00470424951130246
215号母线电压相角,43,month_of_year,-0.051343077502622944
215号母线电压相角,43,is_weekend,0.002811821636623864
215号母线电压相角,44,area_1_load_actual_mw,0.015350109061309384
215号母线电压相角,44,area_2_load_actual_mw,0.007739167831883911
215号母线电压相角,44,area_3_load_actual_mw,0.004961373903022189
215号母线电压相角,44,system_load_actual_mw,-0.0027982420751259144
215号母线电压相角,44,area_1_load_day_ahead_mw,0.005508978190992919
215号母线电压相角,44,area_2_load_day_ahead_mw,0.017720303780859602
215号母线电压相角,44,area_3_load_day_ahead_mw,-0.00691307526573158
215号母线电压相角,44,system_load_day_ahead_mw,0.008901765975352773
215号母线电压相角,44,system_generation_mw,0.006295473609210506
215号母线电压相角,44,system_losses_mw,0.099927810035476
215号母线电压相角,44,area_1_net_export_mw,0.055080834603548234
215号母线电压相角,44,area_2_net_export_mw,0.05053976059493995
215号母线电压相角,44,area_3_net_export_mw,0.04087369802012965
215号母线电压相角,44,reserve_reg_up_mw,0.020275978277363414
215号母线电压相角,44,reserve_reg_down_mw,0.01811580061033331
215号母线电压相角,44,reserve_spin_r1_mw,0.01769044316752124
