epoch,train_residual_mse_mean,val_residual_mse_mean,val_y_r2_mean,median_effective_norm,max_effective_norm
1,0.99032522873445,1.0030851364135742,0.7563668489456177,0.23372215032577515,0.38595402240753174
2,0.9437416633873275,0.9474433660507202,0.7698813676834106,0.2197074294090271,0.516638994216919
3,0.8669977115862297,0.8853460550308228,0.784963846206665,0.20760491490364075,0.6088424921035767
4,0.8104036671645714,0.8572399020195007,0.7917903661727905,0.20074209570884705,0.6598195433616638
5,0.7751484418457205,0.8240463137626648,0.7998524904251099,0.19405609369277954,0.669940710067749
6,0.7532352981242266,0.8212882280349731,0.8005224466323853,0.18585804104804993,0.7077657580375671
7,0.7234871179768534,0.8013254404067993,0.805371105670929,0.17986200749874115,0.7748451232910156
8,0.6802184775923238,0.7812290191650391,0.8102521896362305,0.17647302150726318,0.8600985407829285
9,0.6524091335860166,0.7374449968338013,0.8208866119384766,0.17349578440189362,0.9249647259712219
10,0.6250465033632336,0.729769229888916,0.8227509260177612,0.1700097620487213,0.9987518787384033
11,0.5872900765953641,0.7200619578361511,0.825108528137207,0.16353976726531982,1.0506975650787354
12,0.5640484722274722,0.6650130748748779,0.8384791612625122,0.15981543064117432,1.1051057577133179
13,0.5296453169801019,0.688624382019043,0.832744300365448,0.157082200050354,1.1333366632461548
14,0.5229063666228092,0.6980652809143066,0.8304513096809387,0.15322044491767883,1.1686283349990845
15,0.4918672383734674,0.6361210346221924,0.8454965353012085,0.15031027793884277,1.2062077522277832
16,0.47712086908745044,0.7033775448799133,0.8291609883308411,0.14636467397212982,1.2223336696624756
17,0.4634653959761966,0.6673506498336792,0.8379114270210266,0.1456744223833084,1.2404228448867798
18,0.4568916748870503,0.6024546027183533,0.8536735773086548,0.14194901287555695,1.2555110454559326
19,0.43468131531368603,0.6143220663070679,0.8507910966873169,0.13926254212856293,1.2538551092147827
20,0.43619419995582465,0.5982714891433716,0.8546895980834961,0.13618089258670807,1.2637821435928345
21,0.4152275707685586,0.5982030630111694,0.8547061681747437,0.1349809765815735,1.2682759761810303
22,0.4011555325352784,0.5847135782241821,0.8579825162887573,0.1328791230916977,1.271672248840332
23,0.3899441794915633,0.5852857828140259,0.8578436970710754,0.13180923461914062,1.2736495733261108
24,0.39893502696897043,0.5736287236213684,0.8606748580932617,0.12879040837287903,1.2718263864517212
25,0.3721244122945901,0.5911048650741577,0.8564302325248718,0.12553802132606506,1.2717628479003906
26,0.3829678897604798,0.5750482678413391,0.8603301048278809,0.12419037520885468,1.266614556312561
27,0.37542117116126145,0.5748330354690552,0.8603823781013489,0.12332525104284286,1.2689367532730103
28,0.3583887172016231,0.5570815205574036,0.8646939396858215,0.12167006731033325,1.2637267112731934
29,0.35210283529577835,0.5714877843856812,0.861194908618927,0.11960810422897339,1.2610864639282227
30,0.3435905266440276,0.5664329528808594,0.8624226450920105,0.1178748831152916,1.2596032619476318
31,0.33686454571557767,0.5688510537147522,0.8618353605270386,0.11743064969778061,1.2547461986541748
32,0.3392261576020356,0.5469192266464233,0.8671623468399048,0.11592674255371094,1.2499791383743286
33,0.32914255740064563,0.5669549107551575,0.862295925617218,0.11516927182674408,1.2443578243255615
34,0.3374517582582705,0.5627333521842957,0.8633211851119995,0.11573292315006256,1.245924949645996
35,0.32901722170186765,0.5442211031913757,0.8678176999092102,0.11408943682909012,1.2448134422302246
36,0.3179154244787765,0.5506833791732788,0.8662479519844055,0.11364714801311493,1.2390661239624023
37,0.3157370905532981,0.5560301542282104,0.8649493455886841,0.11247789859771729,1.2357890605926514
38,0.30661783344817883,0.541425883769989,0.8684965372085571,0.11288495361804962,1.2327219247817993
