center,ElasticNet,L1GateDNN,Lasso,NMI,Pearson,RandomForest,Spearman,XGBoost
congestion_price_da,0.9999180436134338,0.9999180436134338,0.9999180436134338,0.17705178260803223,0.34244775772094727,0.9999180436134338,0.342846155166626,0.27236926555633545
congestion_price_rt,0.6703474521636963,0.6890160441398621,0.6791133880615234,0.714081883430481,0.6558409333229065,0.6998041272163391,0.695356547832489,0.7382176518440247
da_as_total_mw_primary_reserve,0.9999991655349731,0.9999982118606567,0.9999971985816956,0.9999990463256836,0.9999983906745911,0.9999991655349731,0.9999990463256836,0.9999969005584717
da_as_total_mw_thirty_minutes_reserve,0.9999980926513672,0.9999976754188538,0.9999979138374329,0.9999945759773254,0.999995768070221,0.9999958276748657,0.9999982118606567,0.9999954700469971
gross_actual_interchange_mw,0.8706979751586914,0.8766779899597168,0.8690083622932434,0.8301102519035339,0.842228353023529,0.8846615552902222,0.8318355083465576,0.8799181580543518
marginal_loss_price_da,0.9009119272232056,0.8939101696014404,0.8837763071060181,0.8635074496269226,0.8681949973106384,0.8909575939178467,0.8736984133720398,0.8917781710624695
metered_load_mw,0.999910831451416,0.9999383687973022,0.9999355673789978,0.9999103546142578,0.9999096393585205,0.9999093413352966,0.9999096393585205,0.9999096393585205
net_actual_interchange_mw,0.9991073608398438,0.9999969601631165,0.9991536736488342,0.9987329244613647,0.9988201260566711,0.9999980330467224,0.9987079501152039,0.9987534284591675
net_sched_interchange_mw,0.9987447261810303,0.999997079372406,0.9987657070159912,0.9987593293190002,0.998848021030426,0.999998152256012,0.9987579584121704,0.9987434148788452
total_gen,0.9813670516014099,0.9999411106109619,0.9999634623527527,0.9842101335525513,0.981312096118927,0.9813432693481445,0.981312096118927,0.9813432693481445
total_lmp_da,0.9999889731407166,0.9999889731407166,0.9999195337295532,0.9873883724212646,0.9877246022224426,0.9999169111251831,0.9874314069747925,0.9887772798538208
total_losses,0.9018310904502869,0.9501453638076782,0.9189963340759277,0.9202766418457031,0.9163496494293213,0.9435119032859802,0.915630042552948,0.9359040856361389
