wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw
0.0031960674,0.13682267,0.19572642,8.732758e-05,0.04242308,0.0021623122,0.2987258,0.20225407,0.1234178,0.08354168,0.011424473,0.15735981,0.15082227,0.21445383,0.2192583,0.22702906,0.03254511,0.0009543261,7.229729e-05,0.0031421594,1.4258151e-06,0.13152786,3.8367194e-08,2.0039836e-07,3.4389947e-07,0.00016860482,0.06473946,0.13914889,0.027911281,0.041925095,5.5696137e-08,0.10735442,0.08333961,0.01117938,0.11875774,9.9716955e-05,9.274707e-07,0.0069348207,1.5899428e-07,0.07479506,0.108725324,1.683834e-05,0.22546202,3.9666426e-07,0.00018130458,1.5873237e-06,0.014555132
0.0019534596,0.13548368,0.19023609,3.6965837e-05,0.037326537,0.0013144895,0.29064485,0.20657326,0.12440516,0.080069765,0.009733959,0.15787609,0.14601792,0.21039703,0.21692948,0.22209656,0.029202644,0.00045893097,2.8382103e-05,0.001920859,3.6338952e-07,0.13019548,6.673629e-09,3.972579e-08,6.8444194e-08,7.988912e-05,0.065241925,0.14236966,0.028724,0.0386947,1.0286281e-08,0.100545615,0.081794955,0.008860632,0.11461485,3.523569e-05,2.1082032e-07,0.0052160136,2.8023091e-08,0.07052886,0.100822814,4.1620488e-06,0.22259732,9.110646e-08,8.04353e-05,3.9752697e-07,0.013848999
0.001140959,0.13298498,0.18881062,1.4632941e-05,0.03306549,0.0007694963,0.2868383,0.20068923,0.12491095,0.07675559,0.008442324,0.15623796,0.1459959,0.2084553,0.21418467,0.21561408,0.02635953,0.00020643817,1.0335e-05,0.0011189351,8.3113726e-08,0.13197584,1.0089569e-09,6.9183073e-09,1.1972927e-08,3.564353e-05,0.06322141,0.13380773,0.031181138,0.03558007,1.6595324e-09,0.10086245,0.07773961,0.006738516,0.11555998,1.1415449e-05,4.259715e-08,0.00391309,4.2970103e-09,0.07352906,0.097899415,9.124504e-07,0.21948953,1.8617444e-08,3.3413664e-05,8.924193e-08,0.012895244
0.000622935,0.12907417,0.18747814,5.3887943e-06,0.028409395,0.00043123786,0.28091937,0.19737831,0.12298934,0.071689084,0.0075373314,0.15013972,0.14237337,0.19961911,0.21557325,0.20968617,0.023311155,8.658124e-05,3.4769364e-06,0.00061337906,1.6916363e-08,0.12876755,1.3115076e-10,1.0480604e-09,1.8228536e-09,1.4904351e-05,0.06051623,0.13202266,0.033230945,0.031961218,2.3144206e-10,0.096825026,0.07501051,0.005126932,0.109763384,3.3723736e-06,7.579888e-09,0.0024046001,5.6714944e-10,0.0698917,0.10097744,1.7619233e-07,0.21389817,3.3522922e-09,1.2730337e-05,1.7782119e-08,0.012829145
0.0003301519,0.124401376,0.18709259,1.8366106e-06,0.024063906,0.00023194631,0.2754683,0.18994837,0.123372465,0.068107024,0.0063820966,0.14708975,0.14223345,0.19794945,0.20839608,0.21078819,0.020570312,3.3827233e-05,1.0741364e-06,0.0003248012,3.0366754e-09,0.12870528,1.448461e-11,1.366481e-10,2.3895066e-10,5.826213e-06,0.058788717,0.12632686,0.037623316,0.02961748,2.7587382e-11,0.09754069,0.07451388,0.0037325714,0.1139682,9.059925e-07,1.1764707e-09,0.0014623908,6.368295e-11,0.06892446,0.0983366,2.9831618e-08,0.20721458,5.270897e-10,4.5145407e-06,3.1195002e-09,0.0124864755
0.00016523339,0.12226959,0.18094127,5.755707e-07,0.020286698,0.0001181528,0.27300334,0.19343296,0.12301287,0.06421628,0.005614899,0.14800411,0.13854341,0.19726714,0.20839106,0.20891064,0.017871242,1.2214643e-05,3.0284733e-07,0.00016058488,4.761321e-10,0.12570572,1.341674e-12,1.5152948e-11,2.6653192e-11,2.1157073e-06,0.055405967,0.12630302,0.038643528,0.025924906,2.7757944e-12,0.09283133,0.073771864,0.0027161052,0.11206816,2.1945176e-07,1.575838e-10,0.000787846,6.00565e-12,0.0677074,0.09648645,4.3868575e-09,0.20652813,7.1601274e-11,1.4737398e-06,4.771254e-10,0.01170114
7.7500095e-05,0.11960473,0.17694926,1.6495557e-07,0.01675806,5.7234065e-05,0.26932374,0.18469045,0.121107504,0.061570965,0.0044153645,0.13926631,0.13297701,0.19753085,0.20284057,0.20806834,0.015376056,4.0869495e-06,7.7397e-08,7.516874e-05,6.452126e-11,0.12650369,1.0275883e-13,1.4107759e-12,2.4973144e-12,7.108442e-07,0.05718397,0.12346885,0.04343764,0.023406863,2.3257224e-13,0.09189027,0.07323561,0.001900835,0.11023869,4.7584656e-08,1.8005118e-11,0.00038125832,4.6902277e-13,0.0677272,0.09289903,5.543681e-10,0.2069395,8.306568e-12,4.4082745e-07,6.29383e-11,0.01107846
3.452535e-05,0.12186205,0.17424063,4.2924846e-08,0.014116586,2.6193997e-05,0.26382378,0.18469438,0.12263234,0.061227623,0.003560289,0.14265405,0.13246681,0.19695349,0.20205009,0.20276341,0.013213645,1.255357e-06,1.779747e-08,3.3134304e-05,7.469695e-12,0.12646513,6.4069987e-15,1.0872645e-13,1.937977e-13,2.1959431e-07,0.054985337,0.11390818,0.042782746,0.019850034,1.5985953e-14,0.091739796,0.07199828,0.0012714533,0.109610155,9.161104e-09,1.7326615e-12,0.00016540228,2.9868838e-14,0.06891179,0.093985386,5.9497365e-11,0.20231134,8.1265826e-13,1.2004962e-07,7.0769684e-12,0.010513438
1.449739e-05,0.11956308,0.16897996,1.0068248e-08,0.011576841,1.1297623e-05,0.26152542,0.17684467,0.11924814,0.05628391,0.0029505943,0.13666572,0.12764367,0.20136428,0.1984805,0.20087299,0.011021781,3.5180958e-07,3.6524146e-09,1.361514e-05,7.2953286e-13,0.12507445,3.1968127e-16,6.829427e-15,1.2264607e-14,6.1983776e-08,0.054759614,0.113179795,0.042525977,0.019002648,8.867783e-16,0.090651125,0.07164444,0.0008300101,0.10740065,1.5514872e-09,1.3849008e-13,6.4862565e-05,1.5249924e-15,0.06763802,0.09905563,5.352592e-12,0.20030384,6.612847e-14,2.9587495e-08,6.6966934e-13,0.01137249
5.6847593e-06,0.116627656,0.16767538,2.1115838e-09,0.009339378,4.5701845e-06,0.2615702,0.17711332,0.1193618,0.053459123,0.0025345043,0.13761707,0.12220976,0.19659361,0.19838725,0.19994238,0.0093468325,8.9438835e-08,6.630534e-10,5.2360597e-06,5.928331e-14,0.12367023,1.2526211e-17,3.4371567e-16,6.2230923e-16,1.587616e-08,0.053673223,0.11246342,0.042979866,0.016195025,3.899081e-17,0.08484227,0.07001717,0.0005122226,0.103834085,2.2882912e-10,9.054962e-15,2.3071201e-05,6.1268117e-17,0.06755281,0.09713022,3.9788255e-13,0.19922698,4.408543e-15,6.5429604e-09,5.2584503e-14,0.011289945
2.0739387e-06,0.115357205,0.16556042,3.9254555e-10,0.007425869,1.7261359e-06,0.2569859,0.1779771,0.122050196,0.05089736,0.0020120435,0.13592032,0.12115482,0.19546512,0.19832776,0.19019912,0.0077290623,2.0462755e-08,1.0545801e-10,1.8694154e-06,3.9481794e-15,0.12375221,3.7751065e-19,1.3602743e-17,2.4847523e-17,3.6625538e-09,0.05141757,0.10784455,0.043813225,0.014348797,1.3321665e-18,0.08701152,0.06553344,0.00030313578,0.105059385,2.9072163e-11,4.762635e-16,7.4333307e-06,1.8974684e-18,0.06625894,0.09260912,2.4055954e-14,0.1966907,2.3682168e-16,1.2878675e-09,3.3741564e-15,0.0111533245
7.0084644e-07,0.1122829,0.16409318,6.407436e-11,0.005623098,6.054172e-07,0.25609344,0.1763631,0.12062439,0.047722094,0.0015113032,0.13087459,0.1228331,0.19162628,0.18733145,0.1929891,0.006031484,4.1787334e-09,1.45420065e-11,6.167731e-07,2.1195009e-16,0.121406086,8.5516436e-21,4.1464463e-19,7.647555e-19,7.548593e-10,0.050749473,0.111078456,0.04822242,0.012745166,3.460003e-20,0.087126635,0.0678492,0.0001742343,0.10693792,3.1436874e-12,1.9783556e-17,2.1820101e-06,4.4278823e-20,0.067461945,0.093251,1.1626278e-15,0.19211794,1.00656656e-17,2.2359177e-10,1.7396165e-16,0.010633292
2.1810551e-07,0.11485371,0.16252075,9.089004e-12,0.0043950635,1.9612554e-07,0.25094607,0.17412625,0.12251043,0.0467536,0.0009873632,0.13296196,0.12023257,0.18852086,0.19469067,0.1863576,0.0046852264,7.550458e-10,1.7187916e-12,1.8696636e-07,9.005702e-18,0.12303169,1.419344e-22,9.514812e-21,1.7734348e-20,1.377735e-10,0.050567936,0.10536084,0.045616973,0.010461209,6.6674115e-22,0.085736915,0.067000106,9.4756295e-05,0.10475249,2.8557858e-13,6.359815e-19,5.803884e-07,7.5914117e-22,0.06535878,0.09264542,4.4068424e-17,0.19121851,3.3176203e-19,3.3902933e-11,7.073955e-18,0.011116845
6.207392e-08,0.113097,0.16002646,1.1079234e-12,0.00329084,5.832222e-08,0.24750924,0.16964234,0.11728626,0.0440022,0.00065849297,0.12744093,0.11996406,0.18847619,0.18955411,0.19716379,0.0036763449,1.195679e-10,1.7197475e-13,5.173731e-08,2.9683883e-19,0.11988716,1.677579e-24,1.6023719e-22,3.0210967e-22,2.2055581e-11,0.052152842,0.101962596,0.046146896,0.0084777,9.278185e-24,0.08350491,0.06444084,4.893505e-05,0.10516369,2.1484488e-14,1.5471197e-20,1.393318e-07,9.296741e-24,0.066750325,0.09038703,1.2827552e-18,0.19148743,8.293228e-21,4.441641e-12,2.2228225e-19,0.011316026
