target,中文名,layer,residual_ratio,n_support,support,relation,removed,n_pool_after
gen_121_nuclear_1_pg_mw,机组121核电出力,1,0.08871322233072418,15,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|area_1_load_day_ahead_mw|area_2_load_day_ahead_mw|area_3_load_day_ahead_mw|system_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw,gen_121_nuclear_1_pg_mw = -4.763e+04*area_1_load_actual_mw -4.764e+04*area_2_load_actual_mw -4.764e+04*area_3_load_actual_mw +4.763e+04*system_load_actual_mw +1.35e+06*area_1_load_day_ahead_mw +1.35e+06*area_2_load_day_ahead_mw +1.35e+06*area_3_load_day_ahead_mw -1.35e+06*system_load_day_ahead_mw -1.018*gen_fuel_coal_mw -1.013*gen_fuel_natural_gas_mw -0.9987*gen_fuel_hydro_mw +2.378e+05*gen_fuel_wind_mw -1.026*gen_fuel_solar_mw -2.378e+05*area_1_fuel_wind_mw -2.378e+05*area_3_fuel_wind_mw,system_load_day_ahead_mw,41
gen_121_nuclear_1_pg_mw,机组121核电出力,2,0.0887608624114406,11,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_1_fuel_wind_mw|area_3_fuel_wind_mw,gen_121_nuclear_1_pg_mw = -5.321e+04*area_1_load_actual_mw -5.321e+04*area_2_load_actual_mw -5.321e+04*area_3_load_actual_mw +5.321e+04*system_load_actual_mw -1.018*gen_fuel_coal_mw -1.013*gen_fuel_natural_gas_mw -0.9986*gen_fuel_hydro_mw +2.487e+05*gen_fuel_wind_mw -1.025*gen_fuel_solar_mw -2.487e+05*area_1_fuel_wind_mw -2.487e+05*area_3_fuel_wind_mw,gen_fuel_wind_mw,40
gen_121_nuclear_1_pg_mw,机组121核电出力,3,0.0658868130439756,16,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|system_load_actual_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_generation_mw|area_3_fuel_wind_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = -6.041e+04*area_1_load_actual_mw -6.041e+04*area_2_load_actual_mw -6.041e+04*area_3_load_actual_mw +6.041e+04*system_load_actual_mw -2.521e+04*gen_fuel_coal_mw -2.521e+04*gen_fuel_natural_gas_mw -2.521e+04*gen_fuel_hydro_mw -2.521e+04*gen_fuel_solar_mw +2.521e+04*area_1_fuel_coal_mw +2.521e+04*area_1_fuel_natural_gas_mw +2.521e+04*area_1_fuel_hydro_mw -0.9849*area_1_fuel_wind_mw +2.521e+04*area_1_fuel_solar_mw +2.521e+04*area_2_generation_mw -2.521e+04*area_3_fuel_wind_mw +2.522e+04*area_3_generation_mw,system_load_actual_mw,39
gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.0661454627302276,14,area_1_load_actual_mw|area_2_load_actual_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_generation_mw|area_3_fuel_wind_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.037*area_1_load_actual_mw +0.7885*area_2_load_actual_mw -2.952e+04*gen_fuel_coal_mw -2.952e+04*gen_fuel_natural_gas_mw -2.952e+04*gen_fuel_hydro_mw -2.952e+04*gen_fuel_solar_mw +2.952e+04*area_1_fuel_coal_mw +2.952e+04*area_1_fuel_natural_gas_mw +2.952e+04*area_1_fuel_hydro_mw -0.9836*area_1_fuel_wind_mw +2.952e+04*area_1_fuel_solar_mw +2.952e+04*area_2_generation_mw -2.952e+04*area_3_fuel_wind_mw +2.952e+04*area_3_generation_mw,gen_fuel_solar_mw,38
gen_121_nuclear_1_pg_mw,机组121核电出力,5,0.06442623080904146,15,area_1_load_actual_mw|area_2_load_actual_mw|gen_fuel_coal_mw|gen_fuel_natural_gas_mw|gen_fuel_hydro_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.035*area_1_load_actual_mw +0.8875*area_2_load_actual_mw +2.251e+04*gen_fuel_coal_mw +2.251e+04*gen_fuel_natural_gas_mw +2.251e+04*gen_fuel_hydro_mw -2.251e+04*area_1_fuel_coal_mw -2.251e+04*area_1_fuel_natural_gas_mw -2.251e+04*area_1_fuel_hydro_mw -0.9803*area_1_fuel_wind_mw -1.053*area_1_fuel_solar_mw +2.251e+04*area_2_fuel_solar_mw -2.251e+04*area_2_generation_mw +2.251e+04*area_3_fuel_wind_mw +2.251e+04*area_3_fuel_solar_mw -2.251e+04*area_3_generation_mw,gen_fuel_natural_gas_mw,37
gen_121_nuclear_1_pg_mw,机组121核电出力,6,0.06364033332392019,17,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|gen_fuel_coal_mw|gen_fuel_hydro_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_2_fuel_solar_mw|area_2_generation_mw|area_3_fuel_natural_gas_mw|area_3_fuel_wind_mw|area_3_fuel_solar_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.037*area_1_load_actual_mw +1.438*area_2_load_actual_mw -0.4994*area_3_load_actual_mw +8.193e+04*gen_fuel_coal_mw +8.193e+04*gen_fuel_hydro_mw -8.193e+04*area_1_fuel_coal_mw -0.9992*area_1_fuel_natural_gas_mw -8.193e+04*area_1_fuel_hydro_mw -0.9831*area_1_fuel_wind_mw -1.055*area_1_fuel_solar_mw +8.193e+04*area_2_fuel_natural_gas_mw +8.193e+04*area_2_fuel_solar_mw -8.193e+04*area_2_generation_mw +8.193e+04*area_3_fuel_natural_gas_mw +8.193e+04*area_3_fuel_wind_mw +8.193e+04*area_3_fuel_solar_mw -8.193e+04*area_3_generation_mw,area_3_fuel_solar_mw,36
gen_121_nuclear_1_pg_mw,机组121核电出力,7,0.0698315780642762,10,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_generation_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.047*area_1_load_actual_mw +1.413*area_2_load_actual_mw -0.736*area_3_load_actual_mw -1.028*area_1_fuel_coal_mw -1.009*area_1_fuel_natural_gas_mw -0.9932*area_1_fuel_hydro_mw -0.9819*area_1_fuel_wind_mw -1.052*area_1_fuel_solar_mw -1.387*area_2_generation_mw +0.731*area_3_generation_mw,area_2_generation_mw,35
gen_121_nuclear_1_pg_mw,机组121核电出力,8,0.06477894846215002,15,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|gen_fuel_coal_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_3_fuel_coal_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.04*area_1_load_actual_mw +1.497*area_2_load_actual_mw -0.5954*area_3_load_actual_mw +9.896e+04*gen_fuel_coal_mw -9.896e+04*area_1_fuel_coal_mw -1.004*area_1_fuel_natural_gas_mw -0.9909*area_1_fuel_hydro_mw -0.9815*area_1_fuel_wind_mw -1.055*area_1_fuel_solar_mw -9.896e+04*area_2_fuel_coal_mw -1.467*area_2_fuel_natural_gas_mw -1.458*area_2_fuel_hydro_mw -1.492*area_2_fuel_solar_mw -9.896e+04*area_3_fuel_coal_mw +0.5976*area_3_generation_mw,gen_fuel_coal_mw,34
gen_121_nuclear_1_pg_mw,机组121核电出力,9,0.06903867425858949,13,area_1_load_actual_mw|area_2_load_actual_mw|area_3_load_actual_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.046*area_1_load_actual_mw +1.466*area_2_load_actual_mw -0.7454*area_3_load_actual_mw -1.028*area_1_fuel_coal_mw -1.008*area_1_fuel_natural_gas_mw -0.9981*area_1_fuel_hydro_mw -0.9809*area_1_fuel_wind_mw -1.039*area_1_fuel_solar_mw -1.434*area_2_fuel_coal_mw -1.438*area_2_fuel_natural_gas_mw -1.428*area_2_fuel_hydro_mw -1.457*area_2_fuel_solar_mw +0.7401*area_3_generation_mw,area_2_load_actual_mw,33
gen_121_nuclear_1_pg_mw,机组121核电出力,10,0.06887285798463835,15,area_1_load_actual_mw|area_3_load_actual_mw|reserve_spin_r2_mw|gen_fuel_hydro_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_fuel_hydro_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_hydro_mw|area_2_fuel_solar_mw|area_3_fuel_hydro_mw|area_3_generation_mw,gen_121_nuclear_1_pg_mw = +1.046*area_1_load_actual_mw -0.772*area_3_load_actual_mw +49.77*reserve_spin_r2_mw -2.877e+05*gen_fuel_hydro_mw -1.029*area_1_fuel_coal_mw -1.009*area_1_fuel_natural_gas_mw +2.877e+05*area_1_fuel_hydro_mw -0.9821*area_1_fuel_wind_mw -1.041*area_1_fuel_solar_mw -1.461*area_2_fuel_coal_mw -1.465*area_2_fuel_natural_gas_mw +2.877e+05*area_2_fuel_hydro_mw -1.483*area_2_fuel_solar_mw +2.877e+05*area_3_fuel_hydro_mw +0.7665*area_3_generation_mw,gen_fuel_hydro_mw,32
