partition,target,sensitivity_tier,target_kind,r2,rmse,mae,test_std,nrmse_by_test_std,pearson_r,test_r2_evaluable,accuracy,balanced_accuracy,roc_auc,description
05_public_plus_all_bus_diagnostic,branch_ab1_p_from_mw,T3_high,continuous,0.9999086856842041,0.09610635787248611,0.07267527282238007,10.059123039245605,0.009554148651659489,0.9999604821205139,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab1_q_from_mvar,T3_high,continuous,0.9991329908370972,0.08811578154563904,0.06851377338171005,2.99251389503479,0.029445404186844826,0.9996548295021057,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab1_p_to_mw,T3_high,continuous,0.999933660030365,0.08271840214729309,0.0625339150428772,10.155065536499023,0.008145530708134174,0.9999667406082153,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab1_q_to_mvar,T3_high,continuous,0.9988570213317871,0.08947738260030746,0.06928443908691406,2.646679401397705,0.033807411789894104,0.9995288848876953,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab1_loading_pct,T3_high,continuous,0.9310363531112671,1.2405097484588623,0.6489794254302979,4.72378396987915,0.2626093327999115,0.9682161808013916,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab2_p_from_mw,T3_high,continuous,0.9999893307685852,0.06662168353796005,0.05165233835577965,20.435728073120117,0.003260059282183647,0.9999969601631165,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab2_q_from_mvar,T3_high,continuous,0.9996609091758728,0.060331590473651886,0.04512163624167442,3.276015281677246,0.0184161514043808,0.9998455047607422,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab2_p_to_mw,T3_high,continuous,0.9999897480010986,0.06579872220754623,0.05088800564408302,20.578907012939453,0.0031973866280168295,0.9999960660934448,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab2_q_to_mvar,T3_high,continuous,0.999241292476654,0.060723576694726944,0.044999368488788605,2.2045085430145264,0.027545176446437836,0.9996426105499268,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
05_public_plus_all_bus_diagnostic,branch_ab2_loading_pct,T3_high,continuous,0.9905951619148254,0.3042457103729248,0.19040432572364807,3.137235641479492,0.09697891771793365,0.9955505728721619,1,,,,诊断上界：加入全部时变节点量，预测线路和机组目标
