total_gen,total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_actual_interchange_mw,net_sched_interchange_mw,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.49424082,0.5321798,0.40727478,0.39872748,0.53269565,0.4811364,0.50878507,0.50246274,0.40966022,0.55287087,0.4332616,0.40540093,0.46748394,0.43026015,0.4847203,0.44226933,0.5048134,0.49206737,0.5326,0.51618177,0.50214493,0.38326392,0.41766676,0.51691025,0.48032033,0.4308721,0.46216035,0.39732176,0.5165395,0.47446188,0.5092812,0.41327068,0.44854933,0.44177452,0.43176097,0.5438283,0.54520446,0.39795274,0.39677346,0.39821598,0.3738359,0.42410353,0.5591089,0.36933625,0.38379696,0.5371859,0.5704403,0.51022995,0.508312,0.5210721,0.46202606,0.471063,0.46340507,0.38554436,0.398599,0.4369005,0.4861254
0.48087367,0.55815744,0.31169528,0.2927439,0.5265407,0.460655,0.49317214,0.48341817,0.35690784,0.5795417,0.43097365,0.28353184,0.4306821,0.3506733,0.45168558,0.39418933,0.48220673,0.46303356,0.52722114,0.5533779,0.46723625,0.28058285,0.34701496,0.5131326,0.47052523,0.41070485,0.4347816,0.32192865,0.50085646,0.45067996,0.4921865,0.30718958,0.38337243,0.42037323,0.38039845,0.5745154,0.5983133,0.29243833,0.28761485,0.2681699,0.23960467,0.33654743,0.61878705,0.23920481,0.2695287,0.5530445,0.61269194,0.4964238,0.50284874,0.5206105,0.44604573,0.46379143,0.44922087,0.28358978,0.31797376,0.43474323,0.4960189
0.45263618,0.5729347,0.22145642,0.17029648,0.5132859,0.43420285,0.4594228,0.45547438,0.2805229,0.5959891,0.41497523,0.16181408,0.37962353,0.28809392,0.41708264,0.34097284,0.4576409,0.41521367,0.50404763,0.55995905,0.42620718,0.16154343,0.28904116,0.5071399,0.440208,0.3854829,0.4072569,0.247416,0.47238937,0.4141312,0.4740111,0.19815578,0.29279637,0.39261925,0.32174224,0.6035866,0.63037276,0.18170662,0.16278215,0.1322528,0.114513345,0.24762882,0.6536099,0.10351648,0.17106786,0.5549639,0.66702497,0.48919612,0.5027247,0.50220776,0.41394642,0.43260208,0.4448597,0.15937595,0.23452097,0.4188089,0.48052529
0.4168557,0.57632905,0.12692134,0.045349147,0.51452416,0.40198115,0.41895905,0.42290822,0.20339908,0.5926648,0.40080464,0.025096606,0.321132,0.22715288,0.39393777,0.28852457,0.423741,0.3726454,0.4824721,0.57195854,0.38263628,0.026967777,0.21824974,0.49526885,0.41003233,0.34955734,0.37630254,0.18356232,0.44398052,0.36944366,0.45462975,0.07905544,0.21596387,0.3716674,0.24448676,0.61040175,0.6495614,0.0665817,0.03587482,0.0,0.0,0.15794545,0.6822465,0.0,0.07483186,0.5672642,0.69724184,0.491931,0.50639105,0.48402384,0.40689063,0.40226272,0.41747704,0.04716687,0.14297615,0.4177041,0.47895095
0.37863877,0.578653,0.025040593,0.0,0.51200455,0.3616636,0.37031397,0.37843016,0.11551626,0.6003987,0.3820981,0.0,0.2563164,0.14949137,0.3539947,0.22660358,0.39133275,0.32192317,0.4570858,0.58070284,0.32289875,0.0,0.13483712,0.47247306,0.3726448,0.31107432,0.3450896,0.10236496,0.4244047,0.32028374,0.45953238,0.0,0.11338136,0.3490482,0.18966383,0.61417985,0.673014,0.0,0.0,0.0,0.0,0.058480214,0.7031449,0.0,0.0,0.5719644,0.72824395,0.48649353,0.5108458,0.4694391,0.38161728,0.35894164,0.3936266,0.0,0.04438448,0.41653326,0.4701054
0.34244847,0.5878255,0.0,0.0,0.499442,0.3232969,0.3134199,0.3395513,0.028923834,0.6257851,0.39183527,0.0,0.1818055,0.06460726,0.3191033,0.1739603,0.34772447,0.2652017,0.43386665,0.58879447,0.24771164,0.0,0.050036374,0.45774463,0.33958018,0.2801402,0.31464955,0.00090674293,0.43604115,0.27354735,0.45284942,0.0,0.028810877,0.31262517,0.12868398,0.6316527,0.6953706,0.0,0.0,0.0,0.0,0.0,0.7283788,0.0,0.0,0.5908708,0.7806762,0.48600736,0.51808184,0.45504853,0.3839022,0.32382646,0.37060753,0.0,0.0,0.40912706,0.4769834
0.29636395,0.60914075,0.0,0.0,0.49017394,0.2848031,0.25845936,0.29407883,0.0,0.63233054,0.36101845,0.0,0.10064854,0.0,0.28869307,0.12303942,0.30462536,0.20060836,0.41124746,0.5943521,0.17340475,0.0,0.0,0.44600558,0.3023213,0.24008696,0.2768138,0.0,0.4072435,0.2664607,0.43890476,0.0,0.0,0.27546456,0.09027557,0.643627,0.7072391,0.0,0.0,0.0,0.0,0.0,0.7524077,0.0,0.0,0.60585636,0.8051569,0.4853203,0.50655365,0.428381,0.3867621,0.2895567,0.3529433,0.0,0.0,0.39438063,0.46785247
0.2432629,0.61887765,0.0,0.0,0.48001114,0.23350447,0.18995555,0.23646516,0.0,0.6282054,0.3525061,0.0,0.020157488,0.0,0.25605136,0.077231586,0.26404032,0.120720126,0.3836763,0.6113109,0.09766451,0.0,0.0,0.43218315,0.25750792,0.19207115,0.23951504,0.0,0.37466317,0.25811982,0.42497152,0.0,0.0,0.24336047,0.03676856,0.6496111,0.7341831,0.0,0.0,0.0,0.0,0.0,0.7824592,0.0,0.0,0.61507773,0.8367978,0.48791245,0.5110352,0.3939124,0.36613572,0.2536252,0.34494242,0.0,0.0,0.3923241,0.46214336
0.18312185,0.62271947,0.0,0.0,0.47001052,0.17982347,0.12729812,0.17007807,0.0,0.6416581,0.34018484,0.0,0.0,0.0,0.21026637,0.0168538,0.22456394,0.04064143,0.34104723,0.6108978,0.021346455,0.0,0.0,0.4147667,0.20588903,0.1455184,0.19929226,0.0,0.34641227,0.22980262,0.406143,0.0,0.0,0.19252369,0.0,0.6576174,0.7581761,0.0,0.0,0.0,0.0,0.0,0.8030107,0.0,0.0,0.6388402,0.87430847,0.48392522,0.50454766,0.36300322,0.36013886,0.20049101,0.31405082,0.0,0.0,0.38914958,0.46782506
