wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.66467917,0.6689138,0.72659147,0.6863345,0.7992092,0.72943264,0.7230966,0.87984353,0.6648504,0.6512623,0.6918888,0.6585381,0.78879035,0.65714806,0.66869515,0.7174556,0.7440239,0.9188885,0.6501656,0.6631277,0.6948855,0.9516849,0.75938076,0.6754243,0.6530313,0.7417548,0.71710086,0.67239976,0.6537947,0.6531463,0.71725655,0.6493746,0.75778794,0.844201,0.7437077,0.6998521,0.7027049,0.697347,0.6510581,0.70052195,0.67560434,0.6688728,0.72569436,0.83767015,0.7234285,0.6517712,0.7835543,0.77933466
0.48299152,0.48827007,0.53100306,0.47584957,0.66169566,0.58112323,0.59646,0.82801616,0.5015176,0.44704914,0.4843307,0.47812605,0.6479923,0.438306,0.45163092,0.5737798,0.57119626,0.8516657,0.4398489,0.4660135,0.5467665,0.8679156,0.5996176,0.51180357,0.42499045,0.59698105,0.54245216,0.47836894,0.42600244,0.43913177,0.53179103,0.4431862,0.66301674,0.7836028,0.5898098,0.497645,0.5290409,0.5066282,0.42749915,0.5167392,0.48215562,0.47423032,0.5901645,0.77304196,0.6308515,0.42082387,0.66968495,0.670185
0.3745672,0.3682903,0.3882243,0.33370176,0.5683879,0.45056486,0.53790164,0.77974963,0.37990507,0.31496555,0.32404903,0.3663913,0.55629563,0.29178494,0.30984777,0.48283863,0.41719908,0.75029474,0.30379045,0.33473247,0.442605,0.7922415,0.48641038,0.39619896,0.2747451,0.48140615,0.4584008,0.34516907,0.27918792,0.29100066,0.4154724,0.32060102,0.6085613,0.7250378,0.478763,0.36739486,0.39974645,0.35635433,0.27652007,0.37065256,0.37997496,0.33676144,0.50371915,0.71675724,0.5597788,0.27501845,0.6298618,0.63068384
0.30660447,0.28661895,0.28573236,0.23660251,0.507117,0.35885295,0.52358335,0.7433948,0.31329212,0.23498851,0.21376272,0.2999692,0.49657765,0.19507132,0.2185796,0.402461,0.31920695,0.7036998,0.19728594,0.2504978,0.36840522,0.75797033,0.41307336,0.32969555,0.1732552,0.41320482,0.40957087,0.2528244,0.17687528,0.19457273,0.32089308,0.24569541,0.5583982,0.6653382,0.4094511,0.2786262,0.308603,0.25375095,0.18323077,0.28922886,0.3051486,0.24620304,0.44770265,0.7025843,0.5255987,0.17404899,0.60812175,0.5991357
0.2656639,0.22726758,0.2018957,0.18270083,0.45437643,0.28514835,0.50816774,0.6917615,0.2747013,0.17910315,0.13730015,0.25626004,0.4383091,0.1365763,0.15241346,0.34380987,0.24401037,0.6353127,0.13521834,0.1867433,0.32024297,0.71136737,0.34651226,0.28839973,0.107536234,0.3417872,0.3819089,0.18449898,0.10942012,0.12597553,0.24820657,0.20561503,0.52781564,0.63162977,0.35630715,0.21509422,0.23322675,0.17943569,0.1220762,0.21908014,0.27559403,0.1904665,0.39655536,0.6544099,0.5052476,0.10724302,0.56778383,0.59005266
0.23644076,0.18433692,0.1548192,0.14052473,0.4117644,0.22733772,0.48739967,0.650384,0.25371692,0.14078914,0.08578345,0.22410655,0.40337384,0.09484477,0.09999594,0.29371375,0.18222636,0.5683082,0.086861454,0.1448622,0.28323287,0.6705992,0.28940326,0.25976208,0.06458248,0.28687266,0.37149003,0.1334681,0.067143224,0.08168864,0.19279236,0.17720193,0.509877,0.5891108,0.31866857,0.17095047,0.1811988,0.12984964,0.079951875,0.17313686,0.2529199,0.15187418,0.36256102,0.6305437,0.48482287,0.06330147,0.5789908,0.60767657
0.21381156,0.15990658,0.11467973,0.114492916,0.3862831,0.19510837,0.4854188,0.6180313,0.23686418,0.11725929,0.052027415,0.20235889,0.3763704,0.06581919,0.06590376,0.26833394,0.14361152,0.54649633,0.056117956,0.11778067,0.25577903,0.6526055,0.24938138,0.21708536,0.038004916,0.24974279,0.35902616,0.10027933,0.039430365,0.052167386,0.13985515,0.16070913,0.48931494,0.54963833,0.3047308,0.14335522,0.14416106,0.092135265,0.05230994,0.13726208,0.23753904,0.12983543,0.32486665,0.5880194,0.46848527,0.035676263,0.5361237,0.5791641
0.20473075,0.14187334,0.088018194,0.09601409,0.37075007,0.16480856,0.46606937,0.58444655,0.23955166,0.10151246,0.030258816,0.19305743,0.35004064,0.045831617,0.042958155,0.24319413,0.116063274,0.50654596,0.03612629,0.09923504,0.2437766,0.6200099,0.20859948,0.20425019,0.021261992,0.20844644,0.32567957,0.07765173,0.022170655,0.03258859,0.104425505,0.14971983,0.4815448,0.5207087,0.27947652,0.11338866,0.10843746,0.060940616,0.0326685,0.116896704,0.22669496,0.11152529,0.30660164,0.5648765,0.4564602,0.019331114,0.53575116,0.5800331
0.1913485,0.12721804,0.066297874,0.076875106,0.34782216,0.14346637,0.4640594,0.55694187,0.238077,0.08769779,0.016631888,0.17891055,0.33666062,0.02958017,0.025797164,0.22631617,0.09063824,0.4665625,0.021641405,0.08382502,0.22287464,0.6042777,0.1777363,0.18347679,0.011419549,0.17972209,0.29004765,0.061594885,0.012041519,0.019394474,0.078132726,0.13628249,0.4787665,0.48396975,0.27414432,0.09410416,0.08231724,0.039917454,0.01934234,0.09915371,0.22311938,0.095899776,0.27149606,0.50724673,0.4262333,0.009549112,0.5189613,0.58853424
