feature,gate_abs,effective_norm,gate_score,mask_sensitivity,mask_sensitivity_score,combined_score
gen_fuel_other_renewables_mw,1.0669348,1.8099829,0.98122203,0.0223169922828674,0.9999999999551912,0.9906110167279312
congestion_price_da,1.1585393,1.8446212,1.0,0.0109443068504333,0.4904024122616559,0.745201206130828
total_losses,0.8710787,1.3558732,0.73504156,0.0142872929573059,0.6401979610681654,0.6876197599053443
system_energy_price_da,0.97323686,1.507725,0.81736296,0.0100055932998657,0.4483396854108604,0.6328513247820751
total_pjm_self_sched_reg,0.7645265,1.0308079,0.55881816,0.0151652693748474,0.6795391234602041,0.6191786424738916
total_lmp_da,0.80673355,1.3206449,0.7159437,0.0089011192321777,0.3988494112001015,0.5573965526573933
total_pjm_loc_credit,0.75567895,1.1142231,0.604039,0.0111570954322814,0.4999372357334535,0.5519881245596131
gross_inadv_interchange_mw,0.8077484,1.1120567,0.60286456,0.007554292678833,0.3384995873433122,0.4706820754042153
gen_fuel_multiple_fuels_mw,0.6440214,1.0288391,0.5577509,0.0078184604644775,0.3503366567066194,0.4540437687124253
gen_fuel_multiple_fuels_pct,0.7521865,1.1246037,0.6096665,0.0065522193908691,0.2935977800021747,0.4516321531598856
rmccp,0.84959453,1.3886274,0.75279814,0.0029584169387817,0.1325634252658825,0.4426807826574316
congestion_price_rt,0.9617101,1.6095392,0.8725581,-0.0093687772750854,0.0,0.4362790584564209
marginal_loss_price_rt,0.9066257,1.4104655,0.76463693,0.0017057657241821,0.076433495270561,0.4205352145370597
da_as_total_mw_thirty_minutes_reserve,0.6873052,1.0941149,0.593138,0.0038825273513793,0.1739718014862606,0.3835548904968534
total_pjm_rmccp_cr,0.8785657,1.3034331,0.7066129,0.0004634261131286,0.0207656169448812,0.3636892509716014
marginal_loss_price_da,0.66224927,0.9915205,0.5375199,0.0040482282638549,0.1813966780273243,0.3594582751079462
net_inadv_interchange_mw,0.66069263,0.9476886,0.5137578,0.0044821500778198,0.2008402396168722,0.3572990322573192
gross_actual_interchange_mw,0.6444969,0.9685112,0.5250461,0.0038368701934814,0.1719259542091186,0.3484860321811584
da_as_mcp_primary_reserve,0.8859415,1.2036555,0.6525218,-0.0027726888656616,0.0,0.326260894536972
metered_load_mw,0.56125796,0.62521,0.3389368,0.0065430998802185,0.2931891447105262,0.3160629752178119
