wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.46325716,0.5123187,0.5553798,0.42711315,0.5043452,0.52617246,0.44323105,0.50876766,0.48364174,0.4090481,0.47418976,0.47284615,0.53059375,0.5626118,0.49909714,0.45044866,0.4471748,0.44176492,0.4876652,0.477457,0.4367546,0.480815,0.5360574,0.51214945,0.494031,0.38585618,0.47640735,0.43676874,0.42567936,0.5243714,0.45155597,0.54203403,0.47544545,0.51436555,0.51360536,0.47576964,0.43613195,0.49304017,0.46629065,0.46719882,0.5022541,0.6149004,0.5202356
0.45517173,0.5353179,0.5934279,0.40830207,0.49325025,0.5659817,0.424676,0.50002366,0.5046945,0.35808203,0.47372767,0.5137388,0.56054825,0.6042089,0.5403388,0.41781968,0.4542676,0.43892875,0.48937258,0.47123554,0.3838522,0.49145803,0.54737645,0.53436303,0.5324242,0.33052146,0.4898103,0.39405128,0.40765777,0.52640605,0.42887715,0.567239,0.4547022,0.5120723,0.5849146,0.48956215,0.40038934,0.5553255,0.43897927,0.45537817,0.55080175,0.69312423,0.5510924
0.45128584,0.5664881,0.6316332,0.39761394,0.48570502,0.6084351,0.39750233,0.50292116,0.4989325,0.3388614,0.4785274,0.56299067,0.5768469,0.6323307,0.5604252,0.3801256,0.46443972,0.43973327,0.47739527,0.46119705,0.33840144,0.510409,0.56016606,0.5449299,0.55542195,0.28334725,0.5174607,0.34906924,0.38520375,0.5295478,0.41082093,0.57200617,0.43338192,0.513729,0.61666125,0.48313144,0.3535705,0.6107593,0.41331583,0.44912902,0.5780087,0.7507168,0.5801321
0.43742853,0.6124266,0.6761262,0.3986103,0.49519086,0.6379175,0.35202947,0.5228053,0.51219195,0.31696197,0.47638094,0.60874265,0.5898591,0.6602089,0.5727203,0.36068195,0.47698835,0.430022,0.47136676,0.46267536,0.29369047,0.50123984,0.5599384,0.5626068,0.58316535,0.23947339,0.5392344,0.31128776,0.3836073,0.52967995,0.3860149,0.5798269,0.40696496,0.5113038,0.6474111,0.48292023,0.30346334,0.65515745,0.39927128,0.4335253,0.6161577,0.8156642,0.6244012
0.43239108,0.6255299,0.70529884,0.39371535,0.50265133,0.6823588,0.3155797,0.5620427,0.5267015,0.26984623,0.47754663,0.6540015,0.61414677,0.67680097,0.5950435,0.32247677,0.48177257,0.4149551,0.46236497,0.436753,0.24043413,0.50820565,0.56305057,0.5775577,0.5890212,0.17678815,0.55832905,0.2642064,0.3779043,0.52761203,0.37141955,0.58289564,0.3786403,0.5056472,0.6826994,0.49219513,0.26391304,0.7134635,0.36191437,0.42300478,0.66515094,0.8745917,0.6605617
0.42689738,0.63395345,0.744252,0.40176395,0.5002156,0.7197088,0.275413,0.5950795,0.5540651,0.23441306,0.47987866,0.68796206,0.6207379,0.69938725,0.622844,0.28728297,0.51144534,0.39694238,0.46407884,0.4164228,0.18948202,0.48449415,0.5669776,0.5759692,0.5910967,0.11941926,0.59031665,0.22195375,0.35015884,0.5279069,0.36145848,0.5885064,0.34303504,0.5083902,0.7238467,0.5021112,0.2078796,0.7623108,0.32547647,0.4000356,0.6896638,0.9304372,0.6854152
0.4147596,0.6632375,0.76206887,0.40175343,0.5000829,0.76053685,0.22621591,0.62633514,0.5816661,0.19673863,0.48006624,0.7270489,0.64386296,0.72675335,0.6527044,0.27247435,0.519226,0.38248035,0.44935644,0.40670905,0.13110615,0.48270684,0.55675066,0.57219416,0.6036244,0.06880062,0.61896944,0.15815675,0.3339837,0.52992165,0.34215176,0.6124223,0.31853667,0.5022804,0.765404,0.5045987,0.16557786,0.80159664,0.30571443,0.3687931,0.72018427,0.99016833,0.7237162
0.41230515,0.68877894,0.7826514,0.4082896,0.50181586,0.79313225,0.1938168,0.6761096,0.6081039,0.15672056,0.5075261,0.7722565,0.6506448,0.74659777,0.6780825,0.23346916,0.5195862,0.3741159,0.43852422,0.40445653,0.078780234,0.47573432,0.5504918,0.58256054,0.6119422,0.010857896,0.63829523,0.10977799,0.32252583,0.5257328,0.3157786,0.62805086,0.27579382,0.49845105,0.8078945,0.49594086,0.10824261,0.8630733,0.27587897,0.3416058,0.75339216,1.036252,0.74094063
0.4105866,0.7130472,0.82014203,0.411801,0.50337714,0.83328104,0.14058135,0.72535175,0.6033522,0.11865686,0.51762384,0.8182086,0.6598922,0.7770466,0.70946276,0.19503456,0.5414744,0.370789,0.4189053,0.38808894,0.014869008,0.47316623,0.55423224,0.5780196,0.61704177,-0.050452992,0.65550923,0.04039161,0.30906472,0.5341211,0.2980554,0.6627783,0.23909038,0.49372146,0.83463407,0.49555242,0.04681816,0.9105184,0.23794238,0.30596632,0.7736549,1.0823673,0.77699125
